dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,41725,27253,3113,3114,6227,3113,6124.22593718308,1,-3.1815795297371277,3.0935795297371276,0,0.0,0.0,6121.044357653343,0.5000802954873936,1,0.0,7.763,1.9673067578487247,0.024413748795374238,0.10568583360102794,0.38226790876967554,0.5714744619338259,0.8766463218760039,0.9421779633793768
2026-05-05,53387,46273,3658,3657,7315,3657,7386.435273217987,1,1.8756949262832845,0.9938786803305222,0,0.0,0.0,7388.31096814427,0.5000683526999317,1,0.0,6.007,2.0198072937429528,0.03691550451189499,0.1391851244189226,0.4520098441345365,0.6365873666940115,0.8895269346458846,0.9505058791359038
2026-05-06,55452,58006,7645,7646,15291,7645,27438.878080792576,1,-4.117820129324293,3.574988682277596,0,0.0,0.0,27434.76026066325,0.5000326989732522,1,0.0,4.068,3.5891272832952956,0.04551994767822106,0.15866579463701766,0.5530412034009157,0.7432308698495749,0.9810333551340745,0.9945062132112492
2026-05-07,61832,39539,4467,4468,8935,4467,8447.05118875178,1,-0.6237830032110281,3.172627475919053,0,0.0,0.0,8446.427405748569,0.5000559597090095,1,0.0,5.638,1.8909897445157324,0.040295500335795834,0.15625699574658608,0.47100962614730246,0.6456234609357511,0.8997089769420192,0.9588090441011865
2026-05-08,62507,46535,5433,5433,10866,5433,10259.390396132583,0,0.0,0.0,0,0.0,0.0,10259.390396132583,0.5,1,0.0,3.801,1.888347210773525,0.048223817412111174,0.18700533775078226,0.5702190318424443,0.7417632983618627,0.928584575740843,0.9692619179090741
2026-05-09,12919,10969,2130,2131,4261,2130,10022.430622864067,1,-0.026894121306798136,4.0856638524786675,0,0.0,0.0,10022.40372874276,0.5001173433466323,1,0.0,13.6025,4.705366489607541,0.014084507042253521,0.04835680751173709,0.22863849765258215,0.39248826291079814,0.787793427230047,0.8915492957746479
2026-05-10,14673,13705,2231,2231,4462,2231,2942.156287482452,0,0.0,0.0,0,0.0,0.0,2942.156287482452,0.5,1,0.0,9.008,1.3187612225380783,0.0340654415060511,0.11474675033617213,0.37651277454056475,0.5324966382787988,0.7965038099506948,0.8888390856118332
2026-05-11,80940,71184,12228,12229,24457,12228,23099.197123899146,1,-1.5598409738079861,0.9085840973807986,0,0.0,0.0,23097.637282925338,0.5000204440446498,1,0.0,2.423,1.8890413087912277,0.08987569512594046,0.27764147857376514,0.7096826954530585,0.8814196925089958,0.9935394177298005,0.9980372914622179
2026-05-12,93293,76585,9889,9889,19778,9889,5541.741852215873,0,0.0,0.0,0,0.0,0.0,5541.741852215873,0.5,1,0.0,2.913,0.5603945648918877,0.06269592476489028,0.23015471736272627,0.6551724137931034,0.8322378400242694,0.9813934674891294,0.9960562240873698
2026-05-13,79786,57889,8860,8861,17721,8860,-569.629706583882,1,-0.9339999999999999,1.4682310717309393,0,0.0,0.0,-570.563706583882,0.500028215112014,1,0.0,3.1755,-0.06429229193948963,0.06376975169300225,0.20079006772009028,0.6372460496613995,0.8197516930022574,0.9669300225733635,0.9901805869074493
2026-05-14,81102,75948,8835,8834,17669,8834,3081.6986618021274,1,-0.16294539005795206,0.9745091016577385,0,0.0,0.0,3081.5357164120696,0.500028298149301,1,0.0,2.983,0.34884521867807444,0.055693909893592936,0.20081503282771113,0.6390083767262849,0.8145800316957211,0.9728322390762961,0.993208059769074
2026-05-15,95636,95558,9284,9285,18569,9284,3112.5060160036746,1,-0.0958180167224928,1.2650909916395476,0,0.0,0.0,3112.410197986952,0.5000269265980936,1,0.0,3.2855,0.33525484877247513,0.06290392072382593,0.21574752261956054,0.6241921585523481,0.8126884963377854,0.9773804394657475,0.9947221025420078
2026-05-16,21772,14205,2359,2358,4717,2358,1424.4123484151642,1,0.18898038995391897,0.9161862743721199,0,0.0,0.0,1424.601328805118,0.5001059995760017,1,0.0,7.602,0.604076483636626,0.12468193384223919,0.20525869380831213,0.43341815097540287,0.544529262086514,0.857930449533503,0.9211195928753181
2026-05-17,24475,26368,2970,2970,5940,2970,1193.9036953027858,0,0.0,0.0,0,0.0,0.0,1193.9036953027858,0.5,1,0.0,9.251999999999999,0.40198777619622433,0.035016835016835016,0.11683501683501683,0.36632996632996634,0.5185185185185185,0.8410774410774411,0.9286195286195286
2026-05-18,103367,88679,9629,9628,19257,9628,2567.48624977199,1,-4.269315187285462,1.7885890746675233,0,0.0,0.0,2563.2169345847046,0.500025964584307,1,0.0,2.9124999999999996,0.26666870064104475,0.07000415454923141,0.24761113419194017,0.6566265060240963,0.8280016618196926,0.9924179476526797,0.9983381803074366
2026-05-19,111068,97097,8800,8799,17599,8799,2480.4430582855944,1,-4.191490457676056,1.129260039797778,0,0.0,0.0,2476.2515678279183,0.5000284107051537,1,0.0,2.851,0.28190056350557946,0.0705762018411183,0.24173201500170474,0.6538242982157063,0.819865893851574,0.9676099556767814,0.9885214228889646
2026-05-20,87913,86369,6282,6282,12564,6282,-2636.6639088736492,0,0.0,0.0,0,0.0,0.0,-2636.6639088736492,0.5,1,0.0,4.249499999999999,-0.41971727298211636,0.05253104106972302,0.18449538363578477,0.5466411970709965,0.7317733205985355,0.9430117796879974,0.9859917223814072
2026-05-21,105641,81593,8105,8106,16211,8105,1137.8318989315828,1,-0.6711844570890313,0.9117038857277422,0,0.0,0.0,1137.1607144744937,0.5000308432545802,1,0.0,3.61,0.14038641566089755,0.05515114127082048,0.19827267119062308,0.5971622455274522,0.7904996915484269,0.9710055521283159,0.9908698334361505
2026-05-22,78437,46459,5655,5655,11310,5655,-129.10805344217832,0,0.0,0.0,0,0.0,0.0,-129.10805344217832,0.5,1,0.0,4.647,-0.022830778681198736,0.0376657824933687,0.15101679929266137,0.521131741821397,0.7184792219274978,0.9354553492484527,0.9715296198054819
