dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,11775,11414,97,97,194,97,302.5512300943989,0,0.0,0.0,0,0.0,0.0,302.5512300943989,0.5,1,0.0,52.601,3.1190848463340077,0.010309278350515464,0.020618556701030927,0.16494845360824742,0.25773195876288657,0.41237113402061853,0.5154639175257731
2026-05-05,0,11223,12562,99,98,197,98,179.02067608359027,1,1.8756949262832845,0.9938786803305222,0,0.0,0.0,180.89637100987355,0.5025380710659898,1,0.0,46.684,1.8267415926896973,0.01020408163265306,0.030612244897959183,0.14285714285714285,0.21428571428571427,0.37755102040816324,0.5612244897959183
2026-05-06,0,14949,16604,165,165,330,165,597.90221150508,0,0.0,0.0,0,0.0,0.0,597.90221150508,0.5,1,0.0,23.895,3.6236497666974574,0.030303030303030304,0.06666666666666667,0.21212121212121213,0.3151515151515151,0.5333333333333333,0.6545454545454545
2026-05-07,0,6807,9567,83,83,166,83,334.5815591929561,0,0.0,0.0,0,0.0,0.0,334.5815591929561,0.5,1,0.0,19.057,4.031103122806701,0.0,0.024096385542168676,0.3253012048192771,0.43373493975903615,0.6144578313253012,0.7590361445783133
2026-05-08,0,9075,10605,99,99,198,99,445.7444394691946,0,0.0,0.0,0,0.0,0.0,445.7444394691946,0.5,1,0.0,41.768,4.502469085547421,0.0,0.020202020202020204,0.23232323232323232,0.2828282828282828,0.45454545454545453,0.5858585858585859
2026-05-09,0,10643,3106,248,248,496,248,903.2773597115716,0,0.0,0.0,0,0.0,0.0,903.2773597115716,0.5,1,0.0,44.9705,3.642247418191823,0.004032258064516129,0.016129032258064516,0.13306451612903225,0.1975806451612903,0.4153225806451613,0.5403225806451613
2026-05-10,0,4668,7587,107,107,214,107,-196.3922135248293,0,0.0,0.0,0,0.0,0.0,-196.3922135248293,0.5,1,0.0,46.584,-1.8354412478956004,0.0,0.009345794392523364,0.11214953271028037,0.19626168224299065,0.40186915887850466,0.5794392523364486
2026-05-11,0,14597,17806,321,321,642,321,832.6863996706851,0,0.0,0.0,0,0.0,0.0,832.6863996706851,0.5,1,0.0,10.851,2.594038628257587,0.024922118380062305,0.13395638629283488,0.34579439252336447,0.46417445482866043,0.7165109034267912,0.822429906542056
2026-05-12,0,7788,8074,113,113,226,113,164.42595180588359,0,0.0,0.0,0,0.0,0.0,164.42595180588359,0.5,1,0.0,13.613,1.4550969186361382,0.0,0.07079646017699115,0.30973451327433627,0.415929203539823,0.6902654867256637,0.8584070796460177
2026-05-13,0,4963,4543,61,61,122,61,-22.97061454307758,0,0.0,0.0,0,0.0,0.0,-22.97061454307758,0.5,1,0.0,12.523,-0.37656745152586246,0.01639344262295082,0.06557377049180328,0.26229508196721313,0.47540983606557374,0.6721311475409836,0.819672131147541
