dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,34189,32018,312,313,625,312,-406.6188033257331,1,-3.527697315522885,3.0938710067867627,0,0.0,0.0,-410.14650064125595,0.5008,1,0.0,52.689,-1.3032653952747852,0.00641025641025641,0.016025641025641024,0.09935897435897435,0.1762820512820513,0.3974358974358974,0.5160256410256411
2026-05-05,0,44412,51409,375,374,749,374,37.030064676134074,1,1.8756949262832845,0.9938786803305222,0,0.0,0.0,38.90575960241736,0.5006675567423231,1,0.0,67.894,0.09901086811800573,0.00267379679144385,0.01871657754010695,0.06951871657754011,0.12566844919786097,0.30213903743315507,0.4732620320855615
2026-05-06,0,52023,59897,484,484,968,484,-230.64702803972827,0,0.0,0.0,0,0.0,0.0,-230.64702803972827,0.5,1,0.0,48.8515,-0.4765434463630748,0.010330578512396695,0.03512396694214876,0.12603305785123967,0.1756198347107438,0.36983471074380164,0.5557851239669421
2026-05-07,0,48885,55596,463,464,927,463,-297.3169437048393,1,-7.605321076719417,3.1732050267625054,0,0.0,0.0,-304.9222647815587,0.5005393743257821,1,0.0,42.461,-0.6421532261443617,0.01079913606911447,0.04319654427645788,0.1771058315334773,0.2526997840172786,0.4168466522678186,0.5853131749460043
2026-05-08,0,45621,62823,511,511,1022,511,344.68110112576574,0,0.0,0.0,0,0.0,0.0,344.68110112576574,0.5,1,0.0,51.143,0.6745227027901471,0.005870841487279843,0.023483365949119372,0.11937377690802348,0.19765166340508805,0.3913894324853229,0.5557729941291585
2026-05-09,0,15852,5183,332,332,664,332,776.7373945190596,0,0.0,0.0,0,0.0,0.0,776.7373945190596,0.5,1,0.0,52.2845,2.3395704654188534,0.0030120481927710845,0.006024096385542169,0.16265060240963855,0.19879518072289157,0.39759036144578314,0.5180722891566265
2026-05-10,0,11525,16921,276,275,551,275,-1214.7585642250767,1,-4.10378141715506,3.025224724294573,0,0.0,0.0,-1218.8623456422317,0.5009074410163339,1,0.0,52.503,-4.417303869909366,0.007272727272727273,0.025454545454545455,0.08363636363636363,0.1890909090909091,0.38181818181818183,0.5309090909090909
2026-05-11,0,73746,73168,1147,1148,2295,1147,-1255.4283139127915,1,-0.9339999999999999,0.9085641282313803,0,0.0,0.0,-1256.3623139127915,0.5002178649237473,1,0.0,21.349,-1.0945320958263216,0.007846556233653008,0.03487358326068003,0.2057541412380122,0.32432432432432434,0.5911072362685266,0.7375762859633828
2026-05-12,0,79254,85289,1100,1099,2199,1099,-1105.7193051442605,1,-10.545662150075788,2.5814389993191136,0,0.0,0.0,-1116.2649672943362,0.5002273760800364,1,0.0,26.651,-1.006114017419709,0.010009099181073703,0.03275705186533212,0.1537761601455869,0.26660600545950863,0.5332120109190173,0.716105550500455
2026-05-13,0,70276,65753,1098,1097,2195,1097,-2026.678280930823,1,-1.5561923569885208,1.4681923569892281,0,0.0,0.0,-2028.2344732878114,0.5002277904328019,1,0.0,24.026,-1.84747336456775,0.007292616226071103,0.032816773017319965,0.16043755697356427,0.2862351868732908,0.5606198723792161,0.7192342752962625
2026-05-14,0,68147,84089,1156,1155,2311,1155,-1224.7319403969739,1,-2.3473821592626467,0.9744892872062927,0,0.0,0.0,-1227.0793225562365,0.5002163565556036,1,0.0,24.772,-1.0603739743696743,0.007792207792207792,0.03116883116883117,0.17316017316017315,0.2761904761904762,0.5515151515151515,0.729004329004329
2026-05-15,0,98982,93334,1346,1347,2693,1346,-1100.279362840237,1,-0.9339999999999999,1.2650851371460239,0,0.0,0.0,-1101.2133628402369,0.500185666542889,1,0.0,21.0235,-0.8174438059734302,0.01188707280832095,0.03937592867756315,0.19167904903417535,0.32317979197622587,0.6025260029717682,0.7845468053491828
2026-05-16,0,16163,17894,139,139,278,139,-470.6653919208198,0,0.0,0.0,0,0.0,0.0,-470.6653919208198,0.5,1,0.0,196.164,-3.386081956264892,0.007194244604316547,0.014388489208633094,0.07194244604316546,0.12949640287769784,0.22302158273381295,0.302158273381295
