dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,49260,44667,2021,2054,4075,138,465.54861061896815,0,0.0,0.0,3799,-14353.125523587083,14453.329661121987,-13887.576912968116,0.5,1,0.0,0.61,3.3735406566591895,0.1956521739130435,0.9782608695652174,0.9855072463768116,1.0,1.0,1.0
2026-05-05,71804,68547,1978,1997,3975,152,319.7785134191202,0,0.0,0.0,3671,-12833.381181619585,12191.754995067351,-12513.602668200465,0.5,1,0.0,0.625,2.103806009336316,0.23684210526315788,0.9868421052631579,0.9868421052631579,1.0,1.0,1.0
2026-05-06,78552,78008,3132,2656,5788,243,867.8234506504174,0,0.0,0.0,5302,-18724.480710453245,19864.061997014887,-17856.65725980283,0.5,1,0.0,0.536,3.5712899203720885,0.23045267489711935,0.9917695473251029,1.0,1.0,1.0,1.0
2026-05-07,72658,75836,2585,2324,4909,227,448.3697081021888,0,0.0,0.0,4455,-13821.631243456754,13122.637732164721,-13373.261535354564,0.5,1,0.0,0.547,1.9751969519920203,0.21585903083700442,0.9823788546255506,0.9955947136563876,0.9955947136563876,1.0,1.0
2026-05-08,76703,73621,2901,2665,5566,286,538.7496826327329,0,0.0,0.0,4994,-14680.716591706316,14433.264365741607,-14141.966909073582,0.5,1,0.0,0.5525,1.883740149065502,0.2727272727272727,0.9895104895104895,0.993006993006993,1.0,1.0,1.0
2026-05-09,14884,16379,1850,2367,4217,165,954.5223586055039,0,0.0,0.0,3887,-9956.767158544284,18156.162289022875,-9002.24479993878,0.5,1,0.0,0.548,5.784983991548506,0.2787878787878788,0.9393939393939394,0.9575757575757575,0.9757575757575757,1.0,1.0
2026-05-10,18691,19289,2133,1735,3868,212,396.13039798694234,0,0.0,0.0,3444,-11437.385402649632,11447.199209918585,-11041.25500466269,0.5,1,0.0,0.5345,1.8685396131459537,0.24056603773584906,0.9622641509433962,0.9811320754716981,0.9952830188679245,1.0,1.0
2026-05-11,99018,97468,6440,5839,12279,1171,3086.475111219373,0,0.0,0.0,9937,-37402.21496543383,30443.350172415056,-34315.73985421446,0.5,1,0.0,0.52,2.6357601291369543,0.25704526046114434,0.9871904355251921,0.9965841161400513,0.9982920580700256,1.0,1.0
2026-05-12,109595,112188,6072,5982,12054,828,1335.551903976443,0,0.0,0.0,10398,-35290.34298387888,25886.86254482492,-33954.79107990244,0.5,1,0.0,0.5405,1.612985391275897,0.23429951690821257,0.9855072463768116,0.9975845410628019,0.998792270531401,1.0,1.0
2026-05-13,89371,88754,6012,6156,12168,826,888.6146361068115,0,0.0,0.0,10516,-33405.24022454714,22851.669346499675,-32516.625588440325,0.5,1,0.0,0.5195000000000001,1.075804644197109,0.28692493946731235,0.9915254237288136,1.0,1.0,1.0,1.0
