dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,6419,5646,275,274,549,274,925.2345362699523,1,-36.36367310827239,5.892961981235397,0,0.0,0.0,888.87086316168,0.5009107468123861,1,0.0,72.8545,3.3767683805472726,0.0036496350364963502,0.01824817518248175,0.09124087591240876,0.145985401459854,0.29927007299270075,0.46715328467153283
2026-05-05,0,3558,2387,390,389,779,389,-696.4846285699799,1,-28.186906976744183,21.73989534883679,0,0.0,0.0,-724.671535546724,0.5006418485237484,1,0.0,39.315,-1.7904489166323374,0.002570694087403599,0.015424164524421594,0.15424164524421594,0.2442159383033419,0.45758354755784064,0.5989717223650386
2026-05-06,0,5763,6605,900,899,1799,899,8971.136696328083,1,-6.12139463104577,4.304263087364174,0,0.0,0.0,8965.015301697038,0.500277932184547,1,0.0,23.942,9.979017459764277,0.008898776418242492,0.03781979977753059,0.16129032258064516,0.27030033370411566,0.5728587319243604,0.7263626251390434
2026-05-07,0,6637,15464,735,735,1470,735,7276.033637881394,0,0.0,0.0,0,0.0,0.0,7276.033637881394,0.5,1,0.0,20.617,9.899365493716182,0.01904761904761905,0.07482993197278912,0.24217687074829933,0.34965986394557824,0.5972789115646259,0.7020408163265306
2026-05-08,0,6503,4404,421,422,843,421,350.7674579712044,1,-4.9373628247728085,10.05373449697728,0,0.0,0.0,345.8300951464316,0.5005931198102017,1,0.0,30.299,0.833176859789085,0.004750593824228029,0.04513064133016627,0.18052256532066507,0.2589073634204275,0.49643705463182897,0.6413301662707839
2026-05-09,0,3486,5727,416,415,831,415,2796.298113705432,1,0.6502839036758988,1.2420709759185244,0,0.0,0.0,2796.948397609108,0.5006016847172082,1,0.0,16.051,6.7380677438685,0.007228915662650603,0.03132530120481928,0.12771084337349398,0.3686746987951807,0.7807228915662651,0.8746987951807229
2026-05-10,0,653,989,127,126,253,126,1160.321906675417,1,3.0366174310105216,48.89047091522785,0,0.0,0.0,1163.3585241064275,0.5019762845849802,1,0.0,22.929499999999997,9.208904021233472,0.015873015873015872,0.03968253968253968,0.16666666666666666,0.2777777777777778,0.6190476190476191,0.8253968253968254
2026-05-11,0,12450,16175,691,690,1381,690,1284.7337570146835,1,-6.197751550927139,4.229840282738997,0,0.0,0.0,1278.5360054637563,0.500362056480811,1,0.0,33.7225,1.8619329811807015,0.007246376811594203,0.034782608695652174,0.1391304347826087,0.24057971014492754,0.46956521739130436,0.6304347826086957
2026-05-12,0,13477,24046,1285,1285,2570,1285,6311.630754231477,0,0.0,0.0,0,0.0,0.0,6311.630754231477,0.5,1,0.0,17.049,4.911774906016715,0.01867704280155642,0.05291828793774319,0.22957198443579765,0.3743190661478599,0.6536964980544747,0.7937743190661478
2026-05-13,0,17429,16203,2210,2209,4419,2209,10856.317189143723,1,-44.345548968975365,18.80939957336909,0,0.0,0.0,10811.971640174748,0.5001131477709889,1,0.0,14.183,4.914584512966825,0.012675418741511997,0.045722046174739704,0.2969669533725668,0.42191036668175647,0.8089633318243549,0.9253055681303758
2026-05-14,0,11822,10854,609,610,1219,609,307.732505687897,1,-3.211039848198724,9.95415939278972,0,0.0,0.0,304.5214658396983,0.5004101722723544,1,0.0,26.291,0.5053078911131323,0.0016420361247947454,0.019704433497536946,0.18226600985221675,0.2627257799671593,0.5829228243021346,0.7323481116584565
2026-05-15,0,24528,17047,1435,1436,2871,1435,3914.435410604081,1,-4.209869129029039,13.5399928749852,0,0.0,0.0,3910.225541475052,0.5001741553465692,1,0.0,17.031,2.7278295544279367,0.004181184668989547,0.030662020905923345,0.15749128919860628,0.32613240418118467,0.7581881533101046,0.8724738675958188
2026-05-16,0,15264,10086,397,398,795,397,-5229.689081328351,1,-50.42465863818204,19.404996989318267,0,0.0,0.0,-5280.113739966533,0.5006289308176101,1,0.0,19.849,-13.173020355990804,0.020151133501259445,0.08060453400503778,0.25692695214105793,0.34760705289672544,0.5667506297229219,0.6649874055415617
2026-05-17,0,16067,10813,245,244,489,244,-2960.043935032367,1,6.556636704118714,39.96376945484849,0,0.0,0.0,-2953.487298328248,0.5010224948875256,1,0.0,63.7805,-12.131327602591671,0.004098360655737705,0.020491803278688523,0.0942622950819672,0.1598360655737705,0.3114754098360656,0.48360655737704916
2026-05-18,0,12714,22129,767,766,1533,766,572.5631232668662,1,-26.744748928020556,9.172048041297197,0,0.0,0.0,545.8183743388456,0.5003261578604045,1,0.0,19.567500000000003,0.7474714402961695,0.007832898172323759,0.06005221932114883,0.21018276762402088,0.34986945169712796,0.6266318537859008,0.7389033942558747
