dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,5505,4986,223,222,445,222,2034.0250184870247,1,-36.36367310827239,5.892961981235397,0,0.0,0.0,1997.6613453787522,0.501123595505618,1,0.0,75.473,9.162274858049656,0.009009009009009009,0.018018018018018018,0.0990990990990991,0.13963963963963963,0.32882882882882886,0.45045045045045046
2026-05-05,0,2883,2018,276,275,551,275,1455.8708941296888,1,-28.186906976744183,21.73989534883679,0,0.0,0.0,1427.6839871529446,0.5009074410163339,1,0.0,32.454,5.294075978653412,0.0,0.0,0.11272727272727273,0.21818181818181817,0.46545454545454545,0.5927272727272728
2026-05-06,0,4918,5799,721,721,1442,721,11464.452555671074,0,0.0,0.0,0,0.0,0.0,11464.452555671074,0.5,1,0.0,24.99,15.900766374023679,0.0027739251040221915,0.02912621359223301,0.13314840499306518,0.2510402219140083,0.5520110957004161,0.710124826629681
2026-05-07,0,5973,13778,547,548,1095,547,10070.11840064828,1,71.90584339433671,2.6669960848588317,0,0.0,0.0,10142.024244042617,0.5004566210045662,1,0.0,22.905,18.409722853104725,0.007312614259597806,0.038391224862888484,0.19195612431444242,0.29981718464351004,0.5758683729433273,0.7038391224862889
2026-05-08,0,5634,3630,291,291,582,291,2716.309016909337,0,0.0,0.0,0,0.0,0.0,2716.309016909337,0.5,1,0.0,35.003,9.334395247111127,0.003436426116838488,0.024054982817869417,0.14432989690721648,0.24054982817869416,0.4879725085910653,0.6357388316151202
2026-05-09,0,2865,5187,305,304,609,304,4045.0664089324027,1,0.6502839036758988,1.2420709759185244,0,0.0,0.0,4045.7166928360784,0.5008210180623974,1,0.0,11.697,13.306139503067103,0.003289473684210526,0.01644736842105263,0.08881578947368421,0.40789473684210525,0.7927631578947368,0.8881578947368421
2026-05-10,0,503,856,101,100,201,100,1507.0132522380009,1,3.0366174310105216,48.89047091522785,0,0.0,0.0,1510.0498696690113,0.5024875621890548,1,0.0,23.5385,15.070132522380018,0.01,0.03,0.15,0.23,0.6,0.79
2026-05-11,0,10973,14571,497,497,994,497,5335.885566149225,0,0.0,0.0,0,0.0,0.0,5335.885566149225,0.5,1,0.0,33.531,10.736188261869664,0.006036217303822937,0.018108651911468814,0.1267605633802817,0.2193158953722334,0.46277665995975853,0.641851106639839
2026-05-12,0,11519,20875,971,971,1942,971,10085.356496667064,0,0.0,0.0,0,0.0,0.0,10085.356496667064,0.5,1,0.0,16.783,10.38656693786515,0.008238928939237899,0.03810504634397528,0.23274974253347064,0.3728115345005149,0.6560247167868177,0.8063851699279093
2026-05-13,0,13951,12688,1561,1561,3122,1561,13768.720004219187,0,0.0,0.0,0,0.0,0.0,13768.720004219187,0.5,1,0.0,16.059,8.820448433196148,0.008327994875080076,0.042921204356181936,0.29019859064702114,0.40614990390775146,0.820627802690583,0.9320948110185778
