dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,6627,5628,266,265,531,265,768.2823355534655,1,-36.36367310827239,5.892961981235397,0,0.0,0.0,731.9186624451931,0.5009416195856874,1,0.0,73.72,2.8991786247300566,0.007547169811320755,0.022641509433962263,0.07924528301886792,0.13962264150943396,0.29056603773584905,0.4716981132075472
2026-05-05,0,3577,2399,380,379,759,379,-880.5184484300369,1,-28.186906976744183,21.73989534883679,0,0.0,0.0,-908.7053554067811,0.5006587615283268,1,0.0,39.978,-2.3232676739578784,0.002638522427440633,0.0158311345646438,0.14511873350923482,0.24274406332453827,0.45118733509234826,0.58311345646438
2026-05-06,0,5806,6580,878,877,1755,877,8646.411152361621,1,-6.12139463104577,4.304263087364174,0,0.0,0.0,8640.289757730576,0.5002849002849002,1,0.0,24.841,9.859077710788624,0.00798175598631699,0.0330672748004561,0.15279361459521096,0.2611174458380844,0.5587229190421893,0.7137970353477765
2026-05-07,0,6465,15288,687,687,1374,687,6372.895595297718,0,0.0,0.0,0,0.0,0.0,6372.895595297718,0.5,1,0.0,22.224,9.276412802471205,0.01455604075691412,0.06404657933042213,0.22707423580786026,0.3289665211062591,0.5735080058224163,0.6855895196506551
2026-05-08,0,6510,4388,412,413,825,412,545.6457364238586,1,-4.9373628247728085,10.05373449697728,0,0.0,0.0,540.7083735990858,0.5006060606060606,1,0.0,32.8565,1.324382855397715,0.0048543689320388345,0.04611650485436893,0.17475728155339806,0.2524271844660194,0.49029126213592233,0.6383495145631068
2026-05-09,0,3499,5729,404,403,807,403,2656.1018045615274,1,0.6502839036758988,1.2420709759185244,0,0.0,0.0,2656.752088465203,0.5006195786864932,1,0.0,15.975,6.590823336380949,0.0024813895781637717,0.02481389578163772,0.12158808933002481,0.36724565756823824,0.7766749379652605,0.8660049627791563
2026-05-10,0,655,982,123,122,245,122,1053.0571190416094,1,-110.42161372139805,48.50068079240728,0,0.0,0.0,942.6355053202115,0.5020408163265306,1,0.0,24.5445,8.63161572984926,0.00819672131147541,0.02459016393442623,0.13934426229508196,0.2459016393442623,0.5901639344262295,0.819672131147541
2026-05-11,0,12873,16134,660,659,1319,659,1319.5731461346409,1,-6.197751550927139,4.229840282738997,0,0.0,0.0,1313.3753945837136,0.5003790750568613,1,0.0,36.166,2.0023871716762396,0.0015174506828528073,0.025796661608497723,0.1274658573596358,0.2109256449165402,0.44461305007587254,0.6206373292867982
2026-05-12,0,13744,23928,1213,1213,2426,1213,6229.142171450177,0,0.0,0.0,0,0.0,0.0,6229.142171450177,0.5,1,0.0,19.322,5.135319185037244,0.01731244847485573,0.0494641384995878,0.21764220939818632,0.34954657873042044,0.6273701566364386,0.7823577906018137
2026-05-13,0,17527,16192,2107,2106,4213,2106,10214.400898498625,1,-44.345548968975365,18.80939957336909,0,0.0,0.0,10170.05534952965,0.5001186802753382,1,0.0,15.9465,4.85014287677997,0.013295346628679962,0.04083570750237417,0.28300094966761635,0.4036087369420703,0.7858499525166192,0.9178537511870846
2026-05-14,0,11853,10908,593,594,1187,593,602.2652987376064,1,-3.211039848198724,9.95415939278972,0,0.0,0.0,599.0542588894076,0.5004212299915753,1,0.0,27.942,1.015624449810466,0.0016863406408094434,0.01517706576728499,0.163575042158516,0.23946037099494097,0.5750421585160203,0.7284991568296796
2026-05-15,0,24581,17054,1302,1303,2605,1302,2611.8153503988456,1,-4.209869129029039,13.5399928749852,0,0.0,0.0,2607.6054812698167,0.5001919385796545,1,0.0,18.430500000000002,2.0060025732710067,0.0038402457757296467,0.023809523809523808,0.1497695852534562,0.30568356374807987,0.717357910906298,0.8494623655913979
2026-05-16,0,15086,9597,369,370,739,369,-4671.055051400825,1,-50.42465863818204,19.404996989318267,0,0.0,0.0,-4721.479710039007,0.5006765899864682,1,0.0,25.506,-12.658685776153986,0.005420054200542005,0.06233062330623306,0.21951219512195122,0.2981029810298103,0.5338753387533876,0.6395663956639567
2026-05-17,0,16151,10752,238,238,476,238,-2864.910135538847,0,0.0,0.0,0,0.0,0.0,-2864.910135538847,0.5,1,0.0,64.2005,-12.037437544280872,0.004201680672268907,0.02100840336134454,0.07983193277310924,0.15126050420168066,0.3067226890756303,0.4789915966386555
2026-05-18,0,13309,22182,694,693,1387,693,-168.57908622098265,1,-25.91110432103905,9.17170144034635,0,0.0,0.0,-194.4901905420217,0.5003604902667628,1,0.0,22.198,-0.24325986467674252,0.002886002886002886,0.050505050505050504,0.19336219336219337,0.329004329004329,0.5916305916305916,0.7316017316017316
2026-05-19,0,17303,27976,1184,1184,2368,1184,6510.540365823497,0,0.0,0.0,0,0.0,0.0,6510.540365823497,0.5,1,0.0,21.025,5.498767200864437,0.02364864864864865,0.05152027027027027,0.17905405405405406,0.30405405405405406,0.6469594594594594,0.7820945945945946
2026-05-20,0,18667,14482,483,483,966,483,-645.6285325350734,0,0.0,0.0,0,0.0,0.0,-645.6285325350734,0.5,1,0.0,27.023,-1.3367050363045,0.008281573498964804,0.039337474120082816,0.15942028985507245,0.2795031055900621,0.5424430641821946,0.6770186335403726
2026-05-21,0,20622,17783,994,994,1988,994,-14419.053177109887,0,0.0,0.0,0,0.0,0.0,-14419.053177109887,0.5,1,0.0,17.3195,-14.50608971540228,0.008048289738430584,0.05835010060362173,0.20824949698189135,0.3551307847082495,0.6327967806841046,0.7796780684104627
2026-05-22,0,19449,13753,531,530,1061,530,-6116.952789902901,1,-62.89285296687547,8.392270553658316,0,0.0,0.0,-6179.845642869776,0.5004712535344015,1,0.0,32.6695,-11.54142035830737,0.005660377358490566,0.02830188679245283,0.1509433962264151,0.27735849056603773,0.4867924528301887,0.6396226415094339
2026-05-23,0,13422,13525,719,718,1437,718,-7042.276259661847,1,-36.25612239883388,7.372913921523634,0,0.0,0.0,-7078.532382060681,0.500347947112039,1,0.0,11.4265,-9.808184205657179,0.016713091922005572,0.10863509749303621,0.32729805013927576,0.4735376044568245,0.7144846796657381,0.8189415041782729
2026-05-24,0,11499,10552,291,290,581,290,-2556.271405228808,1,-2.4231478351516733,13.503756598786685,0,0.0,0.0,-2558.6945530639596,0.5008605851979346,1,0.0,37.4375,-8.814728983547612,0.006896551724137931,0.08620689655172414,0.20344827586206896,0.296551724137931,0.4724137931034483,0.5758620689655173
2026-05-25,0,17847,12440,767,767,1534,767,-2995.6004710263483,0,0.0,0.0,0,0.0,0.0,-2995.6004710263483,0.5,1,0.0,15.058,-3.9056068722638195,0.014341590612777053,0.07170795306388526,0.2633637548891786,0.39374185136897,0.636245110821382,0.7705345501955672
2026-05-26,0,16077,12611,1141,1141,2282,1141,-924.2539896047225,0,0.0,0.0,0,0.0,0.0,-924.2539896047225,0.5,1,0.0,17.402,-0.810038553553659,0.011393514460999123,0.06836108676599474,0.24715162138475022,0.3663453111305872,0.6459246275197196,0.7879053461875548
2026-05-27,0,24350,20959,2868,2867,5735,2867,4853.455991941162,1,-13.727320540013404,5.55932862000502,0,0.0,0.0,4839.728671401149,0.5000871839581517,1,0.0,9.221,1.6928691984447761,0.0177886292291594,0.10882455528426926,0.3348447854900593,0.519009417509592,0.8371119637251483,0.9396581792814789
2026-05-28,0,20624,21254,2052,2051,4103,2051,-540.2645905038947,1,-11.041710287754738,6.531587036862131,0,0.0,0.0,-551.3063007916495,0.5001218620521569,1,0.0,12.975,-0.2634152074616743,0.011701608971233545,0.07996099463676255,0.26084836665041444,0.40419307654802533,0.7581667479278401,0.8868844466114091
2026-05-29,0,12531,13954,948,949,1897,948,-5453.762218353284,1,-0.9339999999999999,2.148507326603268,0,0.0,0.0,-5454.696218353284,0.5002635740643121,1,0.0,20.1075,-5.752913732440165,0.013713080168776372,0.06962025316455696,0.21835443037974683,0.33122362869198313,0.5780590717299579,0.7383966244725738
2026-05-30,0,7563,4623,323,322,645,322,-1014.4913748087453,1,9.268780257621072,5.309716362708404,0,0.0,0.0,-1005.2225945511242,0.5007751937984496,1,0.0,31.743499999999997,-3.1505943317041756,0.015527950310559006,0.06832298136645963,0.2453416149068323,0.3105590062111801,0.4813664596273292,0.593167701863354
2026-05-31,0,20830,11067,921,920,1841,920,-3281.5681580873575,1,-4.819003885004768,1.4935006475007948,0,0.0,0.0,-3286.3871619723623,0.5002715915263444,1,0.0,8.994,-3.566921910964522,0.02282608695652174,0.10217391304347827,0.3630434782608696,0.5380434782608695,0.7543478260869565,0.8315217391304348
2026-06-01,0,20325,14295,2100,2100,4200,2100,5980.3304804733725,0,0.0,0.0,0,0.0,0.0,5980.3304804733725,0.5,1,0.0,12.352,2.8477764192730346,0.017142857142857144,0.08476190476190476,0.29619047619047617,0.4380952380952381,0.7871428571428571,0.9014285714285715
2026-06-02,0,26877,22927,3948,3947,7895,3947,9954.099401274945,1,-7.149426689042202,2.3998566722605505,0,0.0,0.0,9946.949974585903,0.5000633312222926,1,0.0,7.134,2.5219405627755096,0.02989612363820623,0.12034456549277933,0.3995439574360274,0.5923486192044591,0.8819356473270838,0.9531289587028122
2026-06-03,0,30074,23099,3264,3265,6529,3264,6152.652459909368,1,-1.5970860022553972,4.824516013527105,0,0.0,0.0,6151.055373907113,0.5000765814060346,1,0.0,7.154999999999999,1.8850038173742034,0.02696078431372549,0.11213235294117647,0.4010416666666667,0.5830269607843137,0.8556985294117647,0.9414828431372549
2026-06-04,0,36389,39646,5516,5517,11033,5516,14590.324344769262,1,-0.9339999999999999,3.3187992087044136,0,0.0,0.0,14589.390344769263,0.5000453185896855,1,0.0,4.324999999999999,2.645091433061863,0.044960116026105876,0.16588107324147933,0.5380710659898477,0.7090282813633068,0.9216823785351704,0.9758883248730964
2026-06-05,0,46429,47955,6728,6728,13456,6728,8048.312990973158,0,0.0,0.0,0,0.0,0.0,8048.312990973158,0.5,1,0.0,4.2305,1.196241526601219,0.0447384066587396,0.17018430439952437,0.5451843043995244,0.7326099881093936,0.9475326991676576,0.9885552913198573
2026-06-06,0,3261,4348,436,436,872,436,-275.0708869756391,0,0.0,0.0,0,0.0,0.0,-275.0708869756391,0.5,1,0.0,8.531500000000001,-0.6308965297606408,0.020642201834862386,0.08256880733944955,0.33715596330275227,0.5458715596330275,0.8669724770642202,0.9610091743119266
2026-06-07,0,41245,42620,6818,6819,13637,6818,9984.16503465168,1,-9.082631029986961,4.105452411994599,0,0.0,0.0,9975.082403621693,0.5000366649556354,1,0.0,3.3455,1.4643832553023939,0.05309474919331182,0.19521853916104429,0.6286300968025814,0.8147550601349369,0.9705192138457025,0.9914931064828395
