dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,5455,4959,211,210,421,210,1771.4439039039219,1,-36.36367310827239,5.892961981235397,0,0.0,0.0,1735.0802307956494,0.501187648456057,1,0.0,84.52600000000001,8.435447161447247,0.0,0.009523809523809525,0.0761904761904762,0.11428571428571428,0.29523809523809524,0.42857142857142855
2026-05-05,0,2899,2004,266,265,531,265,1191.2939502571664,1,-28.186906976744183,21.73989534883679,0,0.0,0.0,1163.1070432804222,0.5009416195856874,1,0.0,41.44,4.495448868894964,0.0,0.0,0.09433962264150944,0.21132075471698114,0.4490566037735849,0.569811320754717
2026-05-06,0,4894,5682,693,693,1386,693,10793.16125252668,0,0.0,0.0,0,0.0,0.0,10793.16125252668,0.5,1,0.0,25.007,15.574547261943266,0.002886002886002886,0.023088023088023088,0.12265512265512266,0.24386724386724387,0.5512265512265512,0.7113997113997114
2026-05-07,0,5784,13427,499,500,999,499,9013.149584508323,1,71.90584339433671,2.6669960848588317,0,0.0,0.0,9085.05542790266,0.5005005005005005,1,0.0,25.443,18.062424017050763,0.004008016032064128,0.03206412825651302,0.16633266533066132,0.28256513026052105,0.561122244488978,0.6913827655310621
2026-05-08,0,5599,3626,286,286,572,286,2683.616274216443,0,0.0,0.0,0,0.0,0.0,2683.616274216443,0.5,1,0.0,30.0905,9.383273686071481,0.0034965034965034965,0.024475524475524476,0.14335664335664336,0.24125874125874125,0.5,0.6468531468531469
2026-05-09,0,2870,5156,292,291,583,291,3908.8469800128614,1,0.6502839036758988,1.2420709759185244,0,0.0,0.0,3909.497263916537,0.5008576329331046,1,0.0,14.503,13.432463848841433,0.003436426116838488,0.010309278350515464,0.07560137457044673,0.38831615120274915,0.7800687285223368,0.8797250859106529
2026-05-10,0,499,846,95,94,189,94,1472.6086338916698,1,3.0366174310105216,48.89047091522785,0,0.0,0.0,1475.6452513226802,0.5026455026455027,1,0.0,25.688000000000002,15.6660492967199,0.010638297872340425,0.02127659574468085,0.11702127659574468,0.20212765957446807,0.5638297872340425,0.776595744680851
2026-05-11,0,10874,14373,476,476,952,476,5232.07394295575,0,0.0,0.0,0,0.0,0.0,5232.07394295575,0.5,1,0.0,33.581,10.991751980999469,0.0,0.0063025210084033615,0.12184873949579832,0.21428571428571427,0.46638655462184875,0.6449579831932774
2026-05-12,0,11390,20626,907,907,1814,907,9091.140049872805,0,0.0,0.0,0,0.0,0.0,9091.140049872805,0.5,1,0.0,16.783,10.023307662483791,0.007717750826901874,0.03969128996692393,0.24255788313120177,0.36934950385887544,0.6571113561190739,0.8114663726571113
2026-05-13,0,13685,12613,1465,1465,2930,1465,12806.163219437844,0,0.0,0.0,0,0.0,0.0,12806.163219437844,0.5,1,0.0,15.896,8.741408340913198,0.008191126279863481,0.032081911262798635,0.29965870307167236,0.4136518771331058,0.8068259385665529,0.9296928327645051
2026-05-14,0,9648,9479,399,400,799,399,1741.0023405496738,1,-3.211039848198724,9.95415939278972,0,0.0,0.0,1737.7913007014752,0.5006257822277848,1,0.0,27.999,4.363414387342533,0.0,0.007518796992481203,0.15789473684210525,0.21303258145363407,0.5488721804511278,0.7142857142857143
2026-05-15,0,20308,14200,972,973,1945,972,6784.241774614928,1,-4.209869129029039,13.5399928749852,0,0.0,0.0,6780.031905485898,0.5002570694087404,1,0.0,18.9795,6.97967260762853,0.00102880658436214,0.01440329218106996,0.12037037037037036,0.2757201646090535,0.7386831275720165,0.8672839506172839
2026-05-16,0,13203,8470,195,195,390,195,-1259.1460863819643,0,0.0,0.0,0,0.0,0.0,-1259.1460863819643,0.5,1,0.0,25.124,-6.457159417343404,0.010256410256410256,0.046153846153846156,0.18461538461538463,0.28717948717948716,0.5230769230769231,0.6051282051282051
2026-05-17,0,14441,9721,162,162,324,162,-1142.9743386511666,0,0.0,0.0,0,0.0,0.0,-1142.9743386511666,0.5,1,0.0,40.038,-7.055397152167691,0.006172839506172839,0.043209876543209874,0.10493827160493827,0.21604938271604937,0.4567901234567901,0.6049382716049383
2026-05-18,0,10078,18065,425,425,850,425,1802.2612216569396,0,0.0,0.0,0,0.0,0.0,1802.2612216569396,0.5,1,0.0,20.626,4.240614639192801,0.002352941176470588,0.03058823529411765,0.17176470588235293,0.30823529411764705,0.6329411764705882,0.7482352941176471
2026-05-19,0,14431,23803,902,902,1804,902,8672.68134515479,0,0.0,0.0,0,0.0,0.0,8672.68134515479,0.5,1,0.0,20.1235,9.61494605892992,0.017738359201773836,0.037694013303769404,0.15077605321507762,0.2982261640798226,0.6685144124168514,0.8137472283813747
2026-05-20,0,15792,12277,336,335,671,335,1439.3169953375832,1,10.565917857730335,1.2567113520613975,0,0.0,0.0,1449.8829131953134,0.5007451564828614,1,0.0,28.043,4.296468642798759,0.005970149253731343,0.03880597014925373,0.14328358208955225,0.2626865671641791,0.5283582089552239,0.6656716417910448
2026-05-21,0,14820,12918,443,443,886,443,-2095.132669550086,0,0.0,0.0,0,0.0,0.0,-2095.132669550086,0.5,1,0.0,19.027,-4.729419118623219,0.002257336343115124,0.05869074492099323,0.18961625282167044,0.327313769751693,0.5959367945823928,0.7404063205417607
2026-05-22,0,16073,10854,284,283,567,283,-155.11785863466469,1,-62.89285296687547,8.392270553658316,0,0.0,0.0,-218.01071160154015,0.5008818342151675,1,0.0,32.961,-0.5481196418186032,0.0035335689045936395,0.0353356890459364,0.1872791519434629,0.2862190812720848,0.48056537102473496,0.6183745583038869
2026-05-23,0,11602,11463,335,334,669,334,-807.1672220378946,1,-36.25612239883388,7.372913921523634,0,0.0,0.0,-843.4233444367285,0.5007473841554559,1,0.0,10.1195,-2.4166683294547755,0.0029940119760479044,0.10778443113772455,0.3413173652694611,0.5,0.688622754491018,0.7784431137724551
2026-05-24,0,10438,9244,188,187,375,187,-452.52455798973915,1,-2.4231478351516733,13.503756598786685,0,0.0,0.0,-454.9477058248908,0.5013333333333333,1,0.0,59.063,-2.4199174224050233,0.0,0.10160427807486631,0.18181818181818182,0.25133689839572193,0.39037433155080214,0.5026737967914439
2026-05-25,0,15699,9022,427,427,854,427,527.5615057401087,0,0.0,0.0,0,0.0,0.0,527.5615057401087,0.5,1,0.0,15.973,1.2355070392040028,0.00234192037470726,0.06323185011709602,0.24355971896955503,0.3629976580796253,0.6229508196721312,0.7634660421545667
2026-05-26,0,13409,10098,754,754,1508,754,2271.514568564608,0,0.0,0.0,0,0.0,0.0,2271.514568564608,0.5,1,0.0,18.2665,3.0126187911997464,0.006631299734748011,0.050397877984084884,0.22944297082228116,0.33156498673740054,0.6485411140583555,0.8010610079575596
2026-05-27,0,19071,15910,1815,1814,3629,1814,12318.038815349077,1,-13.727320540013404,5.55932862000502,0,0.0,0.0,12304.311494809062,0.50013777900248,1,0.0,10.214,6.790539589497832,0.005512679162072767,0.08985667034178611,0.31422271223814774,0.49228224917309815,0.8395810363836824,0.9338478500551268
2026-05-28,0,14805,15665,1216,1215,2431,1215,5964.56786918069,1,-13.535203414926123,6.516541536717329,0,0.0,0.0,5951.032665765763,0.5002056766762649,1,0.0,13.413,4.909109357350366,0.006584362139917695,0.07654320987654321,0.24444444444444444,0.38189300411522636,0.7547325102880659,0.8880658436213992
2026-05-29,0,7709,9761,427,427,854,427,-594.3537871733499,0,0.0,0.0,0,0.0,0.0,-594.3537871733499,0.5,1,0.0,31.479,-1.39192924396569,0.00468384074941452,0.0585480093676815,0.1990632318501171,0.2927400468384075,0.4918032786885246,0.6651053864168618
2026-05-30,0,3820,2915,149,148,297,148,-31.999178181088233,1,9.268780257621072,5.309716362708404,0,0.0,0.0,-22.73039792346716,0.5016835016835017,1,0.0,36.819,-0.2162106633857327,0.006756756756756757,0.08783783783783784,0.22972972972972974,0.2702702702702703,0.44594594594594594,0.6486486486486487
2026-05-31,0,11279,5743,387,387,774,387,-119.74209163788878,0,0.0,0.0,0,0.0,0.0,-119.74209163788878,0.5,1,0.0,11.853,-0.3094110895035886,0.002583979328165375,0.059431524547803614,0.3049095607235142,0.46511627906976744,0.7028423772609819,0.8010335917312662
2026-06-01,0,16885,11076,1454,1454,2908,1454,8616.470475108174,0,0.0,0.0,0,0.0,0.0,8616.470475108174,0.5,1,0.0,14.01,5.926045718781404,0.012379642365887207,0.06808803301237965,0.2551581843191197,0.4016506189821183,0.7696011004126547,0.8968363136176066
2026-06-02,0,18754,15702,2410,2409,4819,2409,12088.3119212004,1,-7.149426689042202,2.3998566722605505,0,0.0,0.0,12081.162494511358,0.500103755965968,1,0.0,6.772,5.017979211789275,0.019510170195101702,0.10253217102532171,0.41469489414694893,0.6151930261519303,0.9032793690327937,0.9613947696139477
2026-06-03,0,22065,16141,2016,2017,4033,2016,7595.062386268272,1,-1.5970860022553972,4.824516013527105,0,0.0,0.0,7593.465300266017,0.5001239771881973,1,0.0,6.9495000000000005,3.767392056680698,0.011904761904761904,0.09424603174603174,0.4017857142857143,0.5922619047619048,0.8784722222222222,0.9484126984126984
2026-06-04,0,26110,29416,3835,3836,7671,3835,16005.888625194764,1,-0.9339999999999999,3.3187992087044136,0,0.0,0.0,16004.954625194765,0.5000651805501238,1,0.0,4.301,4.173634582840871,0.026857887874837026,0.13872229465449804,0.5410691003911343,0.7222946544980443,0.9345501955671447,0.98122555410691
2026-06-05,0,28724,29737,3809,3809,7618,3809,12609.591099910802,0,0.0,0.0,0,0.0,0.0,12609.591099910802,0.5,1,0.0,4.055,3.3104728537439554,0.024678393279075873,0.14597007088474664,0.55473877658178,0.7479653452349698,0.9558939354161197,0.9915988448411657
2026-06-06,0,1687,2447,189,190,379,189,177.39701169759078,1,-0.9339999999999999,1.2583541297262342,0,0.0,0.0,176.4630116975908,0.5013192612137203,1,0.0,7.991,0.9386085275004802,0.015873015873015872,0.09523809523809523,0.35978835978835977,0.5608465608465608,0.8941798941798942,0.9682539682539683
2026-06-07,0,23469,23348,3342,3342,6684,3342,13392.281679450254,0,0.0,0.0,0,0.0,0.0,13392.281679450254,0.5,1,0.0,3.264,4.007265613240659,0.022740873728306403,0.1687612208258528,0.6412327947336924,0.8363255535607421,0.9793536804308797,0.9937163375224417
2026-06-08,0,30514,31724,4134,4134,8268,4134,11780.69626335787,0,0.0,0.0,0,0.0,0.0,11780.69626335787,0.5,1,0.0,3.1055,2.849708820357475,0.02926947266569908,0.17706821480406387,0.6477987421383647,0.8442186744073537,0.9891146589259797,0.9990324141267537
2026-06-09,0,24691,24223,3208,3208,6416,3208,4016.7989173003093,0,0.0,0.0,0,0.0,0.0,4016.7989173003093,0.5,1,0.0,3.0540000000000003,1.2521193632482226,0.024625935162094763,0.1658354114713217,0.6533665835411472,0.8444513715710723,0.9825436408977556,0.9971945137157108
2026-06-10,0,27746,25657,3340,3340,6680,3340,3530.8586732409285,0,0.0,0.0,0,0.0,0.0,3530.8586732409285,0.5,1,0.0,3.2225,1.0571433153415914,0.021856287425149702,0.1601796407185629,0.6416167664670659,0.837125748502994,0.9859281437125749,0.9985029940119761
2026-06-11,0,17532,20537,2394,2394,4788,2394,628.0025348013352,0,0.0,0.0,0,0.0,0.0,628.0025348013352,0.5,1,0.0,3.0789999999999997,0.26232353166304795,0.02297410192147034,0.1595655806182122,0.6687552213868003,0.8625730994152047,0.9878863826232247,0.9979114452798663
2026-06-12,0,17848,19311,2252,2253,4505,2252,778.2819175338182,1,-0.2531721132903795,1.1864139433555843,0,0.0,0.0,778.0287454205278,0.500110987791343,1,0.0,3.242,0.34559587812336684,0.021314387211367674,0.15186500888099466,0.6518650088809946,0.8352575488454707,0.9862344582593251,0.9982238010657194
2026-06-13,0,4343,4430,402,402,804,402,53.67267982510902,0,0.0,0.0,0,0.0,0.0,53.67267982510902,0.5,1,0.0,8.843499999999999,0.13351412891818157,0.022388059701492536,0.1044776119402985,0.36318407960199006,0.5472636815920398,0.8283582089552238,0.9552238805970149
2026-06-14,0,10840,8507,1350,1350,2700,1350,2635.3216885078728,0,0.0,0.0,0,0.0,0.0,2635.3216885078728,0.5,1,0.0,4.170999999999999,1.9520901396354593,0.028888888888888888,0.16074074074074074,0.5377777777777778,0.7229629629629629,0.9296296296296296,0.9785185185185186
2026-06-15,0,13442,14085,1897,1896,3793,1896,2490.676322257726,1,-0.2989785680272484,2.7510642959204206,0,0.0,0.0,2490.3773436896986,0.5001318217769576,1,0.0,3.75,1.3136478492920456,0.01740506329113924,0.12921940928270043,0.6002109704641351,0.7842827004219409,0.9683544303797469,0.994198312236287
2026-06-16,0,17654,18686,2247,2247,4494,2247,2085.7119619529144,0,0.0,0.0,0,0.0,0.0,2085.7119619529144,0.5,1,0.0,4.322,0.9282207218304035,0.01602136181575434,0.11481975967957277,0.5402759234534935,0.7498887405429462,0.9657320872274143,0.9937694704049844
2026-06-17,0,32035,30799,4177,4177,8354,4177,4618.447035937618,0,0.0,0.0,0,0.0,0.0,4618.447035937618,0.5,1,0.0,3.101,1.1056851893554238,0.025137658606655493,0.1680632032559253,0.657170217859708,0.8486952358151784,0.9873114675604501,0.9995211874551113
2026-06-18,0,31465,33598,4401,4402,8803,4401,5189.2709053191875,1,-2.5604129462468057,5.454170014366771,0,0.0,0.0,5186.71049237294,0.5000567988185846,1,0.0,3.047,1.1791117712608914,0.02794819359236537,0.17814133151556463,0.6596228129970462,0.8486707566462167,0.9875028402635765,0.9981822313110656
2026-06-19,0,29905,29604,3743,3742,7485,3742,4239.027790576844,1,-18.430856033681696,2.212941877631363,0,0.0,0.0,4220.596934543163,0.5000668002672011,1,0.0,2.9314999999999998,1.1328241022385976,0.036344200962052375,0.18920363442009622,0.6825227151256013,0.8637092463923036,0.9810261892036344,0.9951897381079636
2026-06-20,0,15212,14046,1580,1580,3160,1580,1198.2564774638888,0,0.0,0.0,0,0.0,0.0,1198.2564774638888,0.5,1,0.0,4.534,0.7583901756100531,0.0189873417721519,0.13291139240506328,0.5322784810126582,0.720886075949367,0.9386075949367089,0.9759493670886076
2026-06-21,0,14587,9909,1895,1895,3790,1895,2789.5856525218032,0,0.0,0.0,0,0.0,0.0,2789.5856525218032,0.5,1,0.0,3.519,1.472076861489079,0.0395778364116095,0.1941952506596306,0.5931398416886543,0.7641160949868074,0.9430079155672824,0.9825857519788919
2026-06-22,0,31572,35519,5204,5203,10407,5203,7718.90895232288,1,-24.36417806935333,9.69740060397816,0,0.0,0.0,7694.544774253527,0.5000480445853752,1,0.0,2.735,1.4835496737118883,0.046703824716509704,0.21526042667691717,0.6949836632711897,0.8675763982317893,0.9892369786661541,0.9978858350951374
2026-06-23,0,50375,48776,7922,7923,15845,7922,11105.975517283141,1,-1.5236400247656854,5.268300185736608,0,0.0,0.0,11104.451877258376,0.500031555695803,1,0.0,2.3,1.4019156169254157,0.03862660944206009,0.2296137339055794,0.766220651350669,0.9203483968694774,0.9964655390053017,0.9998737692501893
2026-06-24,0,45618,47610,7538,7539,15077,7538,13521.009907518659,1,-3.6312353337828727,3.812958867161528,0,0.0,0.0,13517.378672184876,0.5000331630961067,1,0.0,2.2355,1.7937131742529266,0.037410453701247015,0.22910586362430352,0.7759352613425312,0.9231891748474397,0.9952241973998408,0.9993366940833113
