dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,6722,5707,148,148,296,148,300.283185550469,0,0.0,0.0,0,0.0,0.0,300.283185550469,0.5,1,0.0,183.43,2.028940442908574,0.0,0.013513513513513514,0.06756756756756757,0.11486486486486487,0.17567567567567569,0.2635135135135135
2026-05-05,0,3871,2562,224,223,447,223,125.69114661953554,1,-28.186906976744183,21.73989534883679,0,0.0,0.0,97.50423964279136,0.5011185682326622,1,0.0,51.461,0.5636374287871551,0.004484304932735426,0.013452914798206279,0.1031390134529148,0.16591928251121077,0.37668161434977576,0.547085201793722
2026-05-06,0,6168,6595,389,388,777,388,4075.1393097086184,1,12.027762799740765,4.302470079930674,0,0.0,0.0,4087.167072508359,0.5006435006435006,1,0.0,62.789,10.502936365228388,0.002577319587628866,0.010309278350515464,0.07474226804123711,0.13659793814432988,0.3556701030927835,0.4896907216494845
2026-05-07,0,7129,13288,369,368,737,368,4167.891759418712,1,-106.62505691056951,2.6526847335144126,0,0.0,0.0,4061.2667025081428,0.5006784260515604,1,0.0,34.926,11.325792824507372,0.008152173913043478,0.05434782608695652,0.1875,0.2554347826086957,0.4782608695652174,0.5896739130434783
2026-05-08,0,6563,4218,238,238,476,238,1727.7142139601278,0,0.0,0.0,0,0.0,0.0,1727.7142139601278,0.5,1,0.0,88.47550000000001,7.259303420000541,0.004201680672268907,0.01680672268907563,0.07563025210084033,0.14705882352941177,0.29831932773109243,0.4327731092436975
2026-05-09,0,3694,5424,289,288,577,288,3473.1596671085454,1,0.6502839036758988,1.2420709759185244,0,0.0,0.0,3473.809951012221,0.5008665511265165,1,0.0,22.9795,12.05958217746021,0.003472222222222222,0.003472222222222222,0.020833333333333332,0.2604166666666667,0.7013888888888888,0.8472222222222222
2026-05-10,0,544,1119,79,78,157,78,1113.244726137897,1,-75.87286566222294,48.570224974363555,0,0.0,0.0,1037.371860475674,0.5031847133757962,1,0.0,34.103,14.272368283819192,0.0,0.02564102564102564,0.14102564102564102,0.19230769230769232,0.47435897435897434,0.6538461538461539
2026-05-11,0,13674,14044,405,405,810,405,2267.115118059843,0,0.0,0.0,0,0.0,0.0,2267.115118059843,0.5,1,0.0,66.012,5.5978151063206,0.0024691358024691358,0.01728395061728395,0.07160493827160494,0.11358024691358025,0.3037037037037037,0.4765432098765432
2026-05-12,0,14125,24752,766,765,1531,765,4176.468205696709,1,25.863303521333545,21.781393376041535,0,0.0,0.0,4202.331509218043,0.5003265839320705,1,0.0,30.049,5.459435563002231,0.01045751633986928,0.0392156862745098,0.15816993464052287,0.2522875816993464,0.4980392156862745,0.6784313725490196
2026-05-13,0,20130,11991,801,802,1603,801,1189.6900113192294,1,17.719236336504384,18.753106883044037,0,0.0,0.0,1207.4092476557337,0.5003119151590767,1,0.0,28.146,1.485255944218762,0.008739076154806492,0.0449438202247191,0.14606741573033707,0.23470661672908863,0.519350811485643,0.682896379525593
2026-05-14,0,12496,9320,272,273,545,272,-836.196619754894,1,-2.4519689575351635,9.953813745209255,0,0.0,0.0,-838.6485887124292,0.5009174311926605,1,0.0,85.2105,-3.0742522785106434,0.0,0.007352941176470588,0.0661764705882353,0.11764705882352941,0.2867647058823529,0.43014705882352944
