dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,4092,5496,10,9,19,9,-464.07987522217303,1,-31.51658817810795,5.909342413594062,0,0.0,0.0,-495.596463400281,0.5263157894736842,1,0.0,3922.564,-51.56443058024146,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-05,0,2109,2588,17,17,34,17,-644.2248535834694,0,0.0,0.0,0,0.0,0.0,-644.2248535834694,0.5,1,0.0,418.31,-37.89557962255702,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941
2026-05-06,0,5779,4080,37,36,73,36,-1027.3475352308963,1,-12.995167348695787,4.292047813913222,0,0.0,0.0,-1040.342702579592,0.5068493150684932,1,0.0,551.9765,-28.537431534191562,0.0,0.0,0.0,0.0,0.05555555555555555,0.08333333333333333
2026-05-07,0,7749,7055,27,27,54,27,-415.94441013879316,0,0.0,0.0,0,0.0,0.0,-415.94441013879316,0.5,1,0.0,391.63,-15.405348523658999,0.0,0.0,0.037037037037037035,0.07407407407407407,0.14814814814814814,0.18518518518518517
2026-05-08,0,4095,4588,22,23,45,22,374.893946338919,1,-47.54655324278674,10.088144177448987,0,0.0,0.0,327.3473930961323,0.5111111111111111,1,0.0,1024.571,17.04063392449632,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456
2026-05-09,0,3446,4368,4,3,7,3,43.63124740107184,1,0.6502839036758988,1.2420709759185244,0,0.0,0.0,44.28153130474774,0.5714285714285714,1,0.0,3711.266,14.543749133690612,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-10,0,620,635,9,9,18,9,-160.97004365829855,0,0.0,0.0,0,0.0,0.0,-160.97004365829855,0.5,1,0.0,158.28,-17.885560406477616,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
2026-05-11,0,12208,10903,39,39,78,39,-497.0217050048889,0,0.0,0.0,0,0.0,0.0,-497.0217050048889,0.5,1,0.0,507.693,-12.744146282176636,0.0,0.0,0.0,0.0,0.02564102564102564,0.07692307692307693
2026-05-12,0,11392,16822,59,60,119,59,-780.1879405836776,1,-36.06427476893517,21.756877838651665,0,0.0,0.0,-816.2522153526128,0.5042016806722689,1,0.0,427.91,-13.223524416672497,0.0,0.0,0.03389830508474576,0.05084745762711865,0.11864406779661017,0.1694915254237288
2026-05-13,0,12832,11804,32,31,63,31,-1386.516060441454,1,-32.3393912588331,18.791937862189982,0,0.0,0.0,-1418.8554517002872,0.5079365079365079,1,0.0,474.389,-44.726324530369496,0.0,0.0,0.0,0.0,0.0,0.03225806451612903
2026-05-14,0,8128,9081,22,22,44,22,-111.82843570486543,0,0.0,0.0,0,0.0,0.0,-111.82843570486543,0.5,1,0.0,550.2605,-5.083110713857521,0.0,0.0,0.0,0.0,0.09090909090909091,0.22727272727272727
2026-05-15,0,16414,15227,35,34,69,34,-129.29686016317854,1,4.815722781221553,13.577529015565881,0,0.0,0.0,-124.48113738195698,0.5072463768115942,1,0.0,511.024,-3.8028488283287807,0.0,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705
2026-05-16,0,4068,15476,5,5,10,5,-245.07945033745824,0,0.0,0.0,0,0.0,0.0,-245.07945033745824,0.5,1,0.0,4006.418,-49.01589006749165,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-17,0,13386,7297,10,10,20,10,-443.7697291033429,0,0.0,0.0,0,0.0,0.0,-443.7697291033429,0.5,1,0.0,288.39549999999997,-44.37697291033429,0.0,0.0,0.0,0.0,0.2,0.3
2026-05-18,0,12381,15029,29,30,59,29,-325.35522014515243,1,138.5509785407714,9.099549026081215,0,0.0,0.0,-186.80424160438102,0.5084745762711864,1,0.0,619.439,-11.219145522246636,0.0,0.0,0.0,0.0,0.034482758620689655,0.06896551724137931
2026-05-19,0,19609,16846,32,31,63,31,-181.72051745809745,1,-39.8445058365751,12.68832786330551,0,0.0,0.0,-221.56502329467256,0.5079365079365079,1,0.0,631.505,-5.861952176067664,0.0,0.0,0.0,0.0,0.0,0.06451612903225806
2026-05-20,0,13082,12430,34,34,68,34,-421.52891065398035,0,0.0,0.0,0,0.0,0.0,-421.52891065398035,0.5,1,0.0,621.932,-12.397909136881774,0.0,0.0,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.08823529411764706
2026-05-21,0,11648,16046,25,26,51,25,-671.092417711256,1,-58.51557389635317,1.6137543186182168,0,0.0,0.0,-729.6079916076092,0.5098039215686274,1,0.0,572.421,-26.843696708450228,0.0,0.0,0.08,0.08,0.08,0.12
2026-05-22,0,10962,12756,13,12,25,12,-452.36890054246345,1,-327.7263362175522,8.185307787392192,0,0.0,0.0,-780.0952367600157,0.52,1,0.0,1805.1609999999998,-37.69740837853862,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333
2026-05-23,0,12427,10348,10,10,20,10,-367.55484458404027,0,0.0,0.0,0,0.0,0.0,-367.55484458404027,0.5,1,0.0,690.8305,-36.75548445840403,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-24,0,11464,7453,15,16,31,15,-128.81238590657483,1,-14.336330516361672,13.503756598786685,0,0.0,0.0,-143.1487164229365,0.5161290322580645,1,0.0,2170.335,-8.587492393771656,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667
2026-05-25,0,9767,14122,17,16,33,16,-330.7268751957617,1,1.3101651705562127,12.066825852782765,0,0.0,0.0,-329.4167100252055,0.5151515151515151,1,0.0,961.8924999999999,-20.670429699735106,0.0,0.0,0.0625,0.0625,0.0625,0.125
2026-05-26,0,13855,8742,47,47,94,47,-751.296418978437,0,0.0,0.0,0,0.0,0.0,-751.296418978437,0.5,1,0.0,348.265,-15.985030191030578,0.0,0.0,0.0,0.0,0.1276595744680851,0.2765957446808511
2026-05-27,0,14640,20193,82,81,163,81,-1203.9520257396414,1,-17.746939238037594,5.553622986650832,0,0.0,0.0,-1221.698964977679,0.5030674846625767,1,0.0,201.386,-14.863605256044957,0.0,0.012345679012345678,0.04938271604938271,0.08641975308641975,0.18518518518518517,0.2716049382716049
2026-05-28,0,16827,15960,45,44,89,44,-1288.859089430268,1,-13.535203414926123,6.516541536717329,0,0.0,0.0,-1302.3942928451943,0.5056179775280899,1,0.0,551.9525,-29.292252032506095,0.0,0.0,0.0,0.09090909090909091,0.13636363636363635,0.18181818181818182
2026-05-29,0,7258,9577,24,24,48,24,-607.9925353070935,0,0.0,0.0,0,0.0,0.0,-607.9925353070935,0.5,1,0.0,490.8615,-25.333022304462222,0.0,0.0,0.0,0.0,0.08333333333333333,0.125
2026-05-30,0,3358,6688,4,4,8,4,177.5727641355619,0,0.0,0.0,0,0.0,0.0,177.5727641355619,0.5,1,0.0,13753.0665,44.393191033890474,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-31,0,14849,8507,18,18,36,18,-486.1920384598438,0,0.0,0.0,0,0.0,0.0,-486.1920384598438,0.5,1,0.0,632.8240000000001,-27.010668803324656,0.0,0.0,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.3333333333333333
2026-06-01,0,13064,12929,67,67,134,67,-1514.39493575022,0,0.0,0.0,0,0.0,0.0,-1514.39493575022,0.5,1,0.0,453.082,-22.602909488809257,0.0,0.014925373134328358,0.029850746268656716,0.07462686567164178,0.13432835820895522,0.19402985074626866
2026-06-02,0,14285,19986,44,44,88,44,-130.0294110982859,0,0.0,0.0,0,0.0,0.0,-130.0294110982859,0.5,1,0.0,145.026,-2.9552138885974064,0.0,0.0,0.09090909090909091,0.11363636363636363,0.20454545454545456,0.3181818181818182
2026-06-03,0,16244,21693,27,26,53,26,-370.49329409831944,1,-14.19044594684165,4.822933784052646,0,0.0,0.0,-384.6837400451611,0.5094339622641509,1,0.0,765.635,-14.249742080704596,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.15384615384615385
2026-06-04,0,26155,30585,59,58,117,58,-1241.4661068709377,1,-37.561456504895716,3.311309572445043,0,0.0,0.0,-1279.0275633758333,0.5042735042735043,1,0.0,241.267,-21.404588049498926,0.0,0.0,0.05172413793103448,0.05172413793103448,0.13793103448275862,0.27586206896551724
2026-06-05,0,25379,35363,102,102,204,102,-718.2190269555035,0,0.0,0.0,0,0.0,0.0,-718.2190269555035,0.5,1,0.0,107.25999999999999,-7.041363009367685,0.0,0.0196078431372549,0.0784313725490196,0.13725490196078433,0.29411764705882354,0.4019607843137255
2026-06-06,0,2025,1975,2,2,4,2,21.619105965167098,0,0.0,0.0,0,0.0,0.0,21.619105965167098,0.5,1,0.0,587.227,10.809552982583549,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-07,0,26912,27943,104,104,208,104,-1394.487650537776,0,0.0,0.0,0,0.0,0.0,-1394.487650537776,0.5,1,0.0,118.5295,-13.408535101324768,0.0,0.009615384615384616,0.04807692307692308,0.10576923076923077,0.2403846153846154,0.36538461538461536
2026-06-08,0,34870,33327,137,136,273,136,-1377.108861027766,1,3.4858895027617605,2.319296500921145,0,0.0,0.0,-1373.6229715250042,0.5018315018315018,1,0.0,54.3065,-10.125800448733571,0.007352941176470588,0.022058823529411766,0.15441176470588236,0.18382352941176472,0.4117647058823529,0.5147058823529411
2026-06-09,0,32315,26764,94,95,189,94,-1149.2630626305242,1,-57.61180845807262,2.299277139950093,0,0.0,0.0,-1206.8748710885968,0.5026455026455027,1,0.0,71.863,-12.22620279394175,0.010638297872340425,0.010638297872340425,0.06382978723404255,0.11702127659574468,0.22340425531914893,0.4574468085106383
2026-06-10,0,26029,31930,94,94,188,94,-83.35268822982219,0,0.0,0.0,0,0.0,0.0,-83.35268822982219,0.5,1,0.0,96.536,-0.8867307258491731,0.0,0.0,0.031914893617021274,0.07446808510638298,0.2765957446808511,0.35106382978723405
2026-06-11,0,26275,19151,81,80,161,80,-1156.307357428131,1,-8.8587152055476,4.808357602773801,0,0.0,0.0,-1165.1660726336786,0.5031055900621118,1,0.0,77.813,-14.45384196785164,0.0,0.025,0.1,0.125,0.2375,0.375
2026-06-12,0,22228,24335,77,77,154,77,-494.3490329328818,0,0.0,0.0,0,0.0,0.0,-494.3490329328818,0.5,1,0.0,109.559,-6.42011731081665,0.0,0.012987012987012988,0.05194805194805195,0.1038961038961039,0.23376623376623376,0.3246753246753247
2026-06-13,0,4679,3260,2,2,4,2,-29.339660157495658,0,0.0,0.0,0,0.0,0.0,-29.339660157495658,0.5,1,0.0,2079.575,-14.669830078747829,0.0,0.0,0.0,0.0,0.5,0.5
2026-06-14,0,15418,11722,43,43,86,43,-191.72738794434144,0,0.0,0.0,0,0.0,0.0,-191.72738794434144,0.5,1,0.0,82.953,-4.458776463821894,0.0,0.023255813953488372,0.06976744186046512,0.18604651162790697,0.3023255813953488,0.4418604651162791
2026-06-15,0,12770,20884,43,43,86,43,-363.4940226909703,0,0.0,0.0,0,0.0,0.0,-363.4940226909703,0.5,1,0.0,276.112,-8.453349364906284,0.0,0.0,0.0,0.046511627906976744,0.13953488372093023,0.2558139534883721
