dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,8741,995,0,1,1,0,0.0,1,-123.26224231468419,5.981526545536714,0,0.0,0.0,-123.26224231468419,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-05,0,4797,1735,1,2,3,1,-744.7327651632961,1,-49.2233717826063,21.801765113206272,0,0.0,0.0,-793.9561369459024,0.6666666666666666,1,0.0,41077.949,-744.7327651632961,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-06,0,8920,6741,5,5,10,5,-34.24378793676643,0,0.0,0.0,0,0.0,0.0,-34.24378793676643,0.5,1,0.0,2711.293,-6.848757587353286,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07,0,7607,3947,3,2,5,2,-136.41511182117134,1,110.67931980444526,2.6908482612309332,0,0.0,0.0,-25.73579201672608,0.6,1,0.0,31392.1195,-68.20755591058567,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08,0,8900,6995,1,2,3,1,-6.608936635573774,1,-71.32519705489557,10.150583518750574,0,0.0,0.0,-77.93413369046934,0.6666666666666666,1,0.0,678.008,-6.608936635573774,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-09,0,4534,2605,0,1,1,0,0.0,1,-17.595377340526095,1.242699460488373,0,0.0,0.0,-17.595377340526095,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-10,0,446,1251,1,0,1,0,0.0,1,-27.175501331956433,48.95541910858468,0,0.0,0.0,-27.175501331956433,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-11,0,17745,709,1,2,3,1,-30.313203584740695,1,-371.66570731707316,4.358195121951574,0,0.0,0.0,-401.97891090181383,0.6666666666666666,1,0.0,2459.536,-30.313203584740695,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12,0,6543,27640,4,3,7,3,-708.7394600566349,1,-48.34904803893062,21.642073701285195,0,0.0,0.0,-757.0885080955655,0.5714285714285714,1,0.0,4498.962,-236.24648668554497,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-13,0,26955,4666,1,2,3,1,-654.3516745936408,1,86.53495963826364,18.636296875578946,0,0.0,0.0,-567.8167149553772,0.6666666666666666,1,0.0,49439.027,-654.3516745936408,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-14,0,8111,16706,2,1,3,1,-148.04185365853726,1,26.457006619492574,9.976335539831435,0,0.0,0.0,-121.58484703904469,0.6666666666666666,1,0.0,2891.029,-148.04185365853726,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-15,0,4803,26674,2,1,3,1,-272.4941660833099,1,-218.0892660152009,13.31232082679912,0,0.0,0.0,-490.5834320985108,0.6666666666666666,1,0.0,2079.316,-272.4941660833099,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-16,0,1402,17863,1,0,1,0,0.0,1,-50.13449200492005,19.29618450184502,0,0.0,0.0,-50.13449200492005,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-17,0,21338,8952,0,1,1,0,0.0,1,285.0680140986908,38.71105538771436,0,0.0,0.0,285.0680140986908,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-18,0,5281,24770,3,2,5,2,579.2520098636212,1,-108.49201927770652,9.119693790592809,0,0.0,0.0,470.7599905859147,0.6,1,0.0,5528.5025000000005,289.6260049318106,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-19,0,32876,5723,1,1,2,1,-295.69186791725554,0,0.0,0.0,0,0.0,0.0,-295.69186791725554,0.5,1,0.0,74904.076,-295.69186791725554,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-20,0,24284,18746,2,2,4,2,137.46347387653583,0,0.0,0.0,0,0.0,0.0,137.46347387653583,0.5,1,0.0,7593.940500000001,68.73173693826791,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-21,0,18207,19085,3,4,7,3,296.85496699472526,1,-55.42782147517181,1.6135186123265233,0,0.0,0.0,241.42714551955345,0.5714285714285714,1,0.0,14807.276,98.95165566490842,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22,0,4595,21356,1,0,1,0,0.0,1,-271.59314835698973,8.234683647676807,0,0.0,0.0,-271.59314835698973,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-23,0,8298,18519,1,2,3,1,-73.24196009474596,1,-91.88549253731378,7.4535870646767926,0,0.0,0.0,-165.12745263205974,0.6666666666666666,1,0.0,59532.357,-73.24196009474596,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-24,0,17565,1102,0,1,1,0,0.0,1,-307.10342909760664,13.890812768570026,0,0.0,0.0,-307.10342909760664,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-25,0,8507,20532,3,2,5,2,-152.60981936080137,1,-136.74239207292388,11.917336310292653,0,0.0,0.0,-289.35221143372524,0.6,1,0.0,3718.864,-76.30490968040068,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26,0,17572,11730,3,4,7,3,359.78916872638683,1,-289.2846343713956,13.058497455730159,0,0.0,0.0,70.50453435499122,0.5714285714285714,1,0.0,12914.468,119.92972290879561,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-27,0,27742,23635,9,9,18,9,400.80133058434643,0,0.0,0.0,0,0.0,0.0,400.80133058434643,0.5,1,0.0,2648.251,44.53348117603849,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28,0,26383,20970,4,3,7,3,-350.3714806729339,1,-103.52697488348873,6.476102280191993,0,0.0,0.0,-453.8984555564226,0.5714285714285714,1,0.0,19227.664,-116.79049355764464,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2026-05-29,0,6478,24348,1,0,1,0,0.0,1,-125.20959562137767,2.1338300064387106,0,0.0,0.0,-125.20959562137767,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-30,0,10070,10602,1,0,1,0,0.0,1,-0.9339999999999999,5.30530880713446,0,0.0,0.0,-0.9339999999999999,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-31,0,23995,22175,3,2,5,2,59.23874313182749,1,-228.90805378172453,1.4757625795076688,0,0.0,0.0,-169.66931064989706,0.6,1,0.0,9759.77,29.619371565913745,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,0,26148,6244,2,3,5,2,-1326.9009223573826,1,-81.63597911996354,16.538051495548142,0,0.0,0.0,-1408.5369014773462,0.6,1,0.0,35900.0645,-663.4504611786913,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02,0,23675,21173,2,3,5,2,276.37709399678386,1,-309.45349049478364,2.446204826217756,0,0.0,0.0,-33.07639649799978,0.6,1,0.0,16932.271999999997,138.18854699839193,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-03,0,42829,21419,5,6,11,5,-76.71261666352582,1,16.911340383343145,4.811631196298895,0,0.0,0.0,-59.80127628018268,0.5454545454545454,1,0.0,264.719,-15.342523332705165,0.0,0.0,0.0,0.0,0.0,0.2
2026-06-04,0,44419,36958,10,9,19,9,931.5894354694008,1,-142.3235176736894,3.2837503047189465,0,0.0,0.0,789.2659177957114,0.5263157894736842,1,0.0,3157.695,103.50993727437786,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05,0,43652,41589,6,7,13,6,-392.4808324824156,1,147.5172919274595,5.259416787032215,0,0.0,0.0,-244.96354055495613,0.5384615384615384,1,0.0,4784.2080000000005,-65.4134720804026,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,0,3562,6123,1,0,1,0,0.0,1,-35.46211575139794,1.2570489970400733,0,0.0,0.0,-35.46211575139794,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-07,0,15308,61713,11,12,23,11,-414.44368034271156,1,-156.3380090927874,4.152468278569764,0,0.0,0.0,-570.781689435499,0.5217391304347826,1,0.0,900.056,-37.67669821297377,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091
2026-06-08,0,75416,69005,14,14,28,14,20.917477949636563,0,0.0,0.0,0,0.0,0.0,20.917477949636563,0.5,1,0.0,1598.1119999999999,1.494105567831179,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-09,0,64972,55417,11,10,21,10,-707.9920708491545,1,223.07073145307325,2.324579085498331,0,0.0,0.0,-484.9213393960813,0.5238095238095238,1,0.0,3163.5119999999997,-70.79920708491545,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10,0,56909,90373,10,10,20,10,-707.7308614861765,0,0.0,0.0,0,0.0,0.0,-707.7308614861765,0.5,1,0.0,1343.0025,-70.77308614861764,0.0,0.0,0.0,0.0,0.0,0.0
