dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,11357,9911,74,75,149,74,-768.6221282791333,1,-58.23499300016249,27.86862738075807,0,0.0,0.0,-826.8571212792958,0.5033557046979866,1,0.0,229.10899999999998,-10.386785517285585,0.0,0.02702702702702703,0.08108108108108109,0.12162162162162163,0.22972972972972974,0.33783783783783783
2026-05-05,0,8192,6481,505,505,1010,505,8749.443854312123,0,0.0,0.0,0,0.0,0.0,8749.443854312123,0.5,1,0.0,20.57,17.325631394677465,0.0,0.015841584158415842,0.08118811881188119,0.12871287128712872,0.5544554455445545,0.7425742574257426
2026-05-06,0,7353,4163,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-07,0,3072,3967,275,274,549,274,-181.4999771937142,1,-72.50722384664421,43.01317063833357,0,0.0,0.0,-254.00720104035838,0.5009107468123861,1,0.0,35.198499999999996,-0.6624086758894678,0.0036496350364963502,0.025547445255474453,0.13138686131386862,0.22262773722627738,0.4708029197080292,0.6058394160583942
2026-05-08,0,9050,5426,199,198,397,198,-368.50459063463484,1,-147.12079962243195,39.32894890722955,0,0.0,0.0,-515.6253902570668,0.5012594458438288,1,0.0,35.744,-1.8611342961345183,0.0,0.015151515151515152,0.12121212121212122,0.21212121212121213,0.4595959595959596,0.5656565656565656
2026-05-09,0,1395,766,17,17,34,17,65.13535219094314,0,0.0,0.0,0,0.0,0.0,65.13535219094314,0.5,1,0.0,1460.955,3.8314913053495965,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
2026-05-10,0,1189,892,56,56,112,56,-567.8590583665512,0,0.0,0.0,0,0.0,0.0,-567.8590583665512,0.5,1,0.0,56.5265,-10.140340327974128,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.08928571428571429,0.32142857142857145,0.5178571428571429
2026-05-11,0,3716,3215,196,196,392,196,-1347.5833758022648,0,0.0,0.0,0,0.0,0.0,-1347.5833758022648,0.5,1,0.0,71.833,-6.8754253867462465,0.0,0.00510204081632653,0.05102040816326531,0.16326530612244897,0.3010204081632653,0.46938775510204084
2026-05-12,0,7964,7782,445,444,889,444,-2172.6109248859316,1,-47.904671289177365,3.9214606201250777,0,0.0,0.0,-2220.515596175109,0.500562429696288,1,0.0,38.650999999999996,-4.893267848842181,0.01126126126126126,0.04054054054054054,0.15090090090090091,0.24774774774774774,0.4527027027027027,0.5788288288288288
2026-05-13,0,8462,9861,604,605,1209,604,-2237.033569702968,1,-1.9729340536614752,3.4433351341522123,0,0.0,0.0,-2239.0065037566296,0.5004135649296939,1,0.0,25.881999999999998,-3.703697963084386,0.008278145695364239,0.04966887417218543,0.1804635761589404,0.304635761589404,0.5281456953642384,0.6490066225165563
