dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,7294,11004,24,23,47,23,-416.97955210777195,1,-106.90021925374128,27.498109691091905,0,0.0,0.0,-523.8797713615132,0.5106382978723404,1,0.0,763.552,-18.129545743816173,0.0,0.0,0.0,0.0,0.08695652173913043,0.17391304347826086
2026-05-05,0,9615,4715,27,26,53,26,492.5226900376299,1,38.25645390734769,4.94052503509553,0,0.0,0.0,530.7791439449776,0.5094339622641509,1,0.0,896.0785000000001,18.943180386062686,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464
2026-05-06,0,7353,4163,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-07,0,3072,3913,70,70,140,70,-268.0965454145029,0,0.0,0.0,0,0.0,0.0,-268.0965454145029,0.5,1,0.0,186.07799999999997,-3.829950648778613,0.0,0.0,0.014285714285714285,0.02857142857142857,0.18571428571428572,0.3
2026-05-08,0,8394,6013,47,47,94,47,349.1789062164903,0,0.0,0.0,0,0.0,0.0,349.1789062164903,0.5,1,0.0,418.241,7.429338430138094,0.0,0.0,0.0425531914893617,0.0851063829787234,0.19148936170212766,0.2553191489361702
2026-05-09,0,1634,424,5,4,9,4,-1.1385336076703467,1,13.05639969124597,2.775710302240492,0,0.0,0.0,11.917866083575623,0.5555555555555556,1,0.0,9183.418000000001,-0.2846334019175867,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-10,0,591,1215,17,16,33,16,-119.29890710796477,1,-111.57917758803606,45.0535481230738,0,0.0,0.0,-230.87808469600083,0.5151515151515151,1,0.0,129.89749999999998,-7.456181694247798,0.0,0.0,0.0,0.0,0.1875,0.25
2026-05-11,0,3778,3589,69,69,138,69,-1019.5946594705525,0,0.0,0.0,0,0.0,0.0,-1019.5946594705525,0.5,1,0.0,264.225,-14.7767341952254,0.0,0.0,0.0,0.028985507246376812,0.14492753623188406,0.21739130434782608
2026-05-12,0,7603,8237,105,104,209,104,-1277.6949352762656,1,-63.582580618095626,3.9224927982104223,0,0.0,0.0,-1341.2775158943612,0.5023923444976076,1,0.0,194.55700000000002,-12.285528223810243,0.0,0.028846153846153848,0.0673076923076923,0.11538461538461539,0.23076923076923078,0.28846153846153844
2026-05-13,0,8873,10022,119,119,238,119,-1419.914548641987,0,0.0,0.0,0,0.0,0.0,-1419.914548641987,0.5,1,0.0,178.27,-11.932055030604934,0.0,0.03361344537815126,0.09243697478991597,0.11764705882352941,0.17647058823529413,0.2689075630252101
