dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,5115,11138,17,16,33,16,-123.12544162611917,1,-81.86405331106629,27.501533431819134,0,0.0,0.0,-204.98949493718544,0.5151515151515151,1,0.0,1116.6035000000002,-7.69534010163245,0.0,0.0,0.0,0.0,0.0,0.0625
2026-05-05,0,8645,2907,19,19,38,19,-201.91564291191378,0,0.0,0.0,0,0.0,0.0,-201.91564291191378,0.5,1,0.0,911.366,-10.62713910062704,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-06,0,5356,3064,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-07,0,2445,2537,45,45,90,45,543.6368908110384,0,0.0,0.0,0,0.0,0.0,543.6368908110384,0.5,1,0.0,84.53,12.080819795800851,0.0,0.0,0.022222222222222223,0.022222222222222223,0.2,0.4
2026-05-08,0,6971,4199,29,29,58,29,492.5385675716647,0,0.0,0.0,0,0.0,0.0,492.5385675716647,0.5,1,0.0,602.678,16.98408853695397,0.0,0.0,0.034482758620689655,0.034482758620689655,0.1724137931034483,0.20689655172413793
2026-05-09,0,1201,657,3,2,5,2,62.154620352261894,1,13.05639969124597,2.775710302240492,0,0.0,0.0,75.21102004350786,0.6,1,0.0,3182.0240000000003,31.077310176130947,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-10,0,690,632,11,10,21,10,-125.73541846624559,1,-82.50874729562047,45.180101791097705,0,0.0,0.0,-208.24416576186604,0.5238095238095238,1,0.0,141.06599999999997,-12.57354184662456,0.0,0.0,0.1,0.1,0.3,0.3
2026-05-11,0,2508,2186,36,36,72,36,-205.17063349265706,0,0.0,0.0,0,0.0,0.0,-205.17063349265706,0.5,1,0.0,153.4615,-5.699184263684918,0.0,0.0,0.0,0.027777777777777776,0.08333333333333333,0.16666666666666666
2026-05-12,0,4477,6322,58,57,115,57,519.7644781102009,1,-81.11440591330481,3.90844605918911,0,0.0,0.0,438.6500721968961,0.5043478260869565,1,0.0,156.242,9.118675054564928,0.0,0.0,0.03508771929824561,0.10526315789473684,0.2631578947368421,0.3684210526315789
2026-05-13,0,5332,6816,58,58,116,58,-128.98134209512972,0,0.0,0.0,0,0.0,0.0,-128.98134209512972,0.5,1,0.0,234.3995,-2.223816243019476,0.0,0.034482758620689655,0.034482758620689655,0.08620689655172414,0.15517241379310345,0.2413793103448276
2026-05-14,0,5671,6295,30,30,60,30,-467.92871466391597,0,0.0,0.0,0,0.0,0.0,-467.92871466391597,0.5,1,0.0,568.9465,-15.597623822130537,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
2026-05-15,0,6685,25051,30,30,60,30,-296.9239357413942,0,0.0,0.0,0,0.0,0.0,-296.9239357413942,0.5,1,0.0,350.2715,-9.89746452471314,0.0,0.0,0.03333333333333333,0.06666666666666667,0.1,0.1
