dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,3865,3972,234,234,468,234,779.5926438297319,0,0.0,0.0,0,0.0,0.0,779.5926438297319,0.5,1,0.0,11.116,3.331592494998855,0.017094017094017096,0.05982905982905983,0.32905982905982906,0.4700854700854701,0.7564102564102564,0.8846153846153846
2026-05-05,0,1595,1386,71,71,142,71,-221.35501165622648,0,0.0,0.0,0,0.0,0.0,-221.35501165622648,0.5,1,0.0,6.49,-3.117676220510232,0.0,0.056338028169014086,0.4647887323943662,0.5774647887323944,0.8169014084507042,0.8873239436619719
2026-05-06,0,6477,6837,260,260,520,260,836.8910130282243,0,0.0,0.0,0,0.0,0.0,836.8910130282243,0.5,1,0.0,10.0745,3.2188115885700914,0.011538461538461539,0.06538461538461539,0.35,0.49615384615384617,0.7307692307692307,0.8923076923076924
2026-05-07,0,2666,2457,110,110,220,110,192.97829047711568,0,0.0,0.0,0,0.0,0.0,192.97829047711568,0.5,1,0.0,5.4355,1.7543480952465071,0.02727272727272727,0.17272727272727273,0.4727272727272727,0.6090909090909091,0.8545454545454545,0.9181818181818182
2026-05-08,0,3024,2430,122,122,244,122,-479.18934932257395,0,0.0,0.0,0,0.0,0.0,-479.18934932257395,0.5,1,0.0,7.003500000000001,-3.927781551824377,0.01639344262295082,0.13114754098360656,0.45901639344262296,0.5655737704918032,0.8278688524590164,0.8852459016393442
2026-05-09,0,1159,1713,159,159,318,159,237.91827130394836,0,0.0,0.0,0,0.0,0.0,237.91827130394836,0.5,1,0.0,15.226,1.49634132895565,0.0,0.06918238993710692,0.3710691823899371,0.4528301886792453,0.5660377358490566,0.6540880503144654
2026-05-10,0,1760,2067,191,191,382,191,351.5316412707608,0,0.0,0.0,0,0.0,0.0,351.5316412707608,0.5,1,0.0,17.494,1.8404797972291136,0.010471204188481676,0.05759162303664921,0.28272251308900526,0.39267015706806285,0.680628272251309,0.8429319371727748
2026-05-11,0,7126,7794,516,516,1032,516,427.26730056840915,0,0.0,0.0,0,0.0,0.0,427.26730056840915,0.5,1,0.0,5.9895,0.8280374042023433,0.011627906976744186,0.10077519379844961,0.42054263565891475,0.6569767441860465,0.9069767441860465,0.9767441860465116
2026-05-12,0,5716,5402,248,248,496,248,-143.03743810838068,0,0.0,0.0,0,0.0,0.0,-143.03743810838068,0.5,1,0.0,6.1315,-0.5767638633402444,0.012096774193548387,0.125,0.45161290322580644,0.6330645161290323,0.8709677419354839,0.9637096774193549
2026-05-13,0,4045,4225,182,182,364,182,16.36939602520795,0,0.0,0.0,0,0.0,0.0,16.36939602520795,0.5,1,0.0,4.3835,0.089941736402241,0.04395604395604396,0.2087912087912088,0.521978021978022,0.6868131868131868,0.8846153846153846,0.9505494505494505
2026-05-14,0,3100,3592,192,192,384,192,163.65834535643927,0,0.0,0.0,0,0.0,0.0,163.65834535643927,0.5,1,0.0,2.797,0.8523872153981213,0.026041666666666668,0.18229166666666666,0.625,0.75,0.9010416666666666,0.953125
2026-05-15,0,6321,5578,269,269,538,269,157.1669482635314,0,0.0,0.0,0,0.0,0.0,157.1669482635314,0.5,1,0.0,3.84,0.5842637481915665,0.01858736059479554,0.1524163568773234,0.5464684014869888,0.6951672862453532,0.8847583643122676,0.9776951672862454
2026-05-16,0,1621,1001,82,82,164,82,-120.83755483694745,0,0.0,0.0,0,0.0,0.0,-120.83755483694745,0.5,1,0.0,16.774,-1.4736287175237484,0.012195121951219513,0.04878048780487805,0.32926829268292684,0.4146341463414634,0.6463414634146342,0.6707317073170732
2026-05-17,0,1537,1078,65,65,130,65,21.817084936178365,0,0.0,0.0,0,0.0,0.0,21.817084936178365,0.5,1,0.0,13.916,0.3356474605565903,0.015384615384615385,0.07692307692307693,0.2923076923076923,0.4461538461538462,0.7076923076923077,0.8615384615384616
2026-05-18,0,4356,2994,164,164,328,164,248.76030306692107,0,0.0,0.0,0,0.0,0.0,248.76030306692107,0.5,1,0.0,6.0725,1.5168311162617134,0.018292682926829267,0.0975609756097561,0.4451219512195122,0.6158536585365854,0.9024390243902439,0.9695121951219512
2026-05-19,0,2104,2213,74,74,148,74,67.71999210927898,0,0.0,0.0,0,0.0,0.0,67.71999210927898,0.5,1,0.0,3.427,0.9151350285037702,0.013513513513513514,0.24324324324324326,0.6081081081081081,0.8108108108108109,0.918918918918919,0.9459459459459459
2026-05-20,0,1836,1804,63,63,126,63,-131.32617149496838,0,0.0,0.0,0,0.0,0.0,-131.32617149496838,0.5,1,0.0,7.592,-2.084542404682037,0.0,0.12698412698412698,0.47619047619047616,0.5873015873015873,0.8571428571428571,0.9206349206349206
2026-05-21,0,1086,1278,53,53,106,53,-3.9785603754702388,0,0.0,0.0,0,0.0,0.0,-3.9785603754702388,0.5,1,0.0,4.322,-0.07506717689566489,0.018867924528301886,0.20754716981132076,0.6037735849056604,0.7358490566037735,0.9245283018867925,0.9811320754716981
2026-05-22,0,1600,939,61,61,122,61,25.446970602888292,0,0.0,0.0,0,0.0,0.0,25.446970602888292,0.5,1,0.0,5.397,0.4171634525063651,0.03278688524590164,0.11475409836065574,0.4918032786885246,0.6557377049180327,0.9016393442622951,0.9672131147540983
2026-05-23,0,762,1277,56,56,112,56,-6.53685615512895,0,0.0,0.0,0,0.0,0.0,-6.53685615512895,0.5,1,0.0,5.3195,-0.11672957419873106,0.03571428571428571,0.26785714285714285,0.5,0.5535714285714286,0.6785714285714286,0.8035714285714286
2026-05-24,0,881,1099,30,30,60,30,-80.53682062427352,0,0.0,0.0,0,0.0,0.0,-80.53682062427352,0.5,1,0.0,27.863999999999997,-2.6845606874757837,0.0,0.06666666666666667,0.2,0.26666666666666666,0.5666666666666667,0.7666666666666667
2026-05-25,0,405,321,7,7,14,7,-22.026049077895657,0,0.0,0.0,0,0.0,0.0,-22.026049077895657,0.5,1,0.0,19.479,-3.1465784396993794,0.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.5714285714285714
2026-05-26,0,2621,1561,95,95,190,95,-123.86913964992193,0,0.0,0.0,0,0.0,0.0,-123.86913964992193,0.5,1,0.0,5.07,-1.303885680525494,0.021052631578947368,0.1368421052631579,0.49473684210526314,0.6736842105263158,0.8526315789473684,0.9368421052631579
2026-05-27,0,2207,2202,97,97,194,97,-101.6800061472089,0,0.0,0.0,0,0.0,0.0,-101.6800061472089,0.5,1,0.0,7.583,-1.0482474860537,0.010309278350515464,0.09278350515463918,0.422680412371134,0.5360824742268041,0.8350515463917526,0.9381443298969072
2026-05-28,0,2074,1748,89,89,178,89,-143.78443369119262,0,0.0,0.0,0,0.0,0.0,-143.78443369119262,0.5,1,0.0,6.011,-1.615555434732502,0.02247191011235955,0.14606741573033707,0.4606741573033708,0.6292134831460674,0.8426966292134831,0.9550561797752809
2026-05-29,0,893,956,45,45,90,45,-29.563328210996808,0,0.0,0.0,0,0.0,0.0,-29.563328210996808,0.5,1,0.0,5.028,-0.6569628491332623,0.044444444444444446,0.13333333333333333,0.4888888888888889,0.6,0.8,0.8888888888888888
2026-05-30,0,337,258,10,10,20,10,-55.74298203762427,0,0.0,0.0,0,0.0,0.0,-55.74298203762427,0.5,1,0.0,20.923000000000002,-5.574298203762427,0.0,0.1,0.2,0.4,0.6,0.6
2026-05-31,0,393,796,39,39,78,39,65.5709391755766,0,0.0,0.0,0,0.0,0.0,65.5709391755766,0.5,1,0.0,3.786,1.6813061327070915,0.05128205128205128,0.15384615384615385,0.5384615384615384,0.5897435897435898,0.7692307692307693,0.8461538461538461
2026-06-01,0,1877,1567,106,106,212,106,-346.20605085756307,0,0.0,0.0,0,0.0,0.0,-346.20605085756307,0.5,1,0.0,2.0505,-3.2660948194109736,0.018867924528301886,0.22641509433962265,0.6981132075471698,0.8679245283018868,1.0,1.0
2026-06-02,0,1238,1296,32,32,64,32,-4.3018076970172965,0,0.0,0.0,0,0.0,0.0,-4.3018076970172965,0.5,1,0.0,3.7135,-0.1344314905317905,0.0625,0.21875,0.5,0.65625,0.9375,0.96875
