dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,3901,3950,215,215,430,215,444.41392606736,0,0.0,0.0,0,0.0,0.0,444.41392606736,0.5,1,0.0,13.549,2.067041516592373,0.009302325581395349,0.04186046511627907,0.28837209302325584,0.4325581395348837,0.7395348837209302,0.8837209302325582
2026-05-05,0,1579,1343,58,58,116,58,-277.0323808963622,0,0.0,0.0,0,0.0,0.0,-277.0323808963622,0.5,1,0.0,6.587,-4.776420360282106,0.0,0.034482758620689655,0.4482758620689655,0.603448275862069,0.7758620689655172,0.8620689655172413
2026-05-06,0,6503,6787,224,224,448,224,756.614198579029,0,0.0,0.0,0,0.0,0.0,756.614198579029,0.5,1,0.0,11.688,3.3777419579420926,0.008928571428571428,0.03125,0.29464285714285715,0.44642857142857145,0.6964285714285714,0.8616071428571429
2026-05-07,0,2551,2377,87,87,174,87,62.67511756634264,0,0.0,0.0,0,0.0,0.0,62.67511756634264,0.5,1,0.0,7.329,0.7204036501878461,0.011494252873563218,0.08045977011494253,0.41379310344827586,0.5632183908045977,0.8390804597701149,0.9080459770114943
2026-05-08,0,3112,2433,102,102,204,102,-611.0940506719865,0,0.0,0.0,0,0.0,0.0,-611.0940506719865,0.5,1,0.0,13.619,-5.9911181438430035,0.0,0.049019607843137254,0.3333333333333333,0.4215686274509804,0.7745098039215687,0.8725490196078431
2026-05-09,0,1123,1772,149,149,298,149,203.2431981470698,0,0.0,0.0,0,0.0,0.0,203.2431981470698,0.5,1,0.0,23.14,1.3640483097118774,0.0,0.06040268456375839,0.33557046979865773,0.4161073825503356,0.5503355704697986,0.6241610738255033
2026-05-10,0,1816,1974,177,177,354,177,311.1113023953685,0,0.0,0.0,0,0.0,0.0,311.1113023953685,0.5,1,0.0,18.271,1.7576909739851323,0.011299435028248588,0.04519774011299435,0.24858757062146894,0.3559322033898305,0.6610169491525424,0.847457627118644
2026-05-11,0,7203,7602,440,440,880,440,211.00259305732604,0,0.0,0.0,0,0.0,0.0,211.00259305732604,0.5,1,0.0,7.584,0.4795513478575598,0.0022727272727272726,0.0659090909090909,0.3613636363636364,0.6022727272727273,0.8863636363636364,0.9727272727272728
2026-05-12,0,5498,5440,205,205,410,205,-157.63400177805153,0,0.0,0.0,0,0.0,0.0,-157.63400177805153,0.5,1,0.0,7.809,-0.7689463501368368,0.00975609756097561,0.05853658536585366,0.3804878048780488,0.5853658536585366,0.8585365853658536,0.9658536585365853
2026-05-13,0,3861,4162,138,138,276,138,-107.40395598750366,0,0.0,0.0,0,0.0,0.0,-107.40395598750366,0.5,1,0.0,6.4085,-0.7782895361413307,0.036231884057971016,0.12318840579710146,0.43478260869565216,0.6231884057971014,0.8623188405797102,0.9347826086956522
2026-05-14,0,2904,3666,152,152,304,152,-10.177781479495996,0,0.0,0.0,0,0.0,0.0,-10.177781479495996,0.5,1,0.0,4.7865,-0.06695908868089487,0.013157894736842105,0.09868421052631579,0.5131578947368421,0.6907894736842105,0.8881578947368421,0.9539473684210527
2026-05-15,0,6553,5619,215,215,430,215,37.786229670723955,0,0.0,0.0,0,0.0,0.0,37.786229670723955,0.5,1,0.0,5.806,0.17574990544522753,0.004651162790697674,0.11162790697674418,0.4558139534883721,0.641860465116279,0.8558139534883721,0.9627906976744186
2026-05-16,0,1616,1006,75,75,150,75,-167.7064383635214,0,0.0,0.0,0,0.0,0.0,-167.7064383635214,0.5,1,0.0,19.587,-2.2360858448469516,0.0,0.04,0.29333333333333333,0.38666666666666666,0.6266666666666667,0.6533333333333333
2026-05-17,0,1511,1084,56,56,112,56,10.505852434391446,0,0.0,0.0,0,0.0,0.0,10.505852434391446,0.5,1,0.0,14.5245,0.18760450775698997,0.0,0.03571428571428571,0.25,0.35714285714285715,0.6428571428571429,0.8214285714285714
2026-05-18,0,4260,2962,127,127,254,127,133.9197485748778,0,0.0,0.0,0,0.0,0.0,133.9197485748778,0.5,1,0.0,7.469,1.0544862092510041,0.007874015748031496,0.05511811023622047,0.3937007874015748,0.5433070866141733,0.8740157480314961,0.937007874015748
2026-05-19,0,2113,2237,58,58,116,58,17.643128423748472,0,0.0,0.0,0,0.0,0.0,17.643128423748472,0.5,1,0.0,5.1625,0.304191869374974,0.0,0.13793103448275862,0.4827586206896552,0.7068965517241379,0.8793103448275862,0.9310344827586207
2026-05-20,0,1995,1826,50,50,100,50,-109.0115871704859,0,0.0,0.0,0,0.0,0.0,-109.0115871704859,0.5,1,0.0,10.721,-2.180231743409718,0.0,0.1,0.34,0.44,0.78,0.88
2026-05-21,0,1165,1264,44,44,88,44,-24.27620929391457,0,0.0,0.0,0,0.0,0.0,-24.27620929391457,0.5,1,0.0,5.9455,-0.5517320294071494,0.0,0.09090909090909091,0.45454545454545453,0.6590909090909091,0.8863636363636364,0.9772727272727273
2026-05-22,0,1578,1090,48,48,96,48,-29.273233243373944,0,0.0,0.0,0,0.0,0.0,-29.273233243373944,0.5,1,0.0,6.8115,-0.6098590259036237,0.0,0.041666666666666664,0.375,0.5625,0.8541666666666666,0.9375
2026-05-23,0,743,1086,42,42,84,42,-34.73636937373839,0,0.0,0.0,0,0.0,0.0,-34.73636937373839,0.5,1,0.0,11.3845,-0.8270564136604376,0.023809523809523808,0.14285714285714285,0.35714285714285715,0.4523809523809524,0.6190476190476191,0.7619047619047619
2026-05-24,0,800,1098,29,29,58,29,-92.93922353126497,0,0.0,0.0,0,0.0,0.0,-92.93922353126497,0.5,1,0.0,26.595,-3.2048008114229303,0.0,0.034482758620689655,0.1724137931034483,0.27586206896551724,0.5862068965517241,0.7931034482758621
2026-05-25,0,343,324,6,6,12,6,-22.49834729507497,0,0.0,0.0,0,0.0,0.0,-22.49834729507497,0.5,1,0.0,16.492,-3.7497245491791618,0.0,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
2026-05-26,0,2843,1604,86,86,172,86,-136.8195527719285,0,0.0,0.0,0,0.0,0.0,-136.8195527719285,0.5,1,0.0,6.1835,-1.5909250322317268,0.011627906976744186,0.11627906976744186,0.4418604651162791,0.5930232558139535,0.7906976744186046,0.9186046511627907
2026-05-27,0,2334,2065,80,80,160,80,-11.198940041711438,0,0.0,0.0,0,0.0,0.0,-11.198940041711438,0.5,1,0.0,11.061,-0.13998675052139295,0.0125,0.05,0.325,0.475,0.8,0.925
2026-05-28,0,2076,1705,68,68,136,68,-47.4275914572751,0,0.0,0.0,0,0.0,0.0,-47.4275914572751,0.5,1,0.0,8.241,-0.6974645802540456,0.014705882352941176,0.10294117647058823,0.4117647058823529,0.5294117647058824,0.8088235294117647,0.9411764705882353
