dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,25382,24009,1593,1593,3186,1593,-2493.169665449974,0,0.0,0.0,0,0.0,0.0,-2493.169665449974,0.5,1,0.0,14.959,-1.5650782582862364,0.009416195856873822,0.05775266792215945,0.2253609541745135,0.37790332705586943,0.6986817325800376,0.8618957940991839
2026-05-05,0,29184,26495,1360,1360,2720,1360,-4968.555707752426,0,0.0,0.0,0,0.0,0.0,-4968.555707752426,0.5,1,0.0,17.485,-3.6533497851120793,0.007352941176470588,0.03897058823529412,0.2073529411764706,0.3558823529411765,0.65,0.8095588235294118
2026-05-06,0,38337,39875,1934,1934,3868,1934,-4547.967725814564,0,0.0,0.0,0,0.0,0.0,-4547.967725814564,0.5,1,0.0,15.2905,-2.351586207763478,0.007238883143743537,0.04653567735263702,0.22699069286452947,0.38831437435367117,0.6851085832471562,0.8557394002068253
2026-05-07,0,37319,40666,1705,1706,3411,1705,-4907.401058420302,1,-6.1859038151316215,1.5962719735897442,0,0.0,0.0,-4913.586962235434,0.5001465845793023,1,0.0,15.115,-2.878241089982584,0.013489736070381233,0.05806451612903226,0.2504398826979472,0.3964809384164223,0.6609970674486804,0.8211143695014663
2026-05-08,0,41169,38326,2103,2103,4206,2103,-5048.86357159601,0,0.0,0.0,0,0.0,0.0,-5048.86357159601,0.5,1,0.0,11.602,-2.40079104688351,0.017118402282453638,0.07227769852591535,0.28530670470756064,0.4664764621968616,0.755587256300523,0.8801711840228246
2026-05-09,0,2828,3561,355,354,709,354,83.01953983752705,1,-9.226667368353615,2.759692469619842,0,0.0,0.0,73.79287246917343,0.5007052186177715,1,0.0,39.572,0.2345184741173082,0.011299435028248588,0.059322033898305086,0.2655367231638418,0.3361581920903955,0.4745762711864407,0.5621468926553672
2026-05-10,0,6187,7114,691,692,1383,691,-479.46674030546365,1,-18.826517093743718,4.999620039619,0,0.0,0.0,-498.2932573992074,0.5003615328994938,1,0.0,21.123,-0.6938737196895263,0.011577424023154847,0.053545586107091175,0.21128798842257598,0.3227206946454414,0.5846599131693199,0.7380607814761215
2026-05-11,0,41677,49071,3266,3265,6531,3265,-7546.095613664215,1,-2.885156059965234,1.1711926766606258,0,0.0,0.0,-7548.98076972418,0.5000765579543714,1,0.0,8.831,-2.3112084574775515,0.019908116385911178,0.0771822358346095,0.3467075038284839,0.5390505359877489,0.8343032159264931,0.93843797856049
2026-05-12,0,54449,57479,3232,3231,6463,3231,-6648.779010358742,1,3.309731654701058,1.1996443045589575,0,0.0,0.0,-6645.469278704041,0.5000773634535046,1,0.0,8.788,-2.0578084216523442,0.01918910554008047,0.07799442896935933,0.34664190653048593,0.53884246363355,0.8372021046115754,0.9337666357164964
2026-05-13,0,48430,52869,3358,3357,6715,3357,-7415.149115847563,1,-0.9339999999999999,1.8858613518196,0,0.0,0.0,-7416.083115847563,0.5000744601638124,1,0.0,8.654,-2.2088618158616438,0.021745606196008342,0.07804587429252309,0.34584450402144773,0.5409591897527555,0.8367590110217457,0.9398272266904975
