dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,25683,24301,973,973,1946,973,-648.0985458970413,0,0.0,0.0,0,0.0,0.0,-648.0985458970413,0.5,1,0.0,21.77,-0.6660827809835986,0.009249743062692703,0.044193216855087356,0.1880781089414183,0.3114080164439877,0.5889003083247688,0.7451181911613566
2026-05-05,0,30585,26150,841,840,1681,840,-2452.864200836077,1,3.8454619691386416,5.284071828485438,0,0.0,0.0,-2449.0187388669383,0.5002974419988102,1,0.0,27.4565,-2.920076429566759,0.004761904761904762,0.02857142857142857,0.1630952380952381,0.27380952380952384,0.5345238095238095,0.7154761904761905
2026-05-06,0,39363,40977,1245,1244,2489,1244,-1153.1541989974965,1,3.4000075122806726,3.7353383415196273,0,0.0,0.0,-1149.7541914852159,0.5002008838891121,1,0.0,21.347499999999997,-0.9269728287761219,0.008038585209003215,0.04019292604501608,0.18971061093247588,0.3207395498392283,0.5908360128617364,0.7676848874598071
2026-05-07,0,37486,41275,1037,1038,2075,1037,-3112.8837962991097,1,2.0647255416454824,1.5956813854105183,0,0.0,0.0,-3110.819070757464,0.5002409638554217,1,0.0,24.059,-3.001816582737812,0.011571841851494697,0.04918032786885246,0.20443587270973965,0.313404050144648,0.5564127290260367,0.7135969141755063
2026-05-08,0,39779,40891,1464,1464,2928,1464,-2186.117943516643,0,0.0,0.0,0,0.0,0.0,-2186.117943516643,0.5,1,0.0,16.177,-1.4932499614184753,0.02117486338797814,0.060792349726775954,0.2390710382513661,0.375,0.6612021857923497,0.828551912568306
2026-05-09,0,2999,3869,258,257,515,257,-117.13293668402548,1,-8.592189476370134,2.7605473690925333,0,0.0,0.0,-125.72512616039562,0.5009708737864078,1,0.0,59.676,-0.45577018164990446,0.0,0.04669260700389105,0.2840466926070039,0.3463035019455253,0.4280155642023346,0.5019455252918288
2026-05-10,0,5948,7691,494,495,989,494,-617.6478642973652,1,-11.792803615343141,4.997895499983886,0,0.0,0.0,-629.4406679127084,0.5005055611729019,1,0.0,30.9255,-1.2502993204400101,0.006072874493927126,0.03643724696356275,0.13360323886639677,0.2408906882591093,0.48785425101214575,0.6437246963562753
2026-05-11,0,41330,51715,2177,2176,4353,2176,-2214.337227264566,1,-0.9339999999999999,1.1712667187090458,0,0.0,0.0,-2215.2712272645663,0.500114863312658,1,0.0,11.350000000000001,-1.0176182110590857,0.019761029411764705,0.06479779411764706,0.3046875,0.4742647058823529,0.75,0.8814338235294118
2026-05-12,0,57737,55456,2145,2144,4289,2144,-2416.1347726075546,1,-0.226911437158147,1.1995442814217303,0,0.0,0.0,-2416.3616840447125,0.5001165772907438,1,0.0,12.2455,-1.1269285319997948,0.015391791044776119,0.06669776119402986,0.28031716417910446,0.44636194029850745,0.7336753731343284,0.886660447761194
2026-05-13,0,50815,51954,2195,2194,4389,2194,-3559.243604324718,1,-0.9339999999999999,1.8858613518196,0,0.0,0.0,-3560.1776043247182,0.5001139211665527,1,0.0,12.481000000000002,-1.622262353839893,0.013673655423883319,0.0633546034639927,0.2698268003646308,0.43482224247948953,0.7347310847766636,0.8837739288969918
