dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,26076,24462,867,867,1734,867,-1017.4628053663229,0,0.0,0.0,0,0.0,0.0,-1017.4628053663229,0.5,1,0.0,24.431,-1.1735441815067154,0.008073817762399077,0.02768166089965398,0.1395617070357555,0.25720876585928487,0.5478662053056517,0.7220299884659747
2026-05-05,0,30827,25945,741,740,1481,740,-2393.2461296219208,1,3.8454619691386416,5.284071828485438,0,0.0,0.0,-2389.400667652782,0.50033760972316,1,0.0,30.993499999999997,-3.2341163913809714,0.002702702702702703,0.01756756756756757,0.13783783783783785,0.22837837837837838,0.4905405405405405,0.668918918918919
2026-05-06,0,39455,41078,1073,1072,2145,1072,-1379.454260191793,1,3.4000075122806726,3.7353383415196273,0,0.0,0.0,-1376.0542526795125,0.5002331002331002,1,0.0,25.8825,-1.2868043471938375,0.0065298507462686565,0.030783582089552237,0.15298507462686567,0.2835820895522388,0.5382462686567164,0.7276119402985075
2026-05-07,0,37806,41000,877,878,1755,877,-2853.688538070533,1,2.0647255416454824,1.5956813854105183,0,0.0,0.0,-2851.6238125288874,0.5002849002849002,1,0.0,31.293,-3.2539207959755236,0.00798175598631699,0.027366020524515394,0.1676168757126568,0.2576966932725199,0.4868871151653364,0.6670467502850627
2026-05-08,0,40955,40485,1265,1264,2529,1264,-2044.8209092638806,1,-1.5745124099273597,2.4472810248198558,0,0.0,0.0,-2046.395421673808,0.5001977066034006,1,0.0,19.740499999999997,-1.6177380611264887,0.01819620253164557,0.056962025316455694,0.20727848101265822,0.34651898734177217,0.6099683544303798,0.7911392405063291
2026-05-09,0,2948,3907,237,236,473,236,-140.84934371781418,1,-8.592189476370134,2.7605473690925333,0,0.0,0.0,-149.4415331941843,0.5010570824524313,1,0.0,67.511,-0.5968192530415855,0.00423728813559322,0.046610169491525424,0.2457627118644068,0.3093220338983051,0.4025423728813559,0.4788135593220339
2026-05-10,0,6098,7722,476,477,953,476,-635.6741716371589,1,-4.763950210646682,4.995112728201055,0,0.0,0.0,-640.4381218478056,0.5005246589716684,1,0.0,33.9925,-1.335449940414198,0.0063025210084033615,0.03571428571428571,0.1134453781512605,0.22478991596638656,0.4642857142857143,0.6281512605042017
2026-05-11,0,40426,52854,1865,1864,3729,1864,-2404.017046485548,1,-0.9339999999999999,1.1712667187090458,0,0.0,0.0,-2404.951046485548,0.5001340842048807,1,0.0,14.0535,-1.2897087159257257,0.015021459227467811,0.04560085836909871,0.2532188841201717,0.41201716738197425,0.7124463519313304,0.8572961373390557
2026-05-12,0,58004,55218,1825,1824,3649,1824,-2314.1149176098365,1,-0.226911437158147,1.1995442814217303,0,0.0,0.0,-2314.3418290469945,0.5001370238421485,1,0.0,15.9925,-1.2687033539527643,0.01425438596491228,0.052083333333333336,0.23135964912280702,0.3678728070175439,0.6864035087719298,0.8585526315789473
2026-05-13,0,51238,52420,1902,1901,3803,1901,-3142.724151066213,1,-0.9339999999999999,1.8858613518196,0,0.0,0.0,-3143.658151066213,0.5001314751511964,1,0.0,15.353,-1.6531952399085825,0.014203051025775907,0.052603892688058915,0.2283008942661757,0.3782219884271436,0.6912151499210941,0.8548132561809574
