dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,3743,4306,81,81,162,81,113.85264681207565,0,0.0,0.0,0,0.0,0.0,113.85264681207565,0.5,1,0.0,23.228,1.4055882322478481,0.037037037037037035,0.06172839506172839,0.18518518518518517,0.30864197530864196,0.5432098765432098,0.6666666666666666
2026-05-05,0,1892,1618,36,36,72,36,-292.6983104736616,0,0.0,0.0,0,0.0,0.0,-292.6983104736616,0.5,1,0.0,16.9805,-8.130508624268378,0.0,0.05555555555555555,0.2777777777777778,0.3888888888888889,0.5555555555555556,0.75
2026-05-06,0,6959,7704,118,118,236,118,619.1642600155392,0,0.0,0.0,0,0.0,0.0,619.1642600155392,0.5,1,0.0,17.733,5.2471547458944,0.0,0.01694915254237288,0.2542372881355932,0.3898305084745763,0.559322033898305,0.6949152542372882
2026-05-07,0,2782,2519,47,47,94,47,161.00092162935275,0,0.0,0.0,0,0.0,0.0,161.00092162935275,0.5,1,0.0,16.448,3.4255515240287817,0.02127659574468085,0.10638297872340426,0.2978723404255319,0.3404255319148936,0.7021276595744681,0.8723404255319149
2026-05-08,0,2959,2859,55,55,110,55,53.183154687553284,0,0.0,0.0,0,0.0,0.0,53.183154687553284,0.5,1,0.0,19.586,0.9669664488646051,0.0,0.01818181818181818,0.2,0.32727272727272727,0.6727272727272727,0.7636363636363637
2026-05-09,0,1588,1173,27,27,54,27,-25.790920780878288,0,0.0,0.0,0,0.0,0.0,-25.790920780878288,0.5,1,0.0,185.129,-0.9552192881806779,0.0,0.0,0.037037037037037035,0.14814814814814814,0.3333333333333333,0.4444444444444444
2026-05-10,0,2498,1691,33,33,66,33,-34.065974951356296,0,0.0,0.0,0,0.0,0.0,-34.065974951356296,0.5,1,0.0,284.313,-1.0323022712532215,0.0,0.0,0.06060606060606061,0.12121212121212122,0.2727272727272727,0.30303030303030304
2026-05-11,0,7651,8721,191,191,382,191,188.8710904666301,0,0.0,0.0,0,0.0,0.0,188.8710904666301,0.5,1,0.0,16.569,0.9888538767886395,0.015706806282722512,0.03664921465968586,0.23036649214659685,0.387434554973822,0.6858638743455497,0.8010471204188482
2026-05-12,0,7212,5120,119,119,238,119,190.6856090278501,0,0.0,0.0,0,0.0,0.0,190.6856090278501,0.5,1,0.0,14.473,1.6024000758642885,0.0,0.09243697478991597,0.3025210084033613,0.37815126050420167,0.6302521008403361,0.7899159663865546
2026-05-13,0,4948,5134,93,93,186,93,150.7569698446908,0,0.0,0.0,0,0.0,0.0,150.7569698446908,0.5,1,0.0,26.174,1.6210426865020517,0.010752688172043012,0.07526881720430108,0.17204301075268819,0.25806451612903225,0.5591397849462365,0.8172043010752689
2026-05-14,0,3247,4406,111,111,222,111,-83.66793899815985,0,0.0,0.0,0,0.0,0.0,-83.66793899815985,0.5,1,0.0,11.623,-0.7537652161996392,0.009009009009009009,0.06306306306306306,0.3333333333333333,0.44144144144144143,0.6936936936936937,0.8468468468468469
2026-05-15,0,6626,7005,146,146,292,146,371.16978685305344,0,0.0,0.0,0,0.0,0.0,371.16978685305344,0.5,1,0.0,11.461500000000001,2.5422588140620093,0.0136986301369863,0.07534246575342465,0.3356164383561644,0.4794520547945205,0.7397260273972602,0.8767123287671232
2026-05-16,0,1076,842,16,16,32,16,-49.725646845774676,0,0.0,0.0,0,0.0,0.0,-49.725646845774676,0.5,1,0.0,25.518500000000003,-3.107852927860917,0.0625,0.125,0.3125,0.3125,0.5625,0.5625
2026-05-17,0,1527,2085,16,16,32,16,-16.13194718656522,0,0.0,0.0,0,0.0,0.0,-16.13194718656522,0.5,1,0.0,72.974,-1.0082466991603263,0.0,0.0,0.0625,0.0625,0.25,0.5
2026-05-18,0,3756,4446,45,45,90,45,94.58827792277454,0,0.0,0.0,0,0.0,0.0,94.58827792277454,0.5,1,0.0,26.098,2.101961731617212,0.022222222222222223,0.06666666666666667,0.24444444444444444,0.3333333333333333,0.5111111111111111,0.7777777777777778
2026-05-19,0,2970,2375,31,31,62,31,87.12701528789228,0,0.0,0.0,0,0.0,0.0,87.12701528789228,0.5,1,0.0,5.963,2.8105488802545895,0.0,0.12903225806451613,0.3870967741935484,0.6129032258064516,0.7741935483870968,0.8064516129032258
