cfg,days,pairs,pairs_day,lots,lots_day,ev_lot,ev_pair,se,t,off60,t_off_med,forced_rate,total_bp,per_day_bp,timeout_rate,timeout_cost
q1_tmax0.5,39,45055,1155.2564102564102,693428,17780.20512820513,-2.1410481233496528,0.3891975513320164,0.14561053434104396,2.6728667200715805,1.0,0.267,0.000012187145811074866,-1484662.7180781031,-38068.274822515465,0.8779674007390826,1.4497912328104055
q1_tmax0.25,39,27979,717.4102564102565,765317,19623.51282051282,-2.108818550666091,0.37103129766514154,0.13942246184672963,2.6612017371564196,1.0,0.135,0.000010084508178536132,-1613914.6867401206,-41382.4278651313,0.9294513019100058,1.4689689711614216
q1_tmax1,39,76285,1956.025641025641,605428,15523.794871794871,-2.158006027936052,0.17678766104035945,0.13619069936717582,1.2980890902375979,1.0,0.537,0.000020536501430954082,-1306517.2734812682,-33500.44290977611,0.7761756046899502,1.4543906248310385
q1_gated,39,5072,130.05128205128204,5072,130.05128205128204,0.09197906743420398,0.03595500207395178,0.0834764228296804,0.4307204460271605,0.9307620180890259,3.493,0.0,466.5178300262826,11.961995641699554,0.0,0.0
q1_tmax2,39,122407,3138.641025641026,500854,12842.410256410256,-2.1317227105168466,-0.1553071424475658,0.15371869703448277,-1.0103334561359618,1.0,1.007,0.00003369374948857702,-1067681.8464532048,-27376.457601364225,0.607170992569726,1.4488994297934017
q1_lat130_gated,39,3769,96.64102564102564,3769,96.64102564102564,-0.4052811968021074,-0.5401664039618903,0.09476597000709545,-5.70000395628775,0.9206696236547416,5.968500000000001,0.0,-1527.5048307471427,-39.166790531978016,0.0,0.0
q1_tmax5,39,181608,4656.615384615385,375192,9620.307692307691,-2.0524386664031273,-0.603752150480799,0.17254058501106756,-3.4991891933255674,1.0,2.058,0.00004669540229885058,-770058.5681251222,-19745.09149038775,0.3476257183908046,1.4405777554819101
q1_tmax10,39,213511,5474.641025641025,308724,7916.0,-1.9668328340634047,-0.9742689591128558,0.17725351937195027,-5.496471734749829,1.0,3.238,0.000044041475580916635,-607208.4998633906,-15569.448714445913,0.18227426350206324,1.4333660308720033
q1_tmax20,39,231484,5935.48717948718,270433,6934.179487179487,-1.9016034540389317,-1.29650370227437,0.1653241893161818,-7.8421899882709365,1.0,4.367,0.00005777847731796293,-514256.3268861104,-13186.05966374642,0.0775427012832799,1.4238398803336383
q1_tmax30,39,237371,6086.4358974358975,258016,6615.794871794872,-1.8757230201212431,-1.4516879570177177,0.15160930038325182,-9.575190660124468,1.0,4.7445,0.00005450284323165525,-483966.5507596027,-12409.39873742571,0.04161998599075067,1.4153389173883832
q1_tmax60,39,241694,6197.282051282052,248109,6361.7692307692305,-1.8559362151966796,-1.5887588337806047,0.12929605962960394,-12.287759103656695,1.0,5.0585,0.00005920747729189082,-460474.478416233,-11807.037908108538,0.013037894827103958,1.4039336409683167
q1_fix10,39,241127,6182.74358974359,241156,6183.48717948718,-1.8505552832399998,-1.6911115497444598,0.1111863275946923,-15.209707761093355,0.9303362240205794,5.1135,0.00006013067016668636,-446272.5098850254,-11442.884868846804,,
q1,39,243628,6246.871794871795,243657,6247.615384615385,-1.8471957079371106,-1.6921909767104137,0.1086536496142011,-15.574175213800121,0.9381004280344416,5.124,0.000059513426434222275,-450082.16460883257,-11540.5683233034,0.0,0.0
q1_te,39,243628,6246.871794871795,243657,6247.615384615385,-1.8471957079371106,-1.6921909767104137,0.1086536496142011,-15.574175213800121,0.9381004280344416,5.124,0.000059513426434222275,-450082.16460883257,-11540.5683233034,0.0,0.0
q3,39,335067,8591.461538461539,335143,8593.410256410256,-2.0727414420846983,-1.8837791856319943,0.0959254929321309,-19.63794115673509,0.8581385724232837,11.393,0.00011339729338565525,-694664.785124592,-17811.91756729723,,
q1_lat130,39,195424,5010.871794871795,195452,5011.589743589743,-2.1305243504517017,-1.9374603595612,0.09329528545637898,-20.766969628567956,0.9290430694102463,6.787,0.00007163397087567412,-416415.245344486,-10677.313983191949,,
