col,family
best_bid,1.1 最良気配
best_ask,1.1 最良気配
bbo_qb,1.1 最良気配
bbo_qa,1.1 最良気配
mid,1.2 中値
log_mid,1.2 中値
spread,1.3 スプレッド
spread_tick,1.3 スプレッド
spread_bp,1.3 スプレッド
log_spread,1.3 スプレッド
is_1tick,1.3 スプレッド
ret_100ms,1.2 中値
mret_100ms,2.1 マイクロプライス
ret_500ms,1.2 中値
mret_500ms,2.1 マイクロプライス
ret_1s,1.2 中値
mret_1s,2.1 マイクロプライス
ret_5s,1.2 中値
mret_5s,2.1 マイクロプライス
ret_10s,1.2 中値
mret_10s,2.1 マイクロプライス
ret_30s,1.2 中値
mret_30s,2.1 マイクロプライス
ret_60s,1.2 中値
mret_60s,2.1 マイクロプライス
d_mid,1.2 中値
abs_d_mid,1.2 中値
sgn_d_mid,1.2 中値
d_spread,1.3 スプレッド
sp_widen,1.3 スプレッド
sp_narrow,1.3 スプレッド
t_since_sp,1.3 スプレッド
t_since_bbo,43 経過時間
t_since_mid,43 経過時間
spread_dur,1.3 スプレッド
micro,2.1 マイクロプライス
delta_bp,2.1 マイクロプライス
delta_norm,2.1 マイクロプライス
micro_bid,2.1 マイクロプライス
ask_micro,2.1 マイクロプライス
qb_l1,3.1 水準別の厚み
qa_l1,3.1 水準別の厚み
nb_l1,3.1 水準別の厚み
na_l1,3.1 水準別の厚み
qb_l2,3.1 水準別の厚み
qa_l2,3.1 水準別の厚み
nb_l2,3.1 水準別の厚み
na_l2,3.1 水準別の厚み
qb_l3,3.1 水準別の厚み
qa_l3,3.1 水準別の厚み
nb_l3,3.1 水準別の厚み
na_l3,3.1 水準別の厚み
qb_l5,3.1 水準別の厚み
qa_l5,3.1 水準別の厚み
nb_l5,3.1 水準別の厚み
na_l5,3.1 水準別の厚み
avgsz_b1,3.1 水準別の厚み
sdsz_b1,3.1 水準別の厚み
cvsz_b1,3.1 水準別の厚み
logsz_b1,3.1 水準別の厚み
avgsz_a1,3.1 水準別の厚み
sdsz_a1,3.1 水準別の厚み
cvsz_a1,3.1 水準別の厚み
logsz_a1,3.1 水準別の厚み
cdb1,3.2 累積の厚み
cda1,3.2 累積の厚み
cdtot1,3.2 累積の厚み
obi1,4 板の偏り OBI
obi_cnt1,4 板の偏り OBI
obi_not1,4 板の偏り OBI
cdb2,3.2 累積の厚み
cda2,3.2 累積の厚み
cdtot2,3.2 累積の厚み
obi2,4 板の偏り OBI
obi_cnt2,4 板の偏り OBI
obi_not2,4 板の偏り OBI
cdb3,3.2 累積の厚み
cda3,3.2 累積の厚み
cdtot3,3.2 累積の厚み
obi3,4 板の偏り OBI
obi_cnt3,4 板の偏り OBI
obi_not3,4 板の偏り OBI
cdb5,3.2 累積の厚み
cda5,3.2 累積の厚み
cdtot5,3.2 累積の厚み
obi5,4 板の偏り OBI
obi_cnt5,4 板の偏り OBI
obi_not5,4 板の偏り OBI
cdb10,3.2 累積の厚み
cda10,3.2 累積の厚み
cdtot10,3.2 累積の厚み
obi10,4 板の偏り OBI
obi_cnt10,4 板の偏り OBI
obi_not10,4 板の偏り OBI
cdb20,3.2 累積の厚み
cda20,3.2 累積の厚み
cdtot20,3.2 累積の厚み
obi20,4 板の偏り OBI
obi_cnt20,4 板の偏り OBI
obi_not20,4 板の偏り OBI
ndb,3.3 想定元本の厚み
nda,3.3 想定元本の厚み
ndtot,3.3 想定元本の厚み
obi_dw,4 板の偏り OBI
obi_iw,4 板の偏り OBI
obi_ew,4 板の偏り OBI
obi_avgsz,4 板の偏り OBI
obi_age,4 板の偏り OBI
age_b1,13 注文の年齢
age_a1,13 注文の年齢
age_asym,13 注文の年齢
agelot_b1,13 注文の年齢
agelot_a1,13 注文の年齢
agesd_b1,13 注文の年齢
agesd_a1,13 注文の年齢
age_book_b,13 注文の年齢
age_book_a,13 注文の年齢
slope_b,5 板の形
lslope_b,5 板の形
curv_b,5 板の形
top1_b,5 板の形
top3_b,5 板の形
top5_b,5 板の形
hhi_b,5 板の形
ent_b,5 板の形
com_b,5 板の形
disp_b,5 板の形
nempty_b,19 板の空白
gap1_b,19 板の空白
gapmax_b,19 板の空白
prs0.5_b,18 板の圧力
prs1_b,18 板の圧力
prs2_b,18 板の圧力
elast_b,24 板の弾力性
slope_a,5 板の形
lslope_a,5 板の形
curv_a,5 板の形
top1_a,5 板の形
top3_a,5 板の形
top5_a,5 板の形
hhi_a,5 板の形
ent_a,5 板の形
com_a,5 板の形
disp_a,5 板の形
nempty_a,19 板の空白
gap1_a,19 板の空白
gapmax_a,19 板の空白
prs0.5_a,18 板の圧力
prs1_a,18 板の圧力
prs2_a,18 板の圧力
elast_a,24 板の弾力性
slope_asym,5 板の形
lslope_asym,5 板の形
curv_asym,5 板の形
hhi_asym,5 板の形
ent_asym,5 板の形
com_asym,5 板の形
disp_asym,5 板の形
prs_net,18 板の圧力
prs_imb,18 板の圧力
elast_asym,24 板の弾力性
gap_asym,19 板の空白
slip10k_b,20/21 仮想的な成行の衝撃
lvl10k_b,20/21 仮想的な成行の衝撃
slip50k_b,20/21 仮想的な成行の衝撃
lvl50k_b,20/21 仮想的な成行の衝撃
slip200k_b,20/21 仮想的な成行の衝撃
lvl200k_b,20/21 仮想的な成行の衝撃
slip10k_a,20/21 仮想的な成行の衝撃
lvl10k_a,20/21 仮想的な成行の衝撃
slip50k_a,20/21 仮想的な成行の衝撃
lvl50k_a,20/21 仮想的な成行の衝撃
slip200k_a,20/21 仮想的な成行の衝撃
lvl200k_a,20/21 仮想的な成行の衝撃
slip10k_rt,20/21 仮想的な成行の衝撃
slip10k_asym,20/21 仮想的な成行の衝撃
slip50k_rt,20/21 仮想的な成行の衝撃
slip50k_asym,20/21 仮想的な成行の衝撃
slip200k_rt,20/21 仮想的な成行の衝撃
slip200k_asym,20/21 仮想的な成行の衝撃
impact_convex,20/21 仮想的な成行の衝撃
mp_lv2,2.2 多水準のマイクロプライス
mp_lv5,2.2 多水準のマイクロプライス
mp_lv20,2.2 多水準のマイクロプライス
mp_invd,2.2 多水準のマイクロプライス
mp_exp,2.2 多水準のマイクロプライス
mp_cnt,2.3 キューを見たマイクロプライス
mp_age,2.3 キューを見たマイクロプライス
mp_fresh,2.3 キューを見たマイクロプライス
mp_persist,2.3 キューを見たマイクロプライス
mp_mom,2.1 マイクロプライス
new_rate_100ms,7 指値の到着
new_imb_100ms,7 指値の到着
newsz_imb_100ms,7 指値の到着
cxl_rate_100ms,8 取消と除去
cxl_imb_100ms,8 取消と除去
cxlsz_imb_100ms,8 取消と除去
car_100ms,8 取消と除去
ofi_100ms,10 注文フローの偏り OFI
ofi_norm_100ms,10 注文フローの偏り OFI
ofi_new_100ms,10 注文フローの偏り OFI
ofi_cxl_100ms,10 注文フローの偏り OFI
ofi_fil_100ms,10 注文フローの偏り OFI
churn_100ms,15 流動性の回転
churn_imb_100ms,15 流動性の回転
msg_rate_100ms,28 メッセージの流量
new_rate_500ms,7 指値の到着
new_imb_500ms,7 指値の到着
newsz_imb_500ms,7 指値の到着
cxl_rate_500ms,8 取消と除去
cxl_imb_500ms,8 取消と除去
cxlsz_imb_500ms,8 取消と除去
car_500ms,8 取消と除去
ofi_500ms,10 注文フローの偏り OFI
ofi_norm_500ms,10 注文フローの偏り OFI
ofi_new_500ms,10 注文フローの偏り OFI
ofi_cxl_500ms,10 注文フローの偏り OFI
ofi_fil_500ms,10 注文フローの偏り OFI
churn_500ms,15 流動性の回転
churn_imb_500ms,15 流動性の回転
msg_rate_500ms,28 メッセージの流量
new_rate_1s,7 指値の到着
new_imb_1s,7 指値の到着
newsz_imb_1s,7 指値の到着
cxl_rate_1s,8 取消と除去
cxl_imb_1s,8 取消と除去
cxlsz_imb_1s,8 取消と除去
car_1s,8 取消と除去
ofi_1s,10 注文フローの偏り OFI
ofi_norm_1s,10 注文フローの偏り OFI
ofi_new_1s,10 注文フローの偏り OFI
ofi_cxl_1s,10 注文フローの偏り OFI
ofi_fil_1s,10 注文フローの偏り OFI
churn_1s,15 流動性の回転
churn_imb_1s,15 流動性の回転
msg_rate_1s,28 メッセージの流量
pdist_mean_1s,7 指値の到着
pdist_sd_1s,7 指値の到着
touch_share_1s,7 指値の到着
deep_share_1s,7 指値の到着
cxl_touch_1s,8 取消と除去
osz_mean_1s,6 注文サイズの分布
osz_cv_1s,6 注文サイズの分布
osz_skew_1s,6 注文サイズの分布
osz_kurt_1s,6 注文サイズの分布
osz_logmean_1s,6 注文サイズの分布
osz_hhi_1s,6 注文サイズの分布
osz_ent_1s,6 注文サイズの分布
new_rate_2s,7 指値の到着
new_imb_2s,7 指値の到着
newsz_imb_2s,7 指値の到着
cxl_rate_2s,8 取消と除去
cxl_imb_2s,8 取消と除去
cxlsz_imb_2s,8 取消と除去
car_2s,8 取消と除去
ofi_2s,10 注文フローの偏り OFI
ofi_norm_2s,10 注文フローの偏り OFI
ofi_new_2s,10 注文フローの偏り OFI
ofi_cxl_2s,10 注文フローの偏り OFI
ofi_fil_2s,10 注文フローの偏り OFI
churn_2s,15 流動性の回転
churn_imb_2s,15 流動性の回転
msg_rate_2s,28 メッセージの流量
new_rate_5s,7 指値の到着
new_imb_5s,7 指値の到着
newsz_imb_5s,7 指値の到着
