col,family,h,nday,mean,med,pos,worst,best
delta_bp__dev,63 平均回帰,1s,99,-0.18276883395977483,-0.1876139753016878,0,-0.29885240239241034,-0.03561975982491497
delta_bp__dev,63 平均回帰,10s,99,-0.12299163186534513,-0.11182715781374837,0,-0.24279105894215247,-0.017509141028034733
delta_bp__dev,63 平均回帰,60s,99,-0.06454152949810003,-0.054620584176862635,5,-0.2649753789498658,0.040791177809501075
delta_bp__x__spread_bp,70 交互作用,1s,99,-0.18411267196942768,-0.18922211518405227,0,-0.3015628730617946,-0.0218519108639456
delta_bp__x__spread_bp,70 交互作用,10s,99,-0.12453583095045904,-0.11429349132599262,0,-0.25201454373048005,-0.019843139047620677
delta_bp__x__spread_bp,70 交互作用,60s,99,-0.0651323200992287,-0.05689980527162527,4,-0.2709952339336882,0.039750110223165686
delta_bp,2.1 マイクロプライス,1s,99,-0.17944835189381525,-0.18357960313503918,0,-0.30006059722677514,-0.01803312166077887
delta_bp,2.1 マイクロプライス,10s,99,-0.1212998114851192,-0.11059784699428053,0,-0.24866177621173322,-0.012737381190785817
delta_bp,2.1 マイクロプライス,60s,99,-0.06322008415014278,-0.05563384839047604,4,-0.26444071363736027,0.03986136862111811
delta_bp__z,60 衝撃(z 得点),1s,99,-0.17877462920884718,-0.1837347100453933,0,-0.29536301867568965,-0.03244016467060876
delta_bp__z,60 衝撃(z 得点),10s,99,-0.1207082768160147,-0.10947307155204349,0,-0.22643125343381318,-0.019470014432844483
delta_bp__z,60 衝撃(z 得点),60s,99,-0.06348003769889973,-0.0530820271636893,3,-0.2604819160361134,0.028639370242109743
delta_bp__pct,68 移動分布,1s,98,-0.17919414724285382,-0.1827976201501016,0,-0.30011636786561435,-0.017773786153501354
delta_bp__pct,68 移動分布,10s,98,-0.12096174140414288,-0.11016528451431146,0,-0.24854215038951727,-0.012862844411616524
delta_bp__pct,68 移動分布,60s,98,-0.06340432422302789,-0.055880258558939785,4,-0.26422495267247453,0.03992584559286695
delta_bp__reg,59 レジーム,1s,98,-0.15606398997288234,-0.1593514262555968,0,-0.2802139567827897,-0.010550865292188195
delta_bp__reg,59 レジーム,10s,98,-0.10683265852726524,-0.09478540188286483,0,-0.23058456334315414,-0.007335352249815432
delta_bp__reg,59 レジーム,60s,98,-0.05517492703006829,-0.0483947228174699,11,-0.2531126258805179,0.026232576764281732
n_fresh10s_imb,14 流動性の持続,1s,99,0.15654358511294367,0.18058468247811502,99,0.009260932622201444,0.2961833533533669
n_fresh10s_imb,14 流動性の持続,10s,99,0.09536871685668187,0.09672070255403974,98,-0.004265514040969032,0.21071958017970074
n_fresh10s_imb,14 流動性の持続,60s,99,0.05340766207402528,0.052919014573032115,97,-0.04001225366783743,0.12127535273557483
