col,family
cdtot10__xvol,48 流動性 × ボラティリティ
cdtot10__ivol,48 流動性 × ボラティリティ
spread_bp__xvol,48 流動性 × ボラティリティ
spread_bp__ivol,48 流動性 × ボラティリティ
obi5__xvol,48 流動性 × ボラティリティ
obi5__ivol,48 流動性 × ボラティリティ
churn_10s__xvol,48 流動性 × ボラティリティ
churn_10s__ivol,48 流動性 × ボラティリティ
cxl_rate_10s__xvol,48 流動性 × ボラティリティ
cxl_rate_10s__ivol,48 流動性 × ボラティリティ
new_rate_10s__xvol,48 流動性 × ボラティリティ
new_rate_10s__ivol,48 流動性 × ボラティリティ
gap1_b__xvol,48 流動性 × ボラティリティ
gap1_b__ivol,48 流動性 × ボラティリティ
wal_hhi__xvol,48 流動性 × ボラティリティ
wal_hhi__ivol,48 流動性 × ボラティリティ
slip50k_rt__xvol,48 流動性 × ボラティリティ
slip50k_rt__ivol,48 流動性 × ボラティリティ
prs_imb__xvol,48 流動性 × ボラティリティ
prs_imb__ivol,48 流動性 × ボラティリティ
obi5__m10,68 移動分布
obi5__sd10,68 移動分布
obi5__m60,68 移動分布
obi5__sd60,68 移動分布
obi5__m300,68 移動分布
obi5__sd300,68 移動分布
obi5__sk300,68 移動分布
obi5__rng300,68 移動分布
obi5__lag1,69 ラグ
obi5__dlag1,69 ラグ
obi5__lag2,69 ラグ
obi5__dlag2,69 ラグ
obi5__lag5,69 ラグ
obi5__dlag5,69 ラグ
obi5__lag10,69 ラグ
obi5__dlag10,69 ラグ
obi5__reg,59 レジーム
obi5__pct,68 移動分布
delta_bp__m10,68 移動分布
delta_bp__sd10,68 移動分布
delta_bp__m60,68 移動分布
delta_bp__sd60,68 移動分布
delta_bp__m300,68 移動分布
delta_bp__sd300,68 移動分布
delta_bp__sk300,68 移動分布
delta_bp__rng300,68 移動分布
delta_bp__lag1,69 ラグ
delta_bp__dlag1,69 ラグ
delta_bp__lag2,69 ラグ
delta_bp__dlag2,69 ラグ
delta_bp__lag5,69 ラグ
delta_bp__dlag5,69 ラグ
delta_bp__lag10,69 ラグ
delta_bp__dlag10,69 ラグ
delta_bp__reg,59 レジーム
delta_bp__pct,68 移動分布
spread_bp__m10,68 移動分布
spread_bp__sd10,68 移動分布
spread_bp__m60,68 移動分布
spread_bp__sd60,68 移動分布
spread_bp__m300,68 移動分布
spread_bp__sd300,68 移動分布
spread_bp__sk300,68 移動分布
spread_bp__rng300,68 移動分布
spread_bp__lag1,69 ラグ
spread_bp__dlag1,69 ラグ
spread_bp__lag2,69 ラグ
spread_bp__dlag2,69 ラグ
spread_bp__lag5,69 ラグ
spread_bp__dlag5,69 ラグ
spread_bp__lag10,69 ラグ
spread_bp__dlag10,69 ラグ
spread_bp__reg,59 レジーム
spread_bp__pct,68 移動分布
cdtot10__m10,68 移動分布
cdtot10__sd10,68 移動分布
cdtot10__m60,68 移動分布
cdtot10__sd60,68 移動分布
cdtot10__m300,68 移動分布
cdtot10__sd300,68 移動分布
cdtot10__sk300,68 移動分布
cdtot10__rng300,68 移動分布
cdtot10__lag1,69 ラグ
cdtot10__dlag1,69 ラグ
cdtot10__lag2,69 ラグ
cdtot10__dlag2,69 ラグ
cdtot10__lag5,69 ラグ
cdtot10__dlag5,69 ラグ
cdtot10__lag10,69 ラグ
cdtot10__dlag10,69 ラグ
cdtot10__reg,59 レジーム
cdtot10__pct,68 移動分布
ofi_10s__m10,68 移動分布
ofi_10s__sd10,68 移動分布
ofi_10s__m60,68 移動分布
ofi_10s__sd60,68 移動分布
ofi_10s__m300,68 移動分布
ofi_10s__sd300,68 移動分布
ofi_10s__sk300,68 移動分布
ofi_10s__rng300,68 移動分布
ofi_10s__lag1,69 ラグ
ofi_10s__dlag1,69 ラグ
ofi_10s__lag2,69 ラグ
ofi_10s__dlag2,69 ラグ
ofi_10s__lag5,69 ラグ
ofi_10s__dlag5,69 ラグ
ofi_10s__lag10,69 ラグ
ofi_10s__dlag10,69 ラグ
ofi_10s__reg,59 レジーム
ofi_10s__pct,68 移動分布
rv_10s__m10,68 移動分布
rv_10s__sd10,68 移動分布
rv_10s__m60,68 移動分布
rv_10s__sd60,68 移動分布
rv_10s__m300,68 移動分布
rv_10s__sd300,68 移動分布
rv_10s__sk300,68 移動分布
rv_10s__rng300,68 移動分布
rv_10s__lag1,69 ラグ
rv_10s__dlag1,69 ラグ
rv_10s__lag2,69 ラグ
rv_10s__dlag2,69 ラグ
rv_10s__lag5,69 ラグ
rv_10s__dlag5,69 ラグ
rv_10s__lag10,69 ラグ
rv_10s__dlag10,69 ラグ
rv_10s__reg,59 レジーム
rv_10s__pct,68 移動分布
churn_10s__m10,68 移動分布
churn_10s__sd10,68 移動分布
churn_10s__m60,68 移動分布
churn_10s__sd60,68 移動分布
churn_10s__m300,68 移動分布
churn_10s__sd300,68 移動分布
churn_10s__sk300,68 移動分布
churn_10s__rng300,68 移動分布
churn_10s__lag1,69 ラグ
churn_10s__dlag1,69 ラグ
churn_10s__lag2,69 ラグ
churn_10s__dlag2,69 ラグ
churn_10s__lag5,69 ラグ
churn_10s__dlag5,69 ラグ
churn_10s__lag10,69 ラグ
churn_10s__dlag10,69 ラグ
churn_10s__reg,59 レジーム
