sym,quotes,fills,fill_rate,imp_bp,mk300_bp,fee_usd,net_usd,net_bp,label
MU,8158,100,0.012257906349595489,-0.45821098599675386,-3.4946741779400954,0.0,-3.228932545151326,-3.8101330988427295,g_p-1_l0.25
AAPL,7543,47,0.006230942595784171,-0.2319855599789959,-0.7551773446764435,1.0190336729655802,-1.8386483762455001,-5.5939153369229375,main_Premium
AMZN,4831,12,0.002483957772717864,-1.3848630816830958,-5.300490990419786,0.22698087624765667,-1.1251378522244218,-15.862739183163956,main_Premium
DRAM,8310,40,0.0048134777376654635,-1.3747731152586393,-4.189568662938479,0.7491263286318657,-0.8356035666088995,-3.5625581745196873,main_Premium
MSFT,10293,7,0.0006800738365879724,-1.5784616355826862,2.432484881405189,0.20733937544039124,-0.23780737544110664,-3.66951264974419,main_Premium
MU,11316,134,0.01184164015553199,-0.7469970048400247,-2.759124929290714,3.8559718361326483,-10.555270417604222,-8.761501174472137,main_Premium
NVDA,11696,79,0.0067544459644322844,-0.6019606875334029,6.080368669570557,2.100812665942053,1.5013487984932632,2.2876956640182375,main_Premium
SAMSUNGUSD,15574,54,0.0034673173237447026,0.8486219834018702,-8.405269950606854,1.476496180727712,-5.541388809674141,-12.001597114735297,main_Premium
SKHYNIXUSD,11625,128,0.011010752688172042,-1.0425306008496085,-1.978432454106947,3.4854841101046765,-8.429410449386433,-7.73935965118108,main_Premium
SNDK,12066,260,0.021548151831592907,-1.0368984208317311,-2.1296556344828623,6.718237261664759,-10.729746474507508,-5.11071123892801,main_Premium
TSLA,5416,56,0.0103397341211226,-0.46913858855173973,-5.236498210653532,1.057661446032498,-2.6938053752859297,-8.145868111770623,main_Premium
XAG,14827,121,0.00816078775207392,-0.611060321143298,-6.835813746202642,3.3621596608077566,-8.739528895510734,-8.315246831429285,main_Premium
XAU,9589,201,0.020961518406507458,-0.24131528904633975,-1.098060478656416,5.712979414778987,-9.0886596909323,-5.062488191238335,main_Premium
AAPL,7405,51,0.006887238352464551,-0.7837707955925842,-0.9818511784239403,0.0,-1.407945465610375,-3.8122653673654368,main_Standard
AMZN,4748,14,0.0029486099410278013,-0.222945876306242,7.2542567841723455,0.0,0.6280080338161157,8.144076190175314,main_Standard
DRAM,7850,57,0.007261146496815286,-0.6760530564727998,11.447708432841296,0.0,6.047216169662741,17.322378457876365,main_Standard
MSFT,10284,8,0.0007779074290159471,-2.7212580003936337,7.104296569869955,0.0,0.03812515952001375,0.6954989756073084,main_Standard
MU,10673,152,0.0142415440832006,-0.9866204805988926,-0.2427391398933867,0.0,-4.469036361934253,-3.4274215438765885,main_Standard
NVDA,11339,83,0.0073198694770261925,-0.5845882346350914,-4.5439956270858595,0.0,-3.6429401583257226,-5.40024957280008,main_Standard
SAMSUNGUSD,14430,71,0.00492030492030492,0.2665206410116005,-4.692984657642976,0.0,-5.291976828204447,-8.934076279941655,main_Standard
SKHYNIXUSD,10961,152,0.013867347869719916,-1.3464413850404144,-3.1642409689817494,0.0,-5.922209275039568,-4.792232712151732,main_Standard
SNDK,11389,304,0.02669242251295109,-0.8130303005813163,-2.8951884915674744,0.0,-7.048488877677537,-2.9718993770078446,main_Standard
TSLA,5243,70,0.01335113484646195,-0.9946455076793307,1.248377365292794,0.0,-0.7200389201169202,-1.6252636234485394,main_Standard
XAG,14222,132,0.009281395021797216,-0.6739065397110131,-1.9135263210461952,0.0,-3.0623769100106775,-2.730455358168162,main_Standard
XAU,9274,227,0.024477032564157862,-0.27887673777992994,-1.2446009211045654,0.0,-4.179409680098518,-2.1003252578453817,main_Standard
AAPL,7402,53,0.00716022696568495,-0.4412514030692118,-2.9303349553065865,0.0,-1.8753952765013029,-4.963799496222158,main_Std_mk0
AMZN,4804,16,0.0033305578684429643,-0.428182443174291,2.033845200328452,0.0,0.37662630432187355,4.239098256732243,main_Std_mk0
DRAM,8121,47,0.0057874645979559165,-1.182493361231096,0.478509824418802,0.0,2.1771677719736062,7.584554832369399,main_Std_mk0
