label,sym,spread_bin,quotes,fills,net_usd,notional_usd,imp_sum,mk300_sum
g_p-1_l0.25,MU,0,1072,6,-0.36697999999999115,437.451934,3.2099180476104423,20.65890841540424
g_p-1_l0.25,MU,1,3404,45,2.7131440003587306,3784.0784102861794,-17.689295533734676,309.2524592805456
g_p-1_l0.25,MU,2,3682,49,-5.575096545510065,4253.062173576425,-31.341721113551163,-679.3787854899593
main_Standard,AAPL,0,2714,10,-0.9287960000307844,730.5802035200643,-7.409142404783465,-94.73911746664204
main_Standard,AAPL,1,2509,26,-0.449278964556962,1600.4562674198971,-12.522602868441302,9.122807816876204
main_Standard,AAPL,2,2182,15,-0.02987050102262845,1362.1625326314288,-20.04056530199703,36.52375072856883
main_Standard,AMZN,0,1509,4,-0.01433322176106962,156.0547922671299,-4.283599909310101,16.208663856566343
main_Standard,AMZN,1,1629,3,0.08095899999999864,225.342086,0.15591886431555108,14.563291864272754
main_Standard,AMZN,2,1610,7,0.5613822555771867,389.7256151271721,1.00643877670716,70.78763925757372
main_Standard,DRAM,0,2701,17,3.1277100156602646,1040.0600333002938,-47.5433086439862,352.42671111400784
main_Standard,DRAM,1,2723,18,4.042364011360184,1331.662446232605,-3.249528503571228,458.5248495059519
main_Standard,DRAM,2,2426,22,-1.122857857357708,1119.2624243981857,12.257812928607855,-158.43217994800602
main_Standard,MSFT,0,3219,4,0.05312014997027441,399.997246,4.234738390041985,12.9004214409107
main_Standard,MSFT,1,3505,2,-0.0020600008786898034,100.00270016312122,-7.614040967854998,-46.29561396869955
main_Standard,MSFT,2,3560,2,-0.012934989571570852,48.16994131547548,-18.390761425336056,90.2295650867485
main_Standard,MU,0,3634,36,-4.100830597929944,2887.606702734838,-22.064181911400325,-231.88081769450704
main_Standard,MU,1,3611,55,1.9611326579441068,5013.340318022146,-51.552647803773546,243.564676723622
main_Standard,MU,2,3428,61,-2.3293384219484157,5138.115448575417,-76.3494833358578,-48.580208292909646
main_Standard,NVDA,0,4259,10,0.12198899785035996,581.2652054205394,-3.7787111465103944,19.977140435365225
main_Standard,NVDA,1,3865,42,-1.5925351275144564,3243.648745168753,-8.140518095565195,-186.7641188150041
main_Standard,NVDA,2,3215,31,-2.1723940286616257,2920.959752497404,-36.601594232637,-210.36465866848735
main_Standard,SAMSUNGUSD,0,4872,44,-0.977020022174149,3948.5196769846048,-17.85398116309524,137.9664949241922
main_Standard,SAMSUNGUSD,1,4897,20,-2.655336806030281,1410.1278771096195,5.4156343829595865,-331.7513336147637
main_Standard,SAMSUNGUSD,2,4661,7,-1.6596200000000172,564.714484,31.36131229195929,-139.41707200207964
main_Standard,SKHYNIXUSD,0,3922,33,-3.767647917857846,2756.5241817183805,-34.899395730335264,-249.8270992684299
main_Standard,SKHYNIXUSD,1,3552,59,-0.7248505551979743,4776.781047080629,-81.33404538102954,-110.85957924510126
main_Standard,SKHYNIXUSD,2,3487,60,-1.4297108019837474,4824.6281829540085,-88.42564941477818,-120.27794877169484
main_Standard,SNDK,0,4084,65,2.200336753880114,4278.480878960905,-39.874889796339076,41.20164738202507
main_Standard,SNDK,1,3901,91,-2.8181870909510676,7000.808658170576,-49.95175364008272,-186.19994840706892
main_Standard,SNDK,2,3404,148,-6.430638540606582,12437.828654043844,-157.33456794029834,-735.1390004114685
main_Standard,TSLA,0,2033,10,-0.9363399202863528,749.0792378245447,-14.378762039679883,-52.46139535922681
main_Standard,TSLA,1,1797,25,0.16257953460420493,1544.3081611991806,-37.36922261385429,6.909178672894853
main_Standard,TSLA,2,1413,35,0.053721465565228055,2136.902615030224,-17.87720088401898,132.93863225682753
main_Standard,XAG,0,4899,37,-1.6389540490875876,3046.445735911896,-21.043876201956465,-116.06461002051779
main_Standard,XAG,1,4727,60,-1.4848752777186682,4937.461627493858,-20.50158584779738,-186.78544386241964
main_Standard,XAG,2,4596,35,0.06145241679557911,3231.7197328204193,-47.41020119209989,50.26457950483974
main_Standard,XAU,0,3087,61,-1.4756027029011967,5104.547714017884,-21.05048781832416,-148.9023680884188
main_Standard,XAU,1,3127,102,-2.0002477977171464,9134.354310311253,-16.819314994080713,-125.34112899634913
main_Standard,XAU,2,3060,64,-0.7035591794801747,5659.966803187437,-25.43521666363921,-8.280912005968418
