side,lag_s,n,raw_bp,excess_bp,lo,hi
ロング,5,2020,-1.0796001277979528,-1.0535891132468223,-1.562946713481117,-0.6304212648977625
ショート,5,897,1.3295441345118064,1.320306312981856,0.7154001014875178,2.2566268530746503
ロング,30,2020,-3.043722836859608,-3.750384777716498,-5.658301342381433,-1.9608922811986673
ショート,30,897,3.4416026559469515,3.499390148120618,1.258682674627476,5.088365353644875
ロング,60,2020,-3.0437103939684462,-5.399609842475783,-7.317696809512775,-2.978450218355855
ショート,60,897,2.7269336315072223,2.901569124453829,0.7298733487548503,5.545681198030004
ロング,300,2020,3.075970383696891,-2.2280885995340505,-9.719131391427105,5.272551353403543
ショート,300,897,4.7975437496727835,5.97540101589189,-2.8111526124805493,14.214269360362294
ロング,1800,2020,28.435324760223146,21.562279792814998,3.2163608852959773,41.356038997808255
ショート,1800,897,5.27437299933986,5.590964957624678,-12.263814224945158,21.33095948691377
ロング,3600,2020,40.86425003589689,31.411860439121142,0.8163598518784454,59.20078372711434
ショート,3600,897,-16.539829075457035,-18.757580871113788,-41.82177223915728,1.429791375731071
