h,vol_usd,n_tr,liq_usd,n,liq_per_vol_bp
0,991786383.6996644,659345,5514000.990270001,2187,55.59665953167357
1,650587825.6417853,450742,1410252.9395699995,647,21.67659590277189
2,468047815.154679,351377,1119348.60854,468,23.91526190908681
3,395090699.76196665,303968,1967978.503980001,398,49.81080306789464
4,400020452.2771898,310671,1701254.0114800006,447,42.52917574077276
5,529349948.84457463,358366,1897205.2530300014,649,35.840284053509
6,573089513.8285426,364783,580684.7247599997,210,10.132530970261818
7,434670442.9776292,301553,704214.8219899995,130,16.201120489488694
8,846935966.6993427,489105,1313135.0033599995,381,15.504537001510466
9,517797722.2722306,347498,774470.21667,322,14.95700315697458
10,541733830.2594595,346895,138910.97871,74,2.564192430874579
11,653579069.8153695,403587,1726909.7238999996,522,26.422353524690394
12,772301002.1595794,439215,271559.5021,76,3.5162391521005443
13,2951247481.110171,1064318,2803164.27941,1394,9.498235228837988
14,2523287627.6291556,947202,7333962.796100002,1886,29.065108217531613
15,1584651870.8144026,659794,2851077.5546500003,688,17.991822728765918
16,1327294336.9141781,554575,5873381.208779996,808,44.2507818004784
17,1080973779.3492432,457918,3738518.3315200005,463,34.584727242603655
18,859151813.2974036,409273,3025812.7258299985,399,35.21860373217399
19,1104726863.7494853,499279,1599673.0804099995,434,14.480258721876716
20,975595400.6605788,452941,6436533.600820002,1178,65.97544019233592
21,477058292.4458093,289819,776939.3664299998,213,16.28604677316777
22,533726554.1130214,335210,2603721.352219999,664,48.783807591267745
23,562781305.4329602,377321,835895.2195799998,251,14.852931529716095
