bin_lo_bp,bin_hi_bp,n_liq,n_null,liq_bwd300,null_bwd300,liq_long_share,liq_fwd60,null_fwd60,liq_fwd300,null_fwd300,diff60,diff300,match_gap
-1000000000.0,-150.0,339,11142,-189.24774738410477,-178.8000591526906,1.0,0.0,9.12655179333921,23.930772543501178,27.14904595380485,-9.12655179333921,-3.2182734103036736,10.447688231414162
-150.0,-100.0,470,33427,-122.63983012488211,-115.318150081265,1.0,-3.4287862360127264,3.027354331699428,10.039716295793255,6.99682372760968,-6.456140567712154,3.042892568183575,7.321680043617107
-100.0,-70.0,457,87739,-84.08151113956208,-80.34482621211758,1.0,-0.9456133282892409,1.7688561538165004,-0.7486862000494199,2.5874485888977006,-2.7144694821057413,-3.3361347889471205,3.7366849274445
-70.0,-50.0,324,174614,-60.87037211604862,-57.69951576947374,1.0,-1.4599972367834724,0.8648251302556531,7.583405661168996,2.261138417600783,-2.3248223670391255,5.322267243568213,3.1708563465748796
-50.0,-35.0,227,306335,-42.97305783699912,-41.04578322881913,1.0,-5.130240720800927,0.1973340174377114,-5.5884135017514325,0.9792401104569137,-5.3275747382386385,-6.567653612208346,1.9272746081799852
-35.0,-25.0,111,384711,-30.9162598549495,-29.355534135167005,0.9819819819819819,-5.627714081599677,0.0,-4.970967853950015,0.4423897897254392,-5.627714081599677,-5.413357643675454,1.5607257197824964
-25.0,-15.0,62,649715,-20.79239544779732,-19.36304752479856,0.9838709677419355,-9.212126751356742,-0.06482036655874879,-16.55424399874761,0.0,-9.147306384797993,-16.55424399874761,1.4293479229987582
-15.0,-8.0,22,746172,-11.6606114263762,-11.076064795627616,0.9090909090909091,-10.32939769869401,0.0,-23.810814609359632,0.07063868021628394,-10.32939769869401,-23.881453289575916,0.5845466307485836
3.0,8.0,14,892156,5.181978431170187,5.234907170552638,0.07142857142857142,0.2586858324615804,0.0,-1.1462935054762369,0.0,0.2586858324615804,-1.1462935054762369,0.052928739382451795
8.0,15.0,15,761104,11.984871910000194,11.071029494353901,0.13333333333333333,-1.299232804852224,0.050584120128149834,1.7536965695263973,0.0,-1.3498169249803738,1.7536965695263973,0.9138424156462932
15.0,25.0,51,640948,20.400224238548148,19.263081328944054,0.0196078431372549,1.7563580205326446,0.0,9.240314828158347,-0.23248517924123746,1.7563580205326446,9.472800007399584,1.1371429096040941
25.0,35.0,74,375205,29.759125227246663,29.39230234632717,0.0,2.913628340945884,0.0,7.691140120540396,-0.5250377372156834,2.913628340945884,8.21617785775608,0.3668228809194929
35.0,50.0,118,307891,41.27516163363598,41.11585133051321,0.0,6.132012748287785,0.0,3.6385437949792987,-1.2097530303911697,6.132012748287785,4.848296825370468,0.15931030312277272
50.0,70.0,119,183095,58.368353487345814,57.794703479281395,0.008403361344537815,3.8927546596401186,0.2517163911530673,-0.6739575046399437,0.0,3.6410382684870513,-0.6739575046399437,0.5736500080644191
70.0,100.0,159,96325,83.00947595683894,80.57626657286932,0.006289308176100629,0.28035942079895904,0.0,-5.780269279522798,-2.011232435155108,0.28035942079895904,-3.7690368443676903,2.4332093839696256
100.0,150.0,145,39906,120.05957553696156,114.70473125909209,0.0,-3.7287346039072133,-0.812298195449479,11.832735635275426,1.0828663482786993,-2.9164364084577343,10.749869286996727,5.354844277869475
150.0,1000000000.0,198,12226,233.83724371808245,176.649293557376,0.0,7.535358663552927,-2.514671278621705,19.14311275770686,-10.401106624473577,10.050029942174632,29.544219382180437,57.187950160706436
