set,n,dir,lag_s,median_bp,lo,hi,mean_bp
清算(ロング),2020,bwd,5,-7.612543955221181,-8.353189760762824,-6.753135640931419,-9.032949985816588
清算(ロング),2020,fwd,5,-1.0796001277984772,-1.5598846352443594,-0.6742494842561433,-1.260396508342614
清算(ロング),2020,bwd,30,-25.723288405296188,-28.81105061626212,-22.912123272063983,-29.579931289357464
清算(ロング),2020,fwd,30,-3.043722836861864,-4.449979997373894,-1.3784135493535414,-2.3998672455949173
清算(ロング),2020,bwd,60,-38.602140316154646,-43.20212302776449,-34.50358508117952,-42.55885082970689
清算(ロング),2020,fwd,60,-3.0437103939698,-5.210437230183558,-1.4618953430854016,-3.0304537594275853
清算(ロング),2020,bwd,300,-85.7254390618701,-96.14289267802268,-75.13334093878177,-98.19733175638291
清算(ロング),2020,fwd,300,3.07597038370392,-4.60224441794204,9.167339355738441,1.7316009275957684
清算(ロング),2020,bwd,1800,-217.59184772412715,-251.8981608775177,-178.03380523565517,-245.57437344007215
清算(ロング),2020,fwd,1800,28.43532476022333,9.08621924840167,46.75635921939884,20.94031732280492
清算(ロング),2020,bwd,3600,-281.8981576854395,-348.76430782052296,-234.30949467098534,-337.50320103576496
清算(ロング),2020,fwd,3600,40.86425003589355,8.842455855606511,67.47319659770709,64.93463589489758
清算(ショート),897,bwd,5,6.9498534940418075,5.596599650151638,8.414418851772876,9.734269724117018
清算(ショート),897,fwd,5,1.3295441345132664,0.7343236348296222,2.2517047353961335,2.4125560329792997
清算(ショート),897,bwd,30,23.592098125796,18.843112321205314,30.026063116836266,35.189351169405136
清算(ショート),897,fwd,30,3.441602655943286,1.1496331217988844,5.227472021377603,5.705726408246474
清算(ショート),897,bwd,60,35.177543830180696,28.074147157130707,43.58154391536322,50.675767989432146
清算(ショート),897,fwd,60,2.726933631500574,0.35926902880844275,4.786059455684666,7.737334533418442
清算(ショート),897,bwd,300,79.15442856378425,62.87525889510881,98.39309189073445,114.43283809776024
清算(ショート),897,fwd,300,4.797543749665277,-2.2912138108212057,11.774818955451497,16.23195222497715
清算(ショート),896,bwd,1800,173.0189528993247,148.76498635867077,229.60467215998017,251.8748627729727
清算(ショート),897,fwd,1800,5.274372999337968,-12.123509471511648,23.59235137082268,29.99485731342761
清算(ショート),896,bwd,3600,249.94446660192563,199.10021458705714,305.6252691174288,330.21942846281814
清算(ショート),897,fwd,3600,-16.539829075461885,-39.49786397768346,5.3320085363560885,18.563109348880253
対照1 無作為,58339,bwd,5,0.0,0.0,0.0,0.016981117586382356
対照1 無作為,58340,fwd,5,0.0,0.0,0.0,0.014107900074439026
対照1 無作為,58338,bwd,30,0.0,0.0,0.0,0.03704371850138529
対照1 無作為,58339,fwd,30,0.0,0.0,0.0,0.0624095864977196
対照1 無作為,58337,bwd,60,0.0,0.0,0.0,0.0519661946952796
対照1 無作為,58337,fwd,60,0.0,0.0,0.0,0.1641409585506966
対照1 無作為,58327,bwd,300,0.0,-0.0012617981687268601,0.20275209279760545,0.14582640139517086
対照1 無作為,58332,fwd,300,0.11898960803220054,0.0,0.42637879932305783,0.42273109059141534
対照1 無作為,58293,bwd,1800,0.5607824445974723,-0.35917599224677477,1.7616671548468361,0.8796398303117609
対照1 無作為,58304,fwd,1800,0.789135596407393,-0.25164765688288937,1.8249340114907742,0.6393226516484323
対照1 無作為,58277,bwd,3600,2.0056312020029834,-0.0012896070566922732,4.3660241428927264,1.9646024484090727
対照1 無作為,58291,fwd,3600,2.19178083069126,0.15047646524146163,4.586593738762882,2.129925591390425
対照2 同じ時間枠,58340,bwd,5,0.0,0.0,0.0,-0.04658325654000301
対照2 同じ時間枠,58340,fwd,5,0.0,0.0,0.0,-0.09261479590406008
対照2 同じ時間枠,58340,bwd,30,-0.274404926087392,-0.6305288485437764,0.0,-0.2888179042698751
対照2 同じ時間枠,58340,fwd,30,-0.32198782136747095,-0.6379060987756875,0.0,-0.42706432905840663
対照2 同じ時間枠,58340,bwd,60,-0.516034547912936,-1.311172516236832,0.0,-0.5201270337910819
対照2 同じ時間枠,58340,fwd,60,-0.6401649261787752,-1.4542071780996528,0.0,-0.678498761755346
対照2 同じ時間枠,58338,bwd,300,-3.2547489405867083,-7.588644660626787,0.964288996447827,-3.626111988409993
対照2 同じ時間枠,58340,fwd,300,-3.25614495939867,-6.7701993793081465,0.0608417465141943,-3.763218087541228
対照2 同じ時間枠,58331,bwd,1800,-33.49292183641015,-57.68259557404815,-2.3631541452668574,-27.00112734616727
対照2 同じ時間枠,58333,fwd,1800,-14.051678335588404,-29.733755937049356,3.138929184797639,-13.118380415181536
対照2 同じ時間枠,58320,bwd,3600,-89.9102962198989,-136.5049378845557,-21.063556472655332,-61.74456596199934
対照2 同じ時間枠,58291,fwd,3600,-7.04625109891898,-25.758605997938957,10.010430354487566,-4.2929985040213
対照3 プラセボ +1h,2917,bwd,5,0.0,0.0,0.22587082266124411,0.12156183927100202
対照3 プラセボ +1h,2916,fwd,5,2.2204460492503127e-12,0.0,0.18917991164500925,0.10950557432113835
対照3 プラセボ +1h,2917,bwd,30,0.4667907552936411,-0.05702506578417575,1.3830188331208735,0.7310558200673165
対照3 プラセボ +1h,2916,fwd,30,0.11098879488911724,-0.2351499801472069,0.817373969512297,0.6462347908759335
対照3 プラセボ +1h,2917,bwd,60,0.6671237702351436,-0.11473164873178315,2.1436507499891944,1.3849908133826845
対照3 プラセボ +1h,2915,fwd,60,0.22619828542675693,-0.784482928092029,1.694264354472201,0.5231190618461257
対照3 プラセボ +1h,2917,bwd,300,3.3186713650270074,-0.8831925859122542,7.783324854047504,7.888111443063887
対照3 プラセボ +1h,2911,fwd,300,3.5462091115184564,-0.9369817395426712,8.016752771151912,8.231234056271179
対照3 プラセボ +1h,2917,bwd,1800,5.274390780621055,-12.55898901419153,24.422294712438575,26.95037558842241
対照3 プラセボ +1h,2917,fwd,1800,2.72822169086478,-12.444421388893586,21.35383337611054,17.47543568394883
対照3 プラセボ +1h,2917,bwd,3600,20.776294266920775,-3.0244426394140476,44.13412677312563,50.675033799670466
対照3 プラセボ +1h,2917,fwd,3600,5.932314382506594,-11.650374223310527,30.144110516466366,29.18279939081855
