bucket,visit,dwell_h,vol_usd,liq_usd,n_liq
540.0,1,0.06017916666666666,376850.58213,0.0,0
540.0,2,0.1662644444444444,625952.46576,0.0,0
550.0,1,2.537376666666667,9465494.18454,29387.2584,16
550.0,2,4.833197777777778,13054568.66524,0.0,0
560.0,1,5.250936111111111,2966267.38965,38254.01412000001,20
560.0,2,0.38064361111111106,558615.42033,0.0,0
560.0,3,0.2301727777777778,41408.569630000005,0.0,0
560.0,4,0.14014305555555556,1392530.17293,0.0,0
570.0,1,0.1492586111111111,2875874.9699299997,0.0,0
570.0,2,7.407800277777778,9880291.727869999,0.0,0
580.0,1,1.4687630555555558,4319876.37736,0.0,0
580.0,2,1.1636955555555555,1702840.4155000001,0.0,0
580.0,3,0.11336972222222222,138284.94119,0.0,0
580.0,4,7.7170250000000005,1944487.08916,0.0,0
590.0,1,0.11070194444444445,1493247.10085,712657.9664500001,62
590.0,2,3.082646944444444,7603924.20235,0.0,0
600.0,1,2.449840833333333,7410452.495759999,4945.42421,16
610.0,1,0.13559027777777777,832865.82299,46104.90246,24
620.0,1,0.23748666666666668,3657164.19286,53687.96068999999,22
620.0,2,0.02598361111111111,125660.75852999999,0.0,0
620.0,3,0.030677222222222224,252169.47610000003,0.0,0
630.0,1,3.012565277777778,10000903.13099,35903.34016,23
630.0,2,0.32498611111111114,2893029.56277,220722.24305,94
630.0,3,0.02118638888888889,272308.82963000005,77.198,1
630.0,4,0.12601305555555556,613039.5404699999,0.0,0
630.0,5,0.1977863888888889,736402.72432,0.0,0
630.0,6,0.16264305555555555,352922.9408,0.0,0
640.0,1,4.361477777777778,23829160.15939,224547.97086,50
640.0,2,0.4803108333333333,5596027.0998100005,59883.46942,24
640.0,3,0.20616027777777782,658624.36418,0.0,0
640.0,4,0.18287305555555558,2807087.6122500002,0.0,0
640.0,5,7.938051944444445,20211702.208920002,9952.94638,11
640.0,6,0.17414888888888888,46438.44666999999,0.0,0
650.0,1,0.010938611111111112,433908.56626,15935.843550000001,3
650.0,2,0.006246666666666667,16785.180799999995,0.0,0
650.0,3,0.5359108333333333,1145362.18436,0.0,0
650.0,4,4.209764444444445,17488488.25834,0.0,0
650.0,5,6.937184444444445,5662706.098719999,0.0,0
650.0,6,4.627106666666667,12441401.68745,0.0,0
650.0,7,0.23503916666666666,2680674.41624,0.0,0
650.0,8,0.0135875,162738.55424,0.0,0
650.0,9,6.375635,2772566.3398700003,0.0,0
650.0,10,0.006088333333333333,1024.73115,0.0,0
650.0,11,0.0070425,32806.361450000004,0.0,0
650.0,12,0.15235333333333334,6410945.85885,46173.70885,45
660.0,1,0.9356575,2031833.2038399999,10202.238370000001,10
