dt,n_seg,n_wallet_day,n_stale,n_carry,n_grid_ok,n_inc,n_maker_mean,n_maker_p10,n_maker_p25,n_maker_p50,n_maker_p75,n_maker_p90,n_maker_bid_mean,n_maker_bid_p10,n_maker_bid_p25,n_maker_bid_p50,n_maker_bid_p75,n_maker_bid_p90,n_maker_ask_mean,n_maker_ask_p10,n_maker_ask_p25,n_maker_ask_p50,n_maker_ask_p75,n_maker_ask_p90,hhi_mean,hhi_p10,hhi_p25,hhi_p50,hhi_p75,hhi_p90,eff_n_mean,eff_n_p10,eff_n_p25,eff_n_p50,eff_n_p75,eff_n_p90,mci_mean,mci_p10,mci_p25,mci_p50,mci_p75,mci_p90,top1_mean,top1_p10,top1_p25,top1_p50,top1_p75,top1_p90,overlap_mean,overlap_p10,overlap_p25,overlap_p50,overlap_p75,overlap_p90,clustering_mean,clustering_p10,clustering_p25,clustering_p50,clustering_p75,clustering_p90,depth_near_mean,depth_near_p10,depth_near_p25,depth_near_p50,depth_near_p75,depth_near_p90,turnover60,entry60,exit60
2026-05-04,702081,406,0,1333,86399,1012250,4.748087362122247,3.0,4.0,4.0,6.0,7.0,3.058275681646416,1.0,2.0,3.0,4.0,5.0,2.5764049246336116,1.0,2.0,2.0,3.0,4.0,0.5273821155340633,0.31405669388297813,0.3756248760979496,0.4928841086792858,0.6240765340655992,0.860600222083301,2.1600846273295535,1.161979714087508,1.6023675709859106,2.0288745009035964,2.662230495456418,3.1841384678974816,0.4844983758718556,0.2874337929282868,0.3701247647847119,0.4738643987999431,0.5751439842068375,0.6831445826031063,0.6376953148193674,0.40939641231292706,0.49157131888100786,0.6212599642281449,0.7636435801860435,0.9252930256812567,1.1969735944162732,1.0,1.0,1.1111111111111112,1.2857142857142858,1.5,0.8392075735463073,0.6582091851543397,0.7562626963342929,0.8500003305582862,0.920376546982073,1.0,217.89210223497957,13.8658,31.107,53.779,108.85050000000001,218.167,0.5437339608400302,0.3736987584685909,0.373227908474568
2026-05-05,878349,487,0,1555,86399,1180276,5.3980717369414,3.0,4.0,5.0,6.0,8.0,3.208856583988241,1.0,2.0,3.0,4.0,5.0,3.052801537054827,1.0,2.0,3.0,4.0,5.0,0.5653260498880448,0.3300637210317558,0.41390186141203616,0.5324402036719397,0.7105416559861328,0.8536156026679256,2.0015772096439335,1.171487490240992,1.4073770222732267,1.878145175934432,2.4160316568485003,3.029718009826806,0.39922020756110593,0.21739456099759458,0.2776361559461399,0.37300409717674177,0.4962716974221795,0.6094109008282658,0.6886719640661363,0.4524296182028538,0.5526341024284026,0.6904130747876182,0.8333040033135116,0.921815132759703,1.3157768726050767,1.0,1.0,1.2,1.4,1.7142857142857142,0.8585032529691833,0.72035169802531,0.7966687735843786,0.8747455908729727,0.9285995351617335,1.0,157.3704849940393,21.446800000000014,42.1095,85.83800000000001,171.5365,268.12879999999996,0.5586836022357424,0.38746111766598734,0.3876906575136759
2026-05-06,1280613,529,507,1538,86399,1002243,4.506464195187444,3.0,3.0,4.0,5.0,6.0,2.704475746247063,1.0,2.0,3.0,4.0,5.0,2.515306890126043,1.0,2.0,2.0,3.0,4.0,0.5777849746560187,0.35651135444038373,0.4395926242535138,0.5405323728710594,0.7121292867365256,0.86274395090451,1.9221393165780398,1.1590924502591862,1.4042393972412996,1.8500279542711937,2.2748334363117904,2.8049597511442905,0.45551973073565394,0.2667223203687522,0.33170911110182544,0.4317660444094021,0.5522525881587363,0.6766321081279493,0.6945619584487295,0.47214969138524665,0.5616759703729447,0.6929366655887652,0.834348622425691,0.9269073422112898,1.1588735857020211,1.0,1.0,1.0,1.25,1.4285714285714286,0.8477872316648878,0.6700682821949949,0.7620177871829334,0.8682229285385225,0.9545693487099153,1.0,67.76414938830311,10.891400000000003,26.339000000000002,48.574,83.426,147.60539999999997,0.5703604364918984,0.3990403026619136,0.39891693503409315
2026-05-07,1423632,475,372,1021,86399,1400768,5.041678723133369,3.0,4.0,5.0,6.0,7.0,2.99872683711617,1.0,2.0,3.0,4.0,5.0,2.801247699626153,1.0,2.0,3.0,4.0,5.0,0.5425014233992357,0.3252996989362515,0.4043406791190838,0.5058804171672112,0.6640284397055731,0.8289644870038051,2.068228958566636,1.2063242946332569,1.50595959480801,1.9767517501462504,2.4731619934495512,3.074088317249028,0.4334030903728085,0.2609350209711559,0.3258053911868895,0.40754961560359526,0.5154836289514275,0.6454584339879431,0.661957833551722,0.4325971058644326,0.5265107541039447,0.6582411477706391,0.8023750722505386,0.9078455655654242,1.1516170031968826,1.0,1.0,1.125,1.25,1.4,0.8216420808537405,0.6666708086753307,0.7500031777416849,0.8333333379215873,0.9,1.0,66.6256472181391,8.6788,18.3625,38.503,70.20750000000001,129.65099999999998,0.5499138956155047,0.3794074673086996,0.37914786668014444
2026-05-08,1265370,563,161,1565,86399,1340452,4.900994224470191,3.0,4.0,5.0,6.0,7.0,2.973610805680621,1.0,2.0,3.0,4.0,5.0,2.713430866455242,1.0,2.0,3.0,3.0,4.0,0.55315164732797,0.33186555822361685,0.40832322545015715,0.5138592460502096,0.6811741859415016,0.8515894879589889,2.0342430296223917,1.1742747115260317,1.4680532833594104,1.9460582011251564,2.4490402154150823,3.0132684010739745,0.44403309687788256,0.261018844763032,0.31938902765141564,0.40798652770565325,0.5300715626272412,0.6835609609134372,0.6728829768958821,0.44360552909745615,0.5375384360636217,0.6698725415155247,0.8130815189578025,0.9210311234597437,1.1381762810621943,1.0,1.0,1.1,1.2,1.375,0.8219322211787622,0.6666850049717183,0.7500142137979829,0.833333337397463,0.9,1.0,65.95503925971366,3.9290000000000003,15.324,37.242,68.82000000000001,159.0844,0.5476790656890218,0.37700196120129487,0.3771531863613809
2026-05-09,177276,386,132,1701,86394,1027380,4.642232099451351,3.0,4.0,4.0,5.0,7.0,2.5695997407227353,1.0,2.0,2.0,3.0,4.0,2.9759474037548905,1.0,2.0,3.0,4.0,5.0,0.6530486185240256,0.3584748004303336,0.4647620239846555,0.6375374764315819,0.87066394304153,0.9434099587871421,1.7621714212463113,1.0599845705313633,1.1485487690079992,1.5685352449878085,2.1516387923183276,2.7895963679450877,0.4094930579270545,0.21740615256067036,0.26359918901238105,0.34810032651138473,0.5313634089422068,0.7049457633100469,0.750492736475202,0.4778846153846154,0.5916427193638547,0.7805033450143358,0.9316476663743545,0.9711184044433224,1.117454078557076,1.0,1.0,1.0,1.2,1.3333333333333333,0.830754846612712,0.6685241357740084,0.75125,0.8348248648006558,0.9000325299898394,1.0,42.3424495451073,1.613,3.25225,21.344,47.596000000000004,97.41709999999993,0.4127296198180861,0.2599854811067288,0.26004784748675963
2026-05-10,215630,465,453,1554,86399,970907,4.476371254296925,3.0,3.0,4.0,5.0,6.0,2.637218023356752,1.0,2.0,3.0,3.0,4.0,2.5525526915820786,1.0,2.0,2.0,3.0,4.0,0.6409376288989755,0.31548880134079993,0.40781840049756723,0.6331055272943247,0.9016274336940312,0.9793646392263043,1.8777776937932948,1.0210701509398967,1.1091055602677589,1.5795155102714964,2.452071801517365,3.1696846159543295,0.45777526585954387,0.2020651873033364,0.25584881968939094,0.38554854038216363,0.6486507950952444,0.7969735822052597,0.7336009152189095,0.427209705372617,0.5369836695485111,0.775103670115878,0.9488195079691897,0.9895966834632085,1.195929818919813,1.0,1.0,1.1428571428571428,1.3333333333333333,1.5,0.8294813124798832,0.6685091751805011,0.7525396255306006,0.8334879366469977,0.9020312787842155,1.0,105.07119284945428,1.369,2.451,11.217,74.308,509.673,0.41386865356881297,0.2610176945364238,0.2608780008278146
2026-05-11,1702381,846,485,2193,86399,1216311,5.055845553767983,3.0,4.0,5.0,6.0,7.0,2.9186439500914374,1.0,2.0,3.0,4.0,5.0,2.6588730959766655,1.0,2.0,2.0,4.0,5.0,0.5217682500042041,0.29269115750778585,0.3650856372086362,0.478064806258058,0.6471441137869,0.8521151208120192,2.2215516655201917,1.1735503520816573,1.545250862513899,2.091766611784853,2.739083376837037,3.416570588791766,0.47002037247828715,0.26653192028068895,0.34210866745805196,0.4404210498120024,0.5649379892369664,0.7175352872637942,0.6378640296448523,0.39836709347174065,0.4932903918411165,0.6079984996952505,0.7883500118106623,0.9212853773584906,1.1622736866864403,1.0,1.0,1.125,1.25,1.4,0.8655319435764042,0.7375287811591252,0.8000898003328402,0.875,0.9375000028353644,1.0,57.50604277827289,4.502,12.7795,36.481,73.905,133.781,0.6342068952570468,0.46463750781899793,0.4642456986919074
2026-05-12,2089140,829,111,2234,86399,1539037,6.146922996793944,3.0,5.0,6.0,8.0,9.0,3.375911479432394,1.0,2.0,3.0,4.0,6.0,3.2688572784407226,1.0,2.0,3.0,4.0,6.0,0.5055763842873644,0.2831161890146471,0.35542656842434045,0.4676792942688476,0.6264013129240764,0.8091311551607485,2.2937552282931235,1.2358935799491393,1.5964206642608207,2.1382173901099533,2.8135206795963548,3.532118751791658,0.3988218543367365,0.2233367690249434,0.28661180523500673,0.3770945336230896,0.49095230702029824,0.5976775769371626,0.6307731327350063,0.39430567538884403,0.48337100671785904,0.6179914786836396,0.7741388145237122,0.8962715272957339,1.2745800150259403,1.0,1.0,1.2,1.4,1.6666666666666667,0.8807410320154263,0.75,0.8301279245981275,0.8977103906760104,0.9546759174983187,1.0,91.37640874315674,10.216800000000001,25.984,54.298,123.025,173.90800000000002,0.6417572434794291,0.4726115153730494,0.4724475914488237
2026-05-13,1945050,826,295,2095,86399,1771678,6.357527286195442,4.0,5.0,6.0,8.0,9.0,3.7013275616615933,1.0,2.0,3.0,5.0,6.0,3.3522262989154967,1.0,2.0,3.0,4.0,6.0,0.5067589240064787,0.27573635360090204,0.34395103781708125,0.46283761778663773,0.6442243392000282,0.8260438830676997,2.319872316049839,1.210589437798722,1.5522543000586644,2.1605849688323895,2.9073905586914117,3.6266527323118543,0.3915583615197678,0.20579047573609272,0.27013545185790444,0.369863790165569,0.4898823941842947,0.6037212256855118,0.6342705282530609,0.3894774209417306,0.47749364009353135,0.6227355072463768,0.7885646216170081,0.9063719305404758,1.2889917017768215,1.0,1.0833333333333333,1.25,1.4285714285714286,1.6666666666666667,0.8546989547030355,0.7096018396250926,0.7850345829459839,0.8666666666666668,0.9299280022465863,1.0,72.9257274621234,10.081800000000001,21.812,39.395,109.4075,143.3108,0.6391116311759595,0.4698330913178699,0.4695543332306969
