dt,side,delta,var,auc,n
2026-05-04,1,0.5,obi,0.4878886809940641,4063
2026-05-04,1,0.5,ofi,0.35235382442263935,4063
2026-05-04,1,0.5,aggr,0.47328375531960626,4063
2026-05-04,1,0.5,depth,0.5489185069883581,4063
2026-05-04,1,0.5,qdepl,0.5673073949974019,4063
2026-05-04,1,0.5,drift,0.3524201898806251,4063
2026-05-04,1,1.0,obi,0.501358606506379,4063
2026-05-04,1,1.0,ofi,0.35781389164783167,4063
2026-05-04,1,1.0,aggr,0.46517434884550496,4063
2026-05-04,1,1.0,depth,0.5613759821899243,4063
2026-05-04,1,1.0,qdepl,0.5582545432057985,4063
2026-05-04,1,1.0,drift,0.39206789488013116,4063
2026-05-04,1,2.0,obi,0.5025068043448259,4063
2026-05-04,1,2.0,ofi,0.35646244959430345,4063
2026-05-04,1,2.0,aggr,0.4986915446635761,4063
2026-05-04,1,2.0,depth,0.5719925700853173,4063
2026-05-04,1,2.0,qdepl,0.5229583006219499,4063
2026-05-04,1,2.0,drift,0.4488224279048651,4063
2026-05-04,-1,0.5,obi,0.4107466299626712,3399
2026-05-04,-1,0.5,ofi,0.3759761995297747,3399
2026-05-04,-1,0.5,aggr,0.5617012730359524,3399
2026-05-04,-1,0.5,depth,0.4704341818454469,3399
2026-05-04,-1,0.5,qdepl,0.5613429806286452,3399
2026-05-04,-1,0.5,drift,0.4345288910073426,3399
2026-05-04,-1,1.0,obi,0.4139428767292027,3399
2026-05-04,-1,1.0,ofi,0.4100262961991013,3399
2026-05-04,-1,1.0,aggr,0.5488107798349391,3399
2026-05-04,-1,1.0,depth,0.48675496334063484,3399
2026-05-04,-1,1.0,qdepl,0.55523862060101,3399
2026-05-04,-1,1.0,drift,0.44690149368837667,3399
2026-05-04,-1,2.0,obi,0.41714876365019093,3399
2026-05-04,-1,2.0,ofi,0.47363578425334324,3399
2026-05-04,-1,2.0,aggr,0.5282344057112559,3399
2026-05-04,-1,2.0,depth,0.4805542017684328,3399
2026-05-04,-1,2.0,qdepl,0.5602895259721828,3399
2026-05-04,-1,2.0,drift,0.4957181647288171,3399
2026-05-05,1,0.5,obi,0.5098819965981825,8269
2026-05-05,1,0.5,ofi,0.4292933779719062,8269
2026-05-05,1,0.5,aggr,0.5316968598537091,8269
2026-05-05,1,0.5,depth,0.5214957943408453,8269
2026-05-05,1,0.5,qdepl,0.6050794199179067,8269
2026-05-05,1,0.5,drift,0.43111840463714707,8269
2026-05-05,1,1.0,obi,0.51230229563275,8269
2026-05-05,1,1.0,ofi,0.4450560769786888,8269
2026-05-05,1,1.0,aggr,0.5161619235898041,8269
2026-05-05,1,1.0,depth,0.5366345221415182,8269
2026-05-05,1,1.0,qdepl,0.5937785674527771,8269
2026-05-05,1,1.0,drift,0.4572418407104881,8269
2026-05-05,1,2.0,obi,0.5227984838971192,8269
2026-05-05,1,2.0,ofi,0.4539353508432797,8269
2026-05-05,1,2.0,aggr,0.5501034163497456,8269
2026-05-05,1,2.0,depth,0.5394864004986651,8269
2026-05-05,1,2.0,qdepl,0.587514909228504,8269
2026-05-05,1,2.0,drift,0.48381513562028333,8269
2026-05-05,-1,0.5,obi,0.5175096369294296,10023
