dt,side,delta,var,auc,n
2026-05-04,1,0.5,obi,0.4891870052362572,10356
2026-05-04,1,0.5,ofi,0.45751147568173917,10356
2026-05-04,1,0.5,aggr,0.5037934711918559,10356
2026-05-04,1,0.5,depth,0.5289426950647658,10356
2026-05-04,1,0.5,qdepl,0.5881972231396301,10356
2026-05-04,1,0.5,drift,0.4397151266580632,10356
2026-05-04,1,1.0,obi,0.4974046845515136,10356
2026-05-04,1,1.0,ofi,0.44483027630386296,10356
2026-05-04,1,1.0,aggr,0.5138859604581835,10356
2026-05-04,1,1.0,depth,0.5300011202884234,10356
2026-05-04,1,1.0,qdepl,0.5869875444296204,10356
2026-05-04,1,1.0,drift,0.4575661806748792,10356
2026-05-04,1,2.0,obi,0.5228053186056628,10356
2026-05-04,1,2.0,ofi,0.4534975841052897,10356
2026-05-04,1,2.0,aggr,0.5148712904995177,10356
2026-05-04,1,2.0,depth,0.5538527300846909,10356
2026-05-04,1,2.0,qdepl,0.5708382812738698,10356
2026-05-04,1,2.0,drift,0.4835562319317119,10356
2026-05-04,-1,0.5,obi,0.49256157157323227,8518
2026-05-04,-1,0.5,ofi,0.43561074897825297,8518
2026-05-04,-1,0.5,aggr,0.5034509131186328,8518
2026-05-04,-1,0.5,depth,0.542866736102554,8518
2026-05-04,-1,0.5,qdepl,0.557589995312045,8518
2026-05-04,-1,0.5,drift,0.4217497017538183,8518
2026-05-04,-1,1.0,obi,0.5123596625223126,8518
2026-05-04,-1,1.0,ofi,0.413271542048065,8518
2026-05-04,-1,1.0,aggr,0.5081932511346434,8518
2026-05-04,-1,1.0,depth,0.5603524295791373,8518
2026-05-04,-1,1.0,qdepl,0.557468666080615,8518
2026-05-04,-1,1.0,drift,0.4250380681219749,8518
2026-05-04,-1,2.0,obi,0.5038483739129417,8518
2026-05-04,-1,2.0,ofi,0.4790369763309903,8518
2026-05-04,-1,2.0,aggr,0.52579270152183,8518
2026-05-04,-1,2.0,depth,0.5522240594661239,8518
