dt,side,delta,var,auc,n
2026-05-04,1,0.5,obi,0.4703618953898899,9329
2026-05-04,1,0.5,ofi,0.43770755304590175,9329
2026-05-04,1,0.5,aggr,0.5086537673027594,9329
2026-05-04,1,0.5,depth,0.5182526760456982,9329
2026-05-04,1,0.5,qdepl,0.5447706362463538,9329
2026-05-04,1,0.5,drift,0.4479083593387256,9329
2026-05-04,1,1.0,obi,0.496006019837199,9329
2026-05-04,1,1.0,ofi,0.4551750766446373,9329
2026-05-04,1,1.0,aggr,0.5008772825539184,9329
2026-05-04,1,1.0,depth,0.5453318902728271,9329
2026-05-04,1,1.0,qdepl,0.5361022918495086,9329
2026-05-04,1,1.0,drift,0.45639007384626606,9329
2026-05-04,1,2.0,obi,0.4832951528361639,9329
2026-05-04,1,2.0,ofi,0.4645436960243597,9329
2026-05-04,1,2.0,aggr,0.5141448078473309,9329
2026-05-04,1,2.0,depth,0.530931875566478,9329
2026-05-04,1,2.0,qdepl,0.5088154078879169,9329
2026-05-04,1,2.0,drift,0.49613757272569686,9329
2026-05-04,-1,0.5,obi,0.46576027147017934,11137
2026-05-04,-1,0.5,ofi,0.4204041542724129,11137
2026-05-04,-1,0.5,aggr,0.5414660965561826,11137
2026-05-04,-1,0.5,depth,0.5821494935930079,11137
2026-05-04,-1,0.5,qdepl,0.504152347907115,11137
2026-05-04,-1,0.5,drift,0.4400748703276073,11137
2026-05-04,-1,1.0,obi,0.4626855460346818,11137
2026-05-04,-1,1.0,ofi,0.42842657244716326,11137
2026-05-04,-1,1.0,aggr,0.5341555943770576,11137
2026-05-04,-1,1.0,depth,0.5826239195310735,11137
2026-05-04,-1,1.0,qdepl,0.5434681367338174,11137
2026-05-04,-1,1.0,drift,0.470916284402052,11137
2026-05-04,-1,2.0,obi,0.4617365933990863,11137
2026-05-04,-1,2.0,ofi,0.41436241526884743,11137
2026-05-04,-1,2.0,aggr,0.5209782716245428,11137
2026-05-04,-1,2.0,depth,0.5877424499421943,11137
2026-05-04,-1,2.0,qdepl,0.5725379475256801,11137
2026-05-04,-1,2.0,drift,0.5145517826062161,11137
2026-05-05,1,0.5,obi,0.4860445876563819,8970
2026-05-05,1,0.5,ofi,0.4193237506429979,8970
2026-05-05,1,0.5,aggr,0.4567435287723351,8970
