dt,side,delta,var,auc,n
2026-05-04,1,0.5,obi,0.5038634512892819,12249
2026-05-04,1,0.5,ofi,0.409413080468436,12249
2026-05-04,1,0.5,aggr,0.4960650711963528,12249
2026-05-04,1,0.5,depth,0.5389886098331567,12249
2026-05-04,1,0.5,qdepl,0.5705338112385478,12249
2026-05-04,1,0.5,drift,0.4174371812200745,12249
2026-05-04,1,1.0,obi,0.5098332816134924,12249
2026-05-04,1,1.0,ofi,0.4395675110538143,12249
2026-05-04,1,1.0,aggr,0.5058058818996524,12249
2026-05-04,1,1.0,depth,0.537968264150236,12249
2026-05-04,1,1.0,qdepl,0.583553965315078,12249
2026-05-04,1,1.0,drift,0.4654773602470889,12249
2026-05-04,1,2.0,obi,0.5207064444310228,12249
2026-05-04,1,2.0,ofi,0.45099295846514953,12249
2026-05-04,1,2.0,aggr,0.5007148167972159,12249
2026-05-04,1,2.0,depth,0.5418652882114168,12249
2026-05-04,1,2.0,qdepl,0.5636051158906261,12249
2026-05-04,1,2.0,drift,0.5036324822816156,12249
2026-05-04,-1,0.5,obi,0.49562899947254807,14263
2026-05-04,-1,0.5,ofi,0.387851495097339,14263
2026-05-04,-1,0.5,aggr,0.5089030013765359,14263
2026-05-04,-1,0.5,depth,0.5660763014346262,14263
2026-05-04,-1,0.5,qdepl,0.5350026249718534,14263
2026-05-04,-1,0.5,drift,0.4225345155383281,14263
2026-05-04,-1,1.0,obi,0.5066893621518073,14263
2026-05-04,-1,1.0,ofi,0.42429700980532203,14263
2026-05-04,-1,1.0,aggr,0.509460681177892,14263
2026-05-04,-1,1.0,depth,0.5779208686951909,14263
2026-05-04,-1,1.0,qdepl,0.5387677776948354,14263
2026-05-04,-1,1.0,drift,0.46844080358237233,14263
2026-05-04,-1,2.0,obi,0.5288558901204292,14263
2026-05-04,-1,2.0,ofi,0.4435072880216191,14263
2026-05-04,-1,2.0,aggr,0.5260352971932001,14263
2026-05-04,-1,2.0,depth,0.5894036844221667,14263
2026-05-04,-1,2.0,qdepl,0.5580833005403848,14263
2026-05-04,-1,2.0,drift,0.5106777833994262,14263
2026-05-05,1,0.5,obi,0.5215718004706227,9552
2026-05-05,1,0.5,ofi,0.42607469976029544,9552
2026-05-05,1,0.5,aggr,0.509748479598221,9552
2026-05-05,1,0.5,depth,0.5786502079905117,9552
2026-05-05,1,0.5,qdepl,0.6172722076378219,9552
2026-05-05,1,0.5,drift,0.42894411960195183,9552
2026-05-05,1,1.0,obi,0.5062556596144896,9552
2026-05-05,1,1.0,ofi,0.44400980551626323,9552
2026-05-05,1,1.0,aggr,0.4875251883424584,9552
2026-05-05,1,1.0,depth,0.5819126915441416,9552
2026-05-05,1,1.0,qdepl,0.6240886194437751,9552
2026-05-05,1,1.0,drift,0.47597141446891883,9552
2026-05-05,1,2.0,obi,0.5368902679573627,9552
2026-05-05,1,2.0,ofi,0.456082212724247,9552
2026-05-05,1,2.0,aggr,0.4900220735657332,9552
2026-05-05,1,2.0,depth,0.5946737814118227,9552
2026-05-05,1,2.0,qdepl,0.613925691661089,9552
2026-05-05,1,2.0,drift,0.4950980972472744,9552
2026-05-05,-1,0.5,obi,0.4889481145202811,11982
2026-05-05,-1,0.5,ofi,0.3779040127322062,11982
2026-05-05,-1,0.5,aggr,0.4904876330619912,11982
2026-05-05,-1,0.5,depth,0.5421641706672232,11982
2026-05-05,-1,0.5,qdepl,0.5694384436095457,11982
2026-05-05,-1,0.5,drift,0.41866851040144715,11982
2026-05-05,-1,1.0,obi,0.5128473961594656,11982
2026-05-05,-1,1.0,ofi,0.38876782856745284,11982
2026-05-05,-1,1.0,aggr,0.5012897011758157,11982
