dt,side,n,sum_A,nq_0.1,A_0.1,spr_0.1,B_0.1,nB_0.1,nq_0.5,A_0.5,spr_0.5,B_0.5,nB_0.5,nq_1,A_1,spr_1,B_1,nB_1,nq_2,A_2,spr_2,B_2,nB_2,nq_5,A_5,spr_5,B_5,nB_5,nq_10,A_10,spr_10,B_10,nB_10,nq_30,A_30,spr_30,B_30,nB_30,nq_60,A_60,spr_60,B_60,nB_60,sum_B_1,n_B_1,sum_rest_1,sum_tot_1,sum_B_10,n_B_10,sum_rest_10,sum_tot_10
2026-05-04,1,10356,-17040.27941660101,329,-4.06878019471379,481.9238258833917,-1208.4302913398164,329,1274,-319.4406028467557,1930.683441670431,-3701.45747958392,1274,2134,-1087.9172144557217,3284.720803191635,-6110.730430796227,2134,3541,-2607.479298101028,5409.410437639515,-9283.560587898497,3541,6655,-7860.2563902248,10301.793739502491,-15443.260199257122,6655,10356,-17040.27941660101,16140.495215793544,-23123.816786769457,10356,10356,-17040.27941660101,16140.495215793544,-23123.816786769457,10356,10356,-17040.27941660101,16140.495215793544,-23123.816786769457,10356,-13913.319210744137,10356,-20182.04306093206,-37222.322477533,-23123.816786769457,10356,-20182.04306093206,-37222.322477533
2026-05-04,-1,8518,14357.720425938063,230,5.591461981808445,348.5491786059964,487.55676320552453,230,999,264.72054352143766,1564.6731745606703,2138.3885375050213,999,1710,863.4419410302851,2686.1956308049394,3815.937831960434,1710,2945,2216.2066171152483,4625.456419978962,6106.579770647312,2945,5468,6818.192189878193,8578.543842732066,11621.061732492695,5468,8518,14357.720425938063,13260.850894181076,17163.05522434634,8518,8518,14357.720425938063,13260.850894181076,17163.05522434634,8518,8518,14357.720425938063,13260.850894181076,17163.05522434634,8518,12100.019962825769,8518,15697.669444210154,30055.38987014816,17163.05522434634,8518,15697.669444210154,30055.38987014816
2026-05-05,1,10561,-25636.164310991488,299,-9.669258548705013,537.9428763573549,-815.8551452956569,299,1298,-279.2343905915697,2188.7834497259973,-3302.9013792429405,1298,2171,-1073.623246950442,3760.537412248721,-4738.453784128362,2171,3570,-3118.3200358013396,6291.298348998256,-7153.834907770756,3570,6728,-11472.54527651427,12349.728934389026,-12552.747677649913,6728,10561,-25636.164310991488,19556.048197145163,-18621.55462799349,10561,10561,-25636.164310991488,19556.048197145163,-18621.55462799349,10561,10561,-25636.164310991488,19556.048197145163,-18621.55462799349,10561,-15172.82501504714,10561,-18929.701417173772,-44565.86572816527,-18621.55462799349,10561,-18929.701417173772,-44565.86572816527
2026-05-05,-1,11034,29633.34336995724,314,6.417386187183177,516.1452921045831,1141.586987474204,314,1340,296.19167325606156,2242.48689139791,5524.917619803971,1340,2199,1000.9221333578166,3736.153428984707,8169.054452791077,2199,3666,3342.9424323488997,6439.014198906366,12203.140342636541,3666,6928,12731.924400407821,12614.348788303942,20376.795533380195,6928,11034,29633.34336995724,20321.13464012843,30694.72143643569,11031,11034,29633.34336995724,20321.13464012843,30694.72143643569,11031,11034,29633.34336995724,20321.13464012843,30694.72143643569,11031,18319.856766272133,11034,26880.005028588857,56513.34839854612,30694.72143643569,11031,26880.005028588857,56513.34839854612
2026-05-06,1,11170,-30266.851541927444,313,-0.8699252440955401,653.2503763447307,-852.7689865793462,313,1282,-226.56538941476097,2530.066265738976,-3669.819558758669,1282,2227,-1082.688077753328,4626.450665856104,-5755.803875423498,2227,3691,-3250.195350619491,7745.323593607496,-8813.897403583363,3691,7021,-12603.870539036478,14866.116971254673,-15007.606344358464,7021,11170,-30266.851541927444,23829.905092443703,-23603.659659331817,11170,11170,-30266.851541927444,23829.905092443703,-23603.659659331817,11170,11170,-30266.851541927444,23829.905092443703,-23603.659659331817,11170,-17512.09212522015,11170,-20759.251791002425,-51026.103332929946,-23603.659659331817,11170,-20759.251791002425,-51026.103332929946
2026-05-06,-1,11208,28576.99700505301,378,8.06733980628224,677.6528247829995,545.2675801445112,378,1270,233.75995462098098,2381.9028048342843,2710.705758631677,1270,2113,929.0841654090175,4048.04393161149,4323.024469180132,2113,3574,2955.4718998854614,6946.108292632811,6798.326998409126,3574,6895,11422.09111381432,13868.283449120087,12286.04053754294,6895,11208,28576.99700505301,23255.49899365841,19904.399505539997,11208,11208,28576.99700505301,23255.49899365841,19904.399505539997,11208,11208,28576.99700505301,23255.49899365841,19904.399505539997,11208,15880.496189122565,11208,17781.199927741836,46358.19693279476,19904.399505539997,11208,17781.199927741836,46358.19693279476
2026-05-07,1,8063,-19365.683475802965,313,0.013962802846955613,553.9090076420979,-669.0013785841027,313,970,-180.99560482431684,1781.3648354556562,-2346.317103133317,970,1548,-839.3813577390416,2932.7496291664947,-3800.463283802571,1548,2574,-2306.37391674568,4925.867497403675,-5794.056346471945,2574,4974,-7972.20123233077,9564.477724503242,-9475.941476676478,4974,8063,-19365.683475802965,15537.623838295547,-14543.472080377258,8063,8063,-19365.683475802965,15537.623838295547,-14543.472080377258,8063,8063,-19365.683475802965,15537.623838295547,-14543.472080377258,8063,-10527.789267454771,8063,-12788.75919895107,-32154.44267475402,-14543.472080377258,8063,-12788.75919895107,-32154.44267475402
2026-05-07,-1,7148,16935.364595618,190,2.8094909850380727,351.5088490465394,667.4452514780512,190,897,175.8873282775349,1696.3988919421886,2621.799565037051,897,1448,610.1146357457643,2734.93983359739,3791.7946789222724,1448,2365,1940.4183792684216,4520.644506925635,6018.291720567345,2365,4448,6744.884295480137,8492.786144865688,10583.7130183202,4448,7148,16935.364595618,13695.458553308486,15710.852187017204,7148,7148,16935.364595618,13695.458553308486,15710.852187017204,7148,7148,16935.364595618,13695.458553308486,15710.852187017204,7148,10714.107866504384,7148,14456.472180169549,31391.83677578745,15710.852187017204,7148,14456.472180169549,31391.83677578745
2026-05-08,1,9387,-24264.073883745645,387,-17.93739100406168,894.6394085862119,-202.19772643109863,387,1171,-236.83680542154656,2461.5688015734877,-1087.0921927983052,1170,1909,-1056.6696233133512,4057.1805852153557,-1525.0562850863485,1908,3143,-3041.2365572037115,6638.516802121727,-2952.487426270607,3142,5904,-10821.019251967457,12322.815537968618,-5841.724604953865,5903,9387,-24264.073883745645,19274.095707985325,-9484.278906835118,9386,9387,-24264.073883745645,19274.095707985325,-9484.278906835118,9386,9387,-24264.073883745645,19274.095707985325,-9484.278906835118,9386,-11696.120283997057,9387,-9757.053728492394,-34021.12761223802,-9484.278906835118,9386,-9757.053728492394,-34021.12761223802
2026-05-08,-1,9647,25521.572590592616,287,16.252452950380075,534.626716743485,808.8340528316887,287,1233,267.1598456788832,2402.61633935016,4929.176875758056,1233,2008,1061.962736387768,3957.756286466264,8027.18059952821,2008,3269,3076.222769638527,6415.920930307629,11540.105896755857,3268,6130,11064.593206396685,12108.303179796567,18435.056349844504,6128,9647,25521.572590592616,18976.05362804253,26137.153957557544,9642,9647,25521.572590592616,18976.05362804253,26137.153957557544,9642,9647,25521.572590592616,18976.05362804253,26137.153957557544,9642,14233.298300830518,9647,22758.806006286388,48280.378596878734,26137.153957557544,9642,22758.806006286388,48280.378596878734
2026-05-09,1,2500,-449.8518327538403,93,-0.3956243942525484,210.13493039144785,-69.64712308725416,93,212,-4.345195100191241,446.3202557935315,-217.66242048361966,212,309,-22.951466855904478,668.6661766793029,-336.4010431428154,309,621,-60.12718665234187,1398.293713167092,-637.1795449201915,621,1395,-179.631449385599,3157.018497875303,-1418.4082258360077,1395,2500,-449.8518327538403,5608.625588849685,-2556.3696726089397,2500,2500,-449.8518327538403,5608.625588849685,-2556.3696726089397,2500,2500,-449.8518327538403,5608.625588849685,-2556.3696726089397,2500,-3102.6650705839747,2500,-2518.0307611742514,-2967.882593928044,-2556.3696726089397,2500,-2518.0307611742514,-2967.882593928044
2026-05-09,-1,3081,373.99692956817125,49,0.0,126.66553590747178,47.09790263349531,49,253,2.3793416212414833,603.6474452732948,257.21809752982506,253,442,28.115370138436123,1033.9055508634392,457.471442438562,442,788,51.473724067003985,1794.2564010678354,830.2925426083921,788,1719,163.05646883263532,3813.989175784296,1860.0116827924219,1719,3081,373.99692956817125,6767.078623575884,3364.2531305055663,3081,3081,373.99692956817125,6767.078623575884,3364.2531305055663,3081,3081,373.99692956817125,6767.078623575884,3364.2531305055663,3081,4014.4803242191592,3081,3500.5938666324737,3874.5907962006177,3364.2531305055663,3081,3500.5938666324737,3874.5907962006177
