dt,side,n,sum_A,nq_0.1,A_0.1,spr_0.1,B_0.1,nB_0.1,nq_0.5,A_0.5,spr_0.5,B_0.5,nB_0.5,nq_1,A_1,spr_1,B_1,nB_1,nq_2,A_2,spr_2,B_2,nB_2,nq_5,A_5,spr_5,B_5,nB_5,nq_10,A_10,spr_10,B_10,nB_10,nq_30,A_30,spr_30,B_30,nB_30,nq_60,A_60,spr_60,B_60,nB_60,sum_B_1,n_B_1,sum_rest_1,sum_tot_1,sum_B_10,n_B_10,sum_rest_10,sum_tot_10
2026-05-04,1,4522,-822.5009906561854,91,0.0,1175.3725409542042,-571.4863026015419,91,326,1.9382041728918566,3667.3747973022246,-1941.4993723333891,326,596,13.666988562077343,6415.055211837658,-4037.387916199021,596,1143,11.772876983252736,12674.305580687189,-7514.475499955023,1143,2566,-82.05206421118976,29757.548591745428,-16307.4913254105,2566,4522,-822.5009906561854,53826.18780605453,-27144.540303067657,4522,4522,-822.5009906561854,53826.18780605453,-27144.540303067657,4522,4522,-822.5009906561854,53826.18780605453,-27144.540303067657,4522,-19595.51114114183,4522,-23310.937755018655,-24133.438745674837,-27144.540303067657,4522,-23310.937755018655,-24133.438745674837
2026-05-04,-1,4512,1776.2669991835005,177,0.05019966918461834,2213.755791191097,508.6718389142735,177,348,-2.0266529558568327,3745.1526003675203,2507.5303991063115,348,572,-14.478559960167974,5721.821085122185,4772.4897237328005,572,1105,-21.34670567220499,11072.288791543828,9225.995250113992,1105,2512,249.41011892834834,25459.830475015893,19103.966980871613,2512,4512,1776.2669991835005,46387.26295596878,31903.524012497342,4512,4512,1776.2669991835005,46387.26295596878,31903.524012497342,4512,4512,1776.2669991835005,46387.26295596878,31903.524012497342,4512,30715.496413585177,4512,30088.59302721754,31864.860026401075,31903.524012497342,4512,30088.59302721754,31864.860026401075
2026-05-05,1,4825,-4306.220540994632,90,4.465060972650974,1000.7536299836321,-339.9988142699489,89,323,23.172703708854797,3567.6994044622625,-2766.846899563032,322,620,-10.749393851297087,6721.0049027145,-5972.508789247351,619,1194,-142.55954962618682,12841.92065337526,-10834.856906006135,1192,2692,-1238.84661125714,28602.166554888663,-22531.307994082177,2687,4825,-4306.220540994632,51377.872128626215,-39817.594337657836,4819,4825,-4306.220540994632,51377.872128626215,-39817.594337657836,4819,4825,-4306.220540994632,51377.872128626215,-39817.594337657836,4819,-37722.92073228956,4825,-37793.14186264227,-42099.3624036369,-39817.594337657836,4819,-37793.14186264227,-42099.3624036369
2026-05-05,-1,6165,3016.8195045132343,228,0.0,3157.151508111033,1441.8187915241901,228,550,-8.445217189644506,6898.868874105452,6753.458992065889,550,902,-2.185271029325474,10460.265678326985,12136.500689577158,902,1696,-162.8765416463693,19644.497445149533,20846.799484733903,1696,3654,924.3376829320241,41993.71444652849,38322.30779088037,3654,6165,3016.8195045132343,71777.1859159315,57105.77665621774,6165,6165,3016.8195045132343,71777.1859159315,57105.77665621774,6165,6165,3016.8195045132343,71777.1859159315,57105.77665621774,6165,53486.855543551,6165,55301.35021609869,58318.169720611884,57105.77665621774,6165,55301.35021609869,58318.169720611884
2026-05-06,1,12062,-8945.237377021434,799,0.0,11746.142309016719,-2805.3361148399476,799,1271,23.663250166974404,17873.05806079429,-7268.581849224758,1271,1751,72.78232901712826,23576.39449558404,-12365.774045993454,1750,3338,-216.3847407060536,44819.826068921306,-22547.102975529437,3336,7253,-3193.4879235257586,97884.23760949456,-45075.82861098857,7248,12062,-8945.237377021434,162162.38788498417,-72384.48723999696,12057,12062,-8945.237377021434,162162.38788498417,-72384.48723999696,12057,12062,-8945.237377021434,162162.38788498417,-72384.48723999696,12057,-60419.886249913536,12057,-67458.09902181296,-76403.3363988343,-72384.48723999696,12057,-67458.09902181296,-76403.3363988343
2026-05-06,-1,11638,8326.90292702338,793,0.0,11929.098493963122,2123.4349644266067,793,1242,-16.318868752743303,17805.940017779627,7700.751896015499,1242,1762,-21.70555113392458,24094.905222568752,14218.49859121209,1762,3346,357.0973352858046,44883.061395296274,25863.981499837366,3345,7126,2460.606976300961,95702.7404451055,48865.390871105265,7122,11638,8326.90292702338,157471.13599536827,72855.34374462743,11634,11638,8326.90292702338,157471.13599536827,72855.34374462743,11634,11638,8326.90292702338,157471.13599536827,72855.34374462743,11634,72650.58209369956,11638,72088.6831747686,80415.58610179203,72855.34374462743,11634,72088.6831747686,80415.58610179203
2026-05-07,1,10190,-11924.867096747716,648,-6.102471987537048,11695.228255500711,-3486.073171319983,648,1129,74.38222932623165,17991.436493051504,-10645.424360203346,1129,1627,136.25443424718222,24139.904710452298,-17183.670045251012,1627,3013,-394.73060157649775,44564.80397027139,-30612.85162672974,3013,6200,-4298.855023924021,93681.28378641728,-55205.50744840276,6200,10190,-11924.867096747716,157399.3683224034,-80892.21573703452,10190,10190,-11924.867096747716,157399.3683224034,-80892.21573703452,10190,10190,-11924.867096747716,157399.3683224034,-80892.21573703452,10190,-74870.91297841289,10190,-76059.58478442629,-87984.45188117401,-80892.21573703452,10190,-76059.58478442629,-87984.45188117401
2026-05-07,-1,6946,8782.494139831015,418,-25.815744514304882,7085.119760789261,1940.5623979609652,418,726,-159.69243817370182,11269.570590743868,5715.5534294761155,725,1080,-62.16573438413964,15875.916309032404,9929.738520108014,1079,1960,-173.42686820394783,28667.36454775627,17559.710688811436,1959,4095,2485.7275336424673,60254.26101961722,35227.602095429305,4094,6946,8782.494139831015,104801.19374684236,57439.753273743896,6945,6946,8782.494139831015,104801.19374684236,57439.753273743896,6945,6946,8782.494139831015,104801.19374684236,57439.753273743896,6945,49462.691494966915,6946,54281.74148409217,63064.23562392308,57439.753273743896,6945,54281.74148409217,63064.23562392308
2026-05-08,1,4191,-1925.255975021217,87,0.0,760.9535368496217,-663.4213595678857,87,349,-6.964846976419629,3275.814066260684,-2746.3416306663917,349,625,81.76651282737215,5959.639239705037,-5483.0006839416665,625,1180,226.09663866363263,10918.916710937541,-10296.577932062573,1180,2535,-273.4581979093838,22924.856260504966,-20747.891677428426,2535,4191,-1925.255975021217,38068.8182864939,-32689.60859513114,4191,4191,-1925.255975021217,38068.8182864939,-32689.60859513114,4191,4191,-1925.255975021217,38068.8182864939,-32689.60859513114,4191,-34616.264005576035,4191,-32924.86555387023,-34850.1215288915,-32689.60859513114,4191,-32924.86555387023,-34850.1215288915
2026-05-08,-1,7156,3617.922020269472,453,0.8322583334659142,6033.0042600555025,1937.467421384059,452,739,-15.859450770268275,9158.835270555228,4832.07953652877,738,1081,-30.55933552237341,12921.559654889217,8472.987541878138,1080,2072,-11.990299853391633,24407.608419602017,15487.954660703363,2070,4394,963.4612244323029,51809.74377532882,30664.70135625431,4389,7156,3617.922020269472,85262.49180650126,47021.12569792861,7146,7156,3617.922020269472,85262.49180650126,47021.12569792861,7146,7156,3617.922020269472,85262.49180650126,47021.12569792861,7146,46734.13937295547,7156,44359.91803558423,47977.84005585365,47021.12569792861,7146,44359.91803558423,47977.84005585365
