dt,side,n,sum_A,nq_0.1,A_0.1,spr_0.1,B_0.1,nB_0.1,nq_0.5,A_0.5,spr_0.5,B_0.5,nB_0.5,nq_1,A_1,spr_1,B_1,nB_1,nq_2,A_2,spr_2,B_2,nB_2,nq_5,A_5,spr_5,B_5,nB_5,nq_10,A_10,spr_10,B_10,nB_10,nq_30,A_30,spr_30,B_30,nB_30,nq_60,A_60,spr_60,B_60,nB_60,sum_B_1,n_B_1,sum_rest_1,sum_tot_1,sum_B_10,n_B_10,sum_rest_10,sum_tot_10
2026-05-04,1,1200,-997.1161202064366,16,0.0,192.6099464164414,-153.0235799530891,16,92,10.500215358484601,1433.5045571348642,-775.8169357363658,92,156,6.954471879794181,2582.120908939159,-1834.1760882379663,156,298,38.226468649613395,4897.943278948864,-3546.887979854181,298,672,-158.12198862636325,10810.075492411586,-7404.4333720890145,672,1200,-997.1161202064366,20035.783272382705,-12335.030247861243,1200,1200,-997.1161202064366,20035.783272382705,-12335.030247861243,1200,1200,-997.1161202064366,20035.783272382705,-12335.030247861243,1200,-15031.953704261392,1200,-14366.403772675298,-15363.519892881719,-12335.030247861243,1200,-14366.403772675298,-15363.519892881719
2026-05-04,-1,2094,989.7577049693675,100,0.0,2810.2989725216735,829.1953118172188,100,170,-0.9655751762479032,3649.3313305374445,2036.9601655815827,170,259,-84.52759073801025,4926.767732373092,3704.553793361372,259,510,-172.10674855963555,9788.979520028057,7129.418122585693,510,1177,-35.044540505815746,23353.00689529957,14881.260971445481,1177,2094,989.7577049693675,43186.21858574185,23884.210261418582,2094,2094,989.7577049693675,43186.21858574185,23884.210261418582,2094,2094,989.7577049693675,43186.21858574185,23884.210261418582,2094,21057.31261588962,2094,23065.11625762748,24054.87396259684,23884.210261418582,2094,23065.11625762748,24054.87396259684
2026-05-05,1,7266,-15901.375425213962,972,0.0,25721.286307482154,-3538.9278798307764,972,1098,1.1746685180367524,27707.616031769918,-8572.093117484239,1098,1255,-111.81056357070185,30427.355067158795,-13966.761914989636,1255,2078,-910.3967874066267,48868.54062590115,-24430.098560191644,2078,4165,-4479.065385040847,96314.25376500183,-47781.98717659974,4165,7266,-15901.375425213962,166488.59490143487,-76235.70778784956,7266,7266,-15901.375425213962,166488.59490143487,-76235.70778784956,7266,7266,-15901.375425213962,166488.59490143487,-76235.70778784956,7266,-56006.23638766613,7266,-68757.22359984956,-84658.59902506354,-76235.70778784956,7266,-68757.22359984956,-84658.59902506354
2026-05-05,-1,4256,7055.32043303548,345,0.0,9846.971483187375,3219.788364630359,345,516,32.21092593917827,13573.618397228114,7798.656625798192,516,695,-21.99351385558952,17306.015286075595,13016.036636059936,694,1204,137.87839530520085,28738.713295957652,24306.829266867273,1202,2494,1531.9127906673868,58224.369304591324,49881.76988157249,2491,4256,7055.32043303548,99265.18012111408,78104.89579845325,4253,4256,7055.32043303548,99265.18012111408,78104.89579845325,4253,4256,7055.32043303548,99265.18012111408,78104.89579845325,4253,65964.00465859384,4256,70499.33663390245,77554.65706693791,78104.89579845325,4253,70499.33663390245,77554.65706693791
2026-05-07,1,4766,-9537.837516189637,298,0.0,5760.502167920118,-2010.4090764449923,298,511,-160.69255519140688,9001.08007362967,-5829.761483081378,511,698,-92.03170370514599,11435.73847909068,-9233.391416789902,698,1323,-124.76861975120113,21571.464618868376,-17007.381125110922,1323,2821,-2438.616273406001,46867.93127721577,-34593.44905360186,2821,4766,-9537.837516189637,83126.60772492934,-55347.719193990546,4766,4766,-9537.837516189637,83126.60772492934,-55347.719193990546,4766,4766,-9537.837516189637,83126.60772492934,-55347.719193990546,4766,-45724.42788889977,4766,-49470.702420000394,-59008.53993619001,-55347.719193990546,4766,-49470.702420000394,-59008.53993619001
2026-05-07,-1,3080,4857.283708880177,105,0.0,1955.2624625584308,183.66112007800763,105,254,-30.094922840018,4332.826676966513,2260.360820107424,254,429,8.319250798925907,6619.639213482667,5933.962167098067,429,812,88.161788296209,12732.369009566366,11108.96537838334,812,1776,1528.0157826881914,28784.012374895683,23246.26069116507,1776,3080,4857.283708880177,52327.55131639555,37208.34934028096,3080,3080,4857.283708880177,52327.55131639555,37208.34934028096,3080,3080,4857.283708880177,52327.55131639555,37208.34934028096,3080,40223.27703377164,3080,38261.44450129005,43118.72821017029,37208.34934028096,3080,38261.44450129005,43118.72821017029
2026-05-08,1,2104,-2382.758337632774,22,0.0,284.7023787927203,-209.89979088182366,22,169,-2.9015438703230565,2016.7233785605583,-2460.973408741721,169,303,52.9118592779054,3748.158204839893,-4373.244549062311,303,562,46.28052640080533,7103.121331959088,-7782.516659557802,562,1194,-334.8450070489967,15773.276781852826,-15987.466205769972,1194,2104,-2382.758337632774,29090.848241274893,-27184.33999314891,2104,2104,-2382.758337632774,29090.848241274893,-27184.33999314891,2104,2104,-2382.758337632774,29090.848241274893,-27184.33999314891,2104,-22425.35287727762,2104,-26627.779043380564,-29010.537381013295,-27184.33999314891,2104,-26627.779043380564,-29010.537381013295
2026-05-08,-1,4269,6011.0041645091205,277,-10.33362949941698,4592.144632532254,1191.1446216756185,277,433,60.78889524307074,6655.2277292747385,3510.701334168569,433,610,75.31835127698835,8948.089835216324,5553.132087420449,610,1131,97.90043437914966,16413.646488313643,10686.531364172464,1131,2446,2016.2350265540847,36077.50666341954,21010.087213736166,2446,4269,6011.0041645091205,64611.2661772144,35068.89865720952,4269,4269,6011.0041645091205,64611.2661772144,35068.89865720952,4269,4269,6011.0041645091205,64611.2661772144,35068.89865720952,4269,30818.85022921636,4269,31707.324387420085,37718.32855192919,35068.89865720952,4269,31707.324387420085,37718.32855192919
2026-05-09,1,412,-4.152249002176491,1,0.0,2.183670993570385,-5.582050213506452,1,20,0.0,258.79556198168666,-274.1745769588204,20,40,0.0,433.19924552074707,-344.89333067001473,40,84,3.2178502142704417,969.7613662921335,-622.6373900184847,84,214,28.913353442624164,2499.1624185928717,-1455.6266521006605,214,412,-4.152249002176491,4785.073486413144,-2822.1345908952308,412,412,-4.152249002176491,4785.073486413144,-2822.1345908952308,412,412,-4.152249002176491,4785.073486413144,-2822.1345908952308,412,-2458.861805420006,412,-2680.921860420804,-2685.0741094229716,-2822.1345908952308,412,-2680.921860420804,-2685.0741094229716
2026-05-09,-1,462,95.81479743550771,7,0.0,163.7988294301282,42.50670023514593,7,32,7.760281298615211,519.4427846641088,216.2489200321985,32,54,9.935429035973403,756.9790618792669,523.7012171916168,54,105,9.210392086646081,1485.5494742312856,1035.7549885833027,105,242,25.841177967130605,3635.709177212165,2418.2671523320732,242,462,95.81479743550771,7121.114147543407,4170.86707251044,462,462,95.81479743550771,7121.114147543407,4170.86707251044,462,462,95.81479743550771,7121.114147543407,4170.86707251044,462,3139.859446321896,462,3661.0613286315215,3756.876126067028,4170.86707251044,462,3661.0613286315215,3756.876126067028
