coin,fair,phi,se,n_days,half_life_min,phi_rw,half_life_rw,z_vs_rw,r2,sd_bp
xyz:MU,micro,0.05019967841101896,0.006639629993317835,98,0.23168645600384777,NaN,NaN,NaN,0.006849101852369512,0.6401498784520013
xyz:MU,ewma,0.9000419811357712,0.002435698623366774,98,6.5817273044815,NaN,NaN,NaN,0.8116597530169253,27.53165002561896
xyz:MU,sma20,0.9194691957174618,0.0017653517222609126,98,8.255807655630964,0.9232120234264726,8.675579005288112,-2.1201597742897955,0.8464547734705361,31.544490145327835
xyz:MU,model,0.10529799239697221,0.006398386912064463,98,0.3079339017763768,NaN,NaN,NaN,0.015054108875710273,0.5237893399088711
xyz:SNDK,micro,0.08249801513887642,0.008568173516721808,99,0.2778166118695337,NaN,NaN,NaN,0.013914787941020756,0.6715507989367163
xyz:SNDK,ewma,0.8986784705341593,0.0029512395035619157,99,6.4883219569652635,NaN,NaN,NaN,0.8086748582658126,31.16040983413845
xyz:SNDK,sma20,0.9178196360916221,0.002320990233943047,99,8.08293594173271,0.9213986498151764,8.467213310381721,-1.5420201564028273,0.8432726816426865,35.66819807274893
xyz:SNDK,model,0.11633962879506672,0.008373855314574918,99,0.32220797642135024,NaN,NaN,NaN,0.02040807893364938,0.44528039008561093
xyz:INTC,micro,0.09200416655056164,0.007546330433601007,99,0.2905155116956222,NaN,NaN,NaN,0.014068836101546037,1.0057198897287694
xyz:INTC,ewma,0.8991177628639307,0.002979005388243615,99,6.518139630047757,NaN,NaN,NaN,0.8102096624150031,25.59021679475198
xyz:INTC,sma20,0.9182204446527216,0.002315286443613151,99,8.12429916913946,0.921551368529546,8.48439019396058,-1.4386659957401704,0.8441071308810411,29.562570135027777
xyz:INTC,model,0.1342106248730422,0.009943996401271173,99,0.3451335403163205,NaN,NaN,NaN,0.027741829727640242,0.5137691483370141
xyz:AMD,micro,0.16539486517687801,0.01173358290409382,99,0.3852059869729942,NaN,NaN,NaN,0.04087856988383939,1.279231494182307
xyz:AMD,ewma,0.9041775612890814,0.0026028284064104315,99,6.881271517693352,NaN,NaN,NaN,0.8194785898523073,21.356093676601265
xyz:AMD,sma20,0.9215277208535477,0.0020215314919307613,99,8.48172607321237,0.9223715545531124,8.577795269093844,-0.41742298001932204,0.8503949057382396,24.634131643293212
xyz:AMD,model,0.1422025881195762,0.012282771246081615,99,0.35536850570795714,NaN,NaN,NaN,0.03494848919614539,0.58246351736696
xyz:SMSN,micro,0.15430493179391921,0.015421858629808148,98,0.37090008138249575,NaN,NaN,NaN,0.04747470463762381,3.8168366653477728
xyz:SMSN,ewma,0.8772690657455262,0.006467679371947009,98,5.2935625092638166,NaN,NaN,NaN,0.7751619173495101,30.060116498286725
xyz:SMSN,sma20,0.9006881035715139,0.005559107944217859,98,6.626883775339109,0.9226329689787296,8.607981832254806,-3.9475515905462926,0.8128987837433266,33.1851781488297
xyz:SMSN,model,0.052029405809935085,0.012995017606684018,98,0.23449248668945533,NaN,NaN,NaN,0.01893588070257793,2.1790595020053067
xyz:DRAM,micro,0.13302094264433043,0.01760982794234928,99,0.343610175916816,NaN,NaN,NaN,0.04820354323179524,3.2644682044160453
xyz:DRAM,ewma,0.9003591130253676,0.0027097312030070265,99,6.60381803963908,NaN,NaN,NaN,0.8118875978235477,27.99313694557546
xyz:DRAM,sma20,0.9174922414753861,0.002158525169091041,99,8.049447003393256,0.9200593538426113,8.319387185295176,-1.189289985581309,0.8440356344739849,31.96556035680224
xyz:DRAM,model,0.11107868837284113,0.0130697087182489,99,0.3154229806029771,NaN,NaN,NaN,0.029042584773045815,0.49998719156611365
xyz:KIOXIA,micro,0.27260365579690243,0.02103209405894,47,0.5332982963146281,NaN,NaN,NaN,0.09476351651323406,7.332810016494464
xyz:KIOXIA,ewma,0.9079762649204643,0.00464661048838395,47,7.180116312788331,NaN,NaN,NaN,0.8248114133179085,41.59406574436876
xyz:KIOXIA,sma20,0.9225463440979093,0.003659328702165988,47,8.597956352002155,0.9224491679735465,8.586736369989625,0.026555724361480584,0.8550025004916839,47.015530446572974
xyz:KIOXIA,model,0.24604487961462704,0.01696490786338136,47,0.49431376010002326,NaN,NaN,NaN,0.07406496182273897,2.254852128329262
xyz:SKHX,micro,0.12809331133125307,0.01313161284980813,99,0.3372985077026065,NaN,NaN,NaN,0.03340913781357628,2.7043926388702646
xyz:SKHX,ewma,0.8817194133456314,0.005296760266089608,99,5.506351103582559,NaN,NaN,NaN,0.7798415713178058,32.75671477909103
xyz:SKHX,sma20,0.9019502272172952,0.004822442955301549,99,6.716806634479408,0.9216686469543877,8.497626407006926,-4.088886052123229,0.8186434335889015,37.83859735804168
xyz:SKHX,model,0.09960145850737961,0.012184474917802347,99,0.300508822621755,NaN,NaN,NaN,0.024522648700523845,1.3243278925167377
