d,w,n,p50
2026-05-04,夜 12 時から 1 時間,5597,1.7379045210000001
2026-05-04,昼 12 時から 1 時間,1165,37.616881775
2026-05-04,閉場前 1 時間,2780,19.012517707500002
2026-05-04,開場前 1 時間,839,24.055093056
2026-05-04,開場後 1 時間,963,26.835672922
2026-05-05,夜 12 時から 1 時間,1629,19.548856144000002
2026-05-05,昼 12 時から 1 時間,3061,32.811304876
2026-05-05,閉場前 1 時間,1771,32.833875496000005
2026-05-05,開場前 1 時間,1792,20.765119852
2026-05-05,開場後 1 時間,4872,15.137953645000001
2026-05-06,夜 12 時から 1 時間,3013,16.951624146
2026-05-06,昼 12 時から 1 時間,1286,14.9764042515
2026-05-06,閉場前 1 時間,2947,8.843306347
2026-05-06,開場前 1 時間,5057,11.688905786000001
2026-05-06,開場後 1 時間,5383,13.415140951000001
2026-05-07,夜 12 時から 1 時間,2875,5.081423318000001
2026-05-07,昼 12 時から 1 時間,1198,20.771256010000002
2026-05-07,閉場前 1 時間,1882,19.068985636500003
2026-05-07,開場前 1 時間,4577,1.1453173760000002
2026-05-07,開場後 1 時間,8326,4.7522766045000004
2026-05-08,夜 12 時から 1 時間,2367,12.909838272
2026-05-08,昼 12 時から 1 時間,1718,34.7934991615
2026-05-08,閉場前 1 時間,1917,17.868453171000002
2026-05-08,開場前 1 時間,3957,9.645102827
2026-05-08,開場後 1 時間,9254,8.268399785
2026-05-11,夜 12 時から 1 時間,7798,5.007968628
2026-05-11,昼 12 時から 1 時間,5138,5.1041505735
2026-05-11,閉場前 1 時間,2060,5.0117803845
2026-05-11,開場前 1 時間,2368,14.450450924000002
2026-05-11,開場後 1 時間,3253,13.264928037
2026-05-12,夜 12 時から 1 時間,14355,2.735399414
2026-05-12,昼 12 時から 1 時間,7906,3.986638982
2026-05-12,閉場前 1 時間,9149,3.689648323
2026-05-12,開場前 1 時間,7817,3.9160865730000003
2026-05-12,開場後 1 時間,13526,5.026700503500001
2026-05-13,夜 12 時から 1 時間,17105,4.4303714880000005
2026-05-13,昼 12 時から 1 時間,6736,4.791233372000001
2026-05-13,閉場前 1 時間,9270,5.6197924695
2026-05-13,開場前 1 時間,11341,5.86156871
2026-05-13,開場後 1 時間,10116,4.850731407
2026-05-14,夜 12 時から 1 時間,12775,10.146033613
2026-05-14,昼 12 時から 1 時間,6603,10.281800418000001
2026-05-14,閉場前 1 時間,4462,9.222594969000001
2026-05-14,開場前 1 時間,2373,15.745316405
2026-05-14,開場後 1 時間,4409,7.280554425
2026-05-15,夜 12 時から 1 時間,20432,3.176599888
2026-05-15,昼 12 時から 1 時間,3735,15.722369372000001
2026-05-15,閉場前 1 時間,3914,11.131267467
2026-05-15,開場前 1 時間,8815,2.373326526
2026-05-15,開場後 1 時間,11016,4.3631833715
2026-05-18,夜 12 時から 1 時間,20946,2.0155110055
2026-05-18,昼 12 時から 1 時間,2463,5.478619341
2026-05-18,閉場前 1 時間,7388,3.9519539970000004
2026-05-18,開場前 1 時間,3279,5.0482268690000005
2026-05-18,開場後 1 時間,4091,5.126822555
2026-05-19,夜 12 時から 1 時間,18094,3.085104976
2026-05-19,昼 12 時から 1 時間,11508,4.6354189275
2026-05-19,閉場前 1 時間,4877,5.027600378000001
2026-05-19,開場前 1 時間,2640,11.001170265
2026-05-19,開場後 1 時間,14064,4.006196583
2026-05-20,夜 12 時から 1 時間,16657,4.046707383
