d,w,n,p50
2026-05-04,夜 12 時から 1 時間,2715,3.74283189
2026-05-04,昼 12 時から 1 時間,2207,2.192975385
2026-05-04,閉場前 1 時間,2783,1.4061220710000002
2026-05-04,開場前 1 時間,234,363.16708866500005
2026-05-04,開場後 1 時間,551,70.64421795300001
2026-05-05,夜 12 時から 1 時間,1465,24.217971208
2026-05-05,昼 12 時から 1 時間,5270,11.796303003
2026-05-05,閉場前 1 時間,1575,26.704754024000003
2026-05-05,開場前 1 時間,1968,10.146832315500001
2026-05-05,開場後 1 時間,3115,4.60981837
2026-05-06,夜 12 時から 1 時間,6358,1.2295141680000001
2026-05-06,昼 12 時から 1 時間,1097,46.801670593000004
2026-05-06,閉場前 1 時間,689,62.391796385000006
2026-05-06,開場前 1 時間,1016,42.4951122425
2026-05-06,開場後 1 時間,1010,45.704186765
2026-05-07,夜 12 時から 1 時間,4252,4.9885795645
2026-05-07,昼 12 時から 1 時間,288,205.825090273
2026-05-07,閉場前 1 時間,389,94.50467491200001
2026-05-07,開場前 1 時間,2826,5.634785710000001
2026-05-07,開場後 1 時間,4853,6.774488300000001
2026-05-08,夜 12 時から 1 時間,1601,12.518858723000001
2026-05-08,昼 12 時から 1 時間,2563,4.804139403000001
2026-05-08,閉場前 1 時間,3507,1.791939205
2026-05-08,開場前 1 時間,3411,1.8216010370000002
2026-05-08,開場後 1 時間,5307,7.181939574
2026-05-11,夜 12 時から 1 時間,3758,5.2391356280000005
2026-05-11,昼 12 時から 1 時間,1009,30.243906725000002
2026-05-11,閉場前 1 時間,639,30.058545452
2026-05-11,開場前 1 時間,412,98.19710166750001
2026-05-11,開場後 1 時間,1229,29.049927847000003
2026-05-12,夜 12 時から 1 時間,6192,4.4103852974999995
2026-05-12,昼 12 時から 1 時間,2480,18.034943893
2026-05-12,閉場前 1 時間,914,22.0325023575
2026-05-12,開場前 1 時間,3100,2.9568579745
2026-05-12,開場後 1 時間,2377,3.4179791990000004
2026-05-13,夜 12 時から 1 時間,8926,4.492550827500001
2026-05-13,昼 12 時から 1 時間,2517,2.2736700340000002
2026-05-13,閉場前 1 時間,3643,6.236698564
2026-05-13,開場前 1 時間,4362,16.411413073000002
2026-05-13,開場後 1 時間,2512,22.3115612395
2026-05-14,夜 12 時から 1 時間,12108,2.746801821
2026-05-14,昼 12 時から 1 時間,1975,8.281689407
2026-05-14,閉場前 1 時間,3326,6.964830731
2026-05-14,開場前 1 時間,2012,21.344929580000002
2026-05-14,開場後 1 時間,1881,21.142313869000002
2026-05-15,夜 12 時から 1 時間,15188,2.670007628
2026-05-15,昼 12 時から 1 時間,534,29.399224684000004
2026-05-15,閉場前 1 時間,3943,2.471794146
2026-05-15,開場前 1 時間,9541,0.48485548600000006
2026-05-15,開場後 1 時間,2557,2.604055164
2026-05-18,夜 12 時から 1 時間,14806,3.243483597
2026-05-18,昼 12 時から 1 時間,2345,17.379993721
2026-05-18,閉場前 1 時間,1840,27.881368921500002
2026-05-18,開場前 1 時間,2041,15.130917975000001
2026-05-18,開場後 1 時間,10840,6.728674723
2026-05-19,夜 12 時から 1 時間,14342,3.3004379845000003
2026-05-19,昼 12 時から 1 時間,13254,4.4778121075
2026-05-19,閉場前 1 時間,8750,5.1548297605
2026-05-19,開場前 1 時間,4369,9.194118853
2026-05-19,開場後 1 時間,9228,5.186223475
2026-05-20,夜 12 時から 1 時間,19615,3.021488568
2026-05-20,昼 12 時から 1 時間,2504,8.5371299505
2026-05-20,閉場前 1 時間,7016,2.9512904935
2026-05-20,開場前 1 時間,1743,11.603446207000001
2026-05-20,開場後 1 時間,10779,4.481779499
2026-05-21,夜 12 時から 1 時間,9194,3.7215266145
2026-05-21,昼 12 時から 1 時間,8488,3.423850952
2026-05-21,閉場前 1 時間,16450,3.191702568
2026-05-21,開場前 1 時間,1853,18.830891833000003
2026-05-21,開場後 1 時間,3324,15.903783970500001
2026-05-22,夜 12 時から 1 時間,20357,1.208075709
2026-05-22,昼 12 時から 1 時間,9698,0.8505675570000001
2026-05-22,閉場前 1 時間,5653,5.264787453
2026-05-22,開場前 1 時間,12660,0.8041468780000001
2026-05-22,開場後 1 時間,17833,0.7848555030000001
2026-05-26,夜 12 時から 1 時間,8879,3.194628121
2026-05-26,昼 12 時から 1 時間,10279,1.3163741020000002
2026-05-26,閉場前 1 時間,8142,2.057537833
2026-05-26,開場前 1 時間,5038,1.063293164
2026-05-26,開場後 1 時間,7983,5.059042667
2026-05-27,夜 12 時から 1 時間,17858,1.103626805
2026-05-27,昼 12 時から 1 時間,10097,7.627420644000001
2026-05-27,閉場前 1 時間,7808,6.689667363000001
2026-05-27,開場前 1 時間,2558,13.039455922
2026-05-27,開場後 1 時間,6231,4.379284861
2026-05-28,夜 12 時から 1 時間,17265,3.4688455420000004
2026-05-28,昼 12 時から 1 時間,5702,12.024722583500001
2026-05-28,閉場前 1 時間,2889,16.844281145
2026-05-28,開場前 1 時間,4570,12.043226138000001
2026-05-28,開場後 1 時間,7303,15.619932164000002
2026-05-29,夜 12 時から 1 時間,13073,4.2243796080000005
2026-05-29,昼 12 時から 1 時間,5841,11.206238212
2026-05-29,閉場前 1 時間,4864,7.6839419185
2026-05-29,開場前 1 時間,6741,8.763116574
2026-05-29,開場後 1 時間,8286,5.390427858500001
2026-06-01,夜 12 時から 1 時間,12368,3.4397851180000005
2026-06-01,昼 12 時から 1 時間,12601,3.136914383
2026-06-01,閉場前 1 時間,6413,6.343308286
2026-06-01,開場前 1 時間,12259,3.6179464250000004
2026-06-01,開場後 1 時間,15179,3.3575508110000003
2026-06-02,夜 12 時から 1 時間,20735,2.743179509
2026-06-02,昼 12 時から 1 時間,15398,1.6756940990000002
2026-06-02,閉場前 1 時間,21156,1.0169448365
2026-06-02,開場前 1 時間,21260,1.5032775495000001
2026-06-02,開場後 1 時間,21043,1.7155686940000001
2026-06-03,夜 12 時から 1 時間,12055,1.606226584
2026-06-03,昼 12 時から 1 時間,31832,1.8819424550000001
2026-06-03,閉場前 1 時間,15183,1.596100016
2026-06-03,開場前 1 時間,15173,1.840632236
2026-06-03,開場後 1 時間,33059,2.0802604160000002
2026-06-04,夜 12 時から 1 時間,28859,1.377816622
2026-06-04,昼 12 時から 1 時間,17153,2.2218303240000004
2026-06-04,閉場前 1 時間,11939,2.359793619
2026-06-04,開場前 1 時間,24973,1.531573853
2026-06-04,開場後 1 時間,29866,1.6661130725
2026-06-05,夜 12 時から 1 時間,29839,1.6302294970000002
2026-06-05,昼 12 時から 1 時間,65741,1.0327063
2026-06-05,閉場前 1 時間,46508,1.0018507585
2026-06-05,開場前 1 時間,25090,1.852142738
2026-06-05,開場後 1 時間,46563,1.373195702
2026-06-08,夜 12 時から 1 時間,50101,1.3566973050000002
2026-06-08,昼 12 時から 1 時間,33112,1.7400842550000002
2026-06-08,閉場前 1 時間,18404,2.730632951
2026-06-08,開場前 1 時間,36433,1.5990257790000002
2026-06-08,開場後 1 時間,51621,1.40230457
2026-06-09,夜 12 時から 1 時間,51307,1.2483184920000001
2026-06-09,昼 12 時から 1 時間,64375,1.133080249
2026-06-09,閉場前 1 時間,27345,2.0123394340000003
2026-06-09,開場前 1 時間,22578,3.031878792
2026-06-09,開場後 1 時間,69476,1.1358440925000002
2026-06-10,夜 12 時から 1 時間,53091,1.334610301
2026-06-10,昼 12 時から 1 時間,54453,1.556679646
2026-06-10,閉場前 1 時間,47305,1.221463014
2026-06-10,開場前 1 時間,66595,1.254590283
2026-06-10,開場後 1 時間,68654,1.4102077865
2026-06-11,夜 12 時から 1 時間,67397,0.9128473220000001
2026-06-11,昼 12 時から 1 時間,35912,1.748936046
2026-06-11,閉場前 1 時間,39680,2.1250180655
2026-06-11,開場前 1 時間,79631,0.943333313
2026-06-11,開場後 1 時間,71307,1.138465973
2026-06-12,夜 12 時から 1 時間,51137,1.1323636940000001
2026-06-12,昼 12 時から 1 時間,55228,1.6310146205000002
2026-06-12,閉場前 1 時間,39306,2.857106779
2026-06-12,開場前 1 時間,49757,1.8078373520000002
2026-06-12,開場後 1 時間,76089,1.569634808
2026-06-15,夜 12 時から 1 時間,35867,1.3988205790000001
