window,lo,hi,count
開場前 1 時間,0.004570881896148752,0.004623810213992603,1
開場前 1 時間,0.004897788193684466,0.004954501908047905,5
開場前 1 時間,0.005069907082747045,0.005128613839913648,2
開場前 1 時間,0.005559042572704037,0.005623413251903491,4
開場前 1 時間,0.005754399373371567,0.005821032177708722,1
開場前 1 時間,0.0060255958607435805,0.006095368972401693,3
開場前 1 時間,0.006456542290346563,0.0065313055264747295,1
開場前 1 時間,0.0065313055264747295,0.006606934480075964,2
開場前 1 時間,0.007328245331389044,0.007413102413009177,4
開場前 1 時間,0.007413102413009177,0.007498942093324558,12
開場前 1 時間,0.007585775750291836,0.007673614893618186,7
開場前 1 時間,0.007762471166286928,0.007852356346100726,4
開場前 1 時間,0.007852356346100726,0.00794328234724282,1
開場前 1 時間,0.008035261221856178,0.008128305161640995,1
開場前 1 時間,0.008222426499470713,0.008317637711026709,1
開場前 1 時間,0.008317637711026709,0.008413951416451947,3
開場前 1 時間,0.008413951416451947,0.008511380382023759,4
開場前 1 時間,0.008511380382023759,0.008609937521846016,7
開場前 1 時間,0.008810488730080147,0.008912509381337459,1
開場前 1 時間,0.008912509381337459,0.00901571137605957,1
開場前 1 時間,0.00901571137605957,0.009120108393559097,1
開場前 1 時間,0.00922571427154763,0.009332543007969905,5
開場前 1 時間,0.00954992586021437,0.009660508789898142,1
開場前 1 時間,0.00988553094656939,0.01,9
開場前 1 時間,0.010232929922807537,0.010351421666793452,1
開場前 1 時間,0.010351421666793452,0.010471285480509006,7
開場前 1 時間,0.010592537251772897,0.01071519305237607,1
開場前 1 時間,0.01071519305237607,0.010839269140212038,1
開場前 1 時間,0.010839269140212038,0.01096478196143185,2
開場前 1 時間,0.01096478196143185,0.01109174815262401,2
開場前 1 時間,0.01109174815262401,0.01122018454301963,6
開場前 1 時間,0.01122018454301963,0.011350108156723143,2
開場前 1 時間,0.011350108156723143,0.01148153621496884,1
開場前 1 時間,0.01148153621496884,0.011614486138403438,1
開場前 1 時間,0.011614486138403438,0.011748975549395304,9
開場前 1 時間,0.011748975549395304,0.01188502227437019,1
開場前 1 時間,0.01188502227437019,0.012022644346174132,11
開場前 1 時間,0.012022644346174132,0.012161860006463679,2
開場前 1 時間,0.01273503081016663,0.01288249551693135,5
開場前 1 時間,0.01288249551693135,0.013031667784523,1
開場前 1 時間,0.01333521432163324,0.013489628825916533,6
開場前 1 時間,0.013489628825916533,0.013645831365889238,2
開場前 1 時間,0.013645831365889238,0.013803842646028866,1
開場前 1 時間,0.013803842646028866,0.01396368361055939,2
開場前 1 時間,0.01396368361055939,0.014125375446227554,10
開場前 1 時間,0.014125375446227554,0.014288939585111037,2
開場前 1 時間,0.014288939585111037,0.01445439770745928,18
開場前 1 時間,0.014621771744567183,0.014791083881682071,3
開場前 1 時間,0.015135612484362071,0.01531087461682032,1
開場前 1 時間,0.01531087461682032,0.015488166189124828,1
開場前 1 時間,0.0156675107010815,0.01584893192461114,8
開場前 1 時間,0.01584893192461114,0.016032453906900418,3
開場前 1 時間,0.016032453906900418,0.0162181009735893,6
開場前 1 時間,0.0162181009735893,0.016405897731995387,2
開場前 1 時間,0.016405897731995387,0.016595869074375595,21
開場前 1 時間,0.016595869074375595,0.016788040181225625,9
開場前 1 時間,0.01698243652461746,0.017179083871575893,2
開場前 1 時間,0.017179083871575893,0.017378008287493762,5
開場前 1 時間,0.017378008287493762,0.01757923613958693,1
開場前 1 時間,0.01757923613958693,0.01778279410038923,1
開場前 1 時間,0.01778279410038923,0.017988709151287873,1
開場前 1 時間,0.017988709151287873,0.018197008586099826,1
開場前 1 時間,0.018620871366628693,0.01883649089489802,1
開場前 1 時間,0.01883649089489802,0.019054607179632484,2
開場前 1 時間,0.019054607179632484,0.019275249131909367,1
開場前 1 時間,0.019275249131909367,0.019498445997580455,2
開場前 1 時間,0.019498445997580455,0.019724227361148535,10
開場前 1 時間,0.020183663636815598,0.020417379446695316,1
開場前 1 時間,0.020417379446695316,0.02065380155810531,1
開場前 1 時間,0.02065380155810531,0.02089296130854041,2
開場前 1 時間,0.02089296130854041,0.021134890398366475,14
開場前 1 時間,0.021134890398366475,0.021379620895022326,5
開場前 1 時間,0.021379620895022326,0.0216271852372702,1
開場前 1 時間,0.0216271852372702,0.02187761623949552,12
開場前 1 時間,0.02187761623949552,0.022130947096056366,4
開場前 1 時間,0.022130947096056366,0.022387211385683423,4
開場前 1 時間,0.022387211385683423,0.022646443075930618,2
開場前 1 時間,0.022646443075930618,0.022908676527677748,3
開場前 1 時間,0.022908676527677748,0.023173946499684798,2
