window,lo,hi,count
開場前 1 時間,0.03548133892335753,0.035892193464500496,1
開場前 1 時間,0.042169650342858224,0.04265795188015926,6
開場前 1 時間,0.0431519076827765,0.04365158322401665,19
開場前 1 時間,0.044157044735331295,0.04466835921509635,2
開場前 1 時間,0.04466835921509635,0.04518559443749226,6
開場前 1 時間,0.04518559443749226,0.04570881896148752,8
開場前 1 時間,0.04570881896148752,0.04623810213992603,3
開場前 1 時間,0.046773514128719815,0.04731512589614803,22
開場前 1 時間,0.04731512589614803,0.0478630092322638,2
開場前 1 時間,0.0478630092322638,0.04841723675840999,13
開場前 1 時間,0.04841723675840999,0.048977881936844665,13
開場前 1 時間,0.048977881936844665,0.04954501908047906,18
開場前 1 時間,0.04954501908047906,0.05011872336272725,101
開場前 1 時間,0.05011872336272725,0.050699070827470445,111
開場前 1 時間,0.050699070827470445,0.05128613839913648,65
開場前 1 時間,0.05128613839913648,0.0518800038928961,66
開場前 1 時間,0.0518800038928961,0.05248074602497723,109
開場前 1 時間,0.05248074602497723,0.0530884444230989,136
開場前 1 時間,0.0530884444230989,0.053703179637025325,177
開場前 1 時間,0.053703179637025325,0.05432503314924336,143
開場前 1 時間,0.05432503314924336,0.05495408738576248,205
開場前 1 時間,0.05495408738576248,0.05559042572704037,151
開場前 1 時間,0.05559042572704037,0.05623413251903491,183
開場前 1 時間,0.05623413251903491,0.05688529308438413,133
開場前 1 時間,0.05688529308438413,0.057543993733715666,135
開場前 1 時間,0.057543993733715666,0.058210321777087216,179
開場前 1 時間,0.058210321777087216,0.05888436553555896,231
開場前 1 時間,0.05888436553555896,0.059566214352901097,222
開場前 1 時間,0.059566214352901097,0.06025595860743581,408
開場前 1 時間,0.06025595860743581,0.060953689724016935,287
開場前 1 時間,0.060953689724016935,0.06165950018614822,312
開場前 1 時間,0.06165950018614822,0.06237348354824192,626
開場前 1 時間,0.06237348354824192,0.0630957344480193,511
開場前 1 時間,0.0630957344480193,0.06382634861905495,861
開場前 1 時間,0.06382634861905495,0.06456542290346562,981
開場前 1 時間,0.06456542290346562,0.06531305526474729,1447
開場前 1 時間,0.06531305526474729,0.06606934480075964,2224
開場前 1 時間,0.06606934480075964,0.06683439175686148,2849
開場前 1 時間,0.06683439175686148,0.06760829753919818,2543
開場前 1 時間,0.06760829753919818,0.06839116472814293,2203
開場前 1 時間,0.06839116472814293,0.06918309709189363,1615
開場前 1 時間,0.06918309709189363,0.06998419960022731,1106
開場前 1 時間,0.06998419960022731,0.07079457843841387,898
開場前 1 時間,0.07079457843841387,0.07161434102129027,610
開場前 1 時間,0.07161434102129027,0.07244359600749906,567
開場前 1 時間,0.07244359600749906,0.07328245331389044,545
開場前 1 時間,0.07328245331389044,0.07413102413009177,589
開場前 1 時間,0.07413102413009177,0.07498942093324558,400
開場前 1 時間,0.07498942093324558,0.07585775750291836,377
開場前 1 時間,0.07585775750291836,0.07673614893618186,420
開場前 1 時間,0.07673614893618186,0.07762471166286927,476
開場前 1 時間,0.07762471166286927,0.07852356346100726,309
開場前 1 時間,0.07852356346100726,0.07943282347242822,308
開場前 1 時間,0.07943282347242822,0.08035261221856177,322
開場前 1 時間,0.08035261221856177,0.08128305161640995,457
開場前 1 時間,0.08128305161640995,0.08222426499470713,362
開場前 1 時間,0.08222426499470713,0.08317637711026708,275
開場前 1 時間,0.08317637711026708,0.08413951416451948,281
開場前 1 時間,0.08413951416451948,0.08511380382023777,259
開場前 1 時間,0.08511380382023777,0.08609937521846016,232
開場前 1 時間,0.08609937521846016,0.08709635899560814,360
開場前 1 時間,0.08709635899560814,0.08810488730080146,309
開場前 1 時間,0.08810488730080146,0.08912509381337459,323
開場前 1 時間,0.08912509381337459,0.09015711376059571,213
開場前 1 時間,0.09015711376059571,0.09120108393559097,275
開場前 1 時間,0.09120108393559097,0.09225714271547629,117
開場前 1 時間,0.09225714271547629,0.09332543007969905,244
開場前 1 時間,0.09332543007969905,0.09440608762859246,153
開場前 1 時間,0.09440608762859246,0.09549925860214369,151
開場前 1 時間,0.09549925860214369,0.09660508789898141,134
開場前 1 時間,0.09660508789898141,0.09772372209558111,202
開場前 1 時間,0.09772372209558111,0.0988553094656939,57
開場前 1 時間,0.0988553094656939,0.1,75
開場前 1 時間,0.1,0.10115794542599003,120
開場前 1 時間,0.10115794542599003,0.10232929922807536,145
開場前 1 時間,0.10232929922807536,0.10351421666793452,90
開場前 1 時間,0.10351421666793452,0.10471285480508985,114
開場前 1 時間,0.10471285480508985,0.10592537251772897,169
開場前 1 時間,0.10592537251772897,0.10715193052376049,194
開場前 1 時間,0.10715193052376049,0.10839269140212039,204
開場前 1 時間,0.10839269140212039,0.10964781961431873,202
開場前 1 時間,0.10964781961431873,0.11091748152624009,257
開場前 1 時間,0.11091748152624009,0.11220184543019653,200
開場前 1 時間,0.11220184543019653,0.11350108156723143,232
開場前 1 時間,0.11350108156723143,0.1148153621496884,273
開場前 1 時間,0.1148153621496884,0.11614486138403414,448
開場前 1 時間,0.11614486138403414,0.11748975549395303,466
開場前 1 時間,0.11748975549395303,0.11885022274370165,309
開場前 1 時間,0.11885022274370165,0.12022644346174131,369
開場前 1 時間,0.12022644346174131,0.12161860006463704,364
開場前 1 時間,0.12161860006463704,0.1230268770812381,517
開場前 1 時間,0.1230268770812381,0.12445146117713869,429
開場前 1 時間,0.12445146117713869,0.12589254117941662,545
開場前 1 時間,0.12589254117941662,0.12735030810166628,662
開場前 1 時間,0.12735030810166628,0.12882495516931322,772
開場前 1 時間,0.12882495516931322,0.13031667784523,883
開場前 1 時間,0.13031667784523,0.131825673855641,1732
開場前 1 時間,0.131825673855641,0.1333521432163324,2829
開場前 1 時間,0.1333521432163324,0.1348962882591656,3848
開場前 1 時間,0.1348962882591656,0.13645831365889238,2788
開場前 1 時間,0.13645831365889238,0.13803842646028866,1645
開場前 1 時間,0.13803842646028866,0.13963683610559363,861
開場前 1 時間,0.13963683610559363,0.14125375446227553,654
開場前 1 時間,0.14125375446227553,0.14288939585111007,392
開場前 1 時間,0.14288939585111007,0.1445439770745928,440
開場前 1 時間,0.1445439770745928,0.14621771744567214,373
開場前 1 時間,0.14621771744567214,0.1479108388168207,420
開場前 1 時間,0.1479108388168207,0.1496235656094436,241
開場前 1 時間,0.1496235656094436,0.1513561248436207,371
開場前 1 時間,0.1513561248436207,0.1531087461682032,230
開場前 1 時間,0.1531087461682032,0.15488166189124797,169
開場前 1 時間,0.15488166189124797,0.15667510701081502,121
開場前 1 時間,0.15667510701081502,0.1584893192461111,69
開場前 1 時間,0.1584893192461111,0.16032453906900418,103
開場前 1 時間,0.16032453906900418,0.1621810097358933,88
開場前 1 時間,0.1621810097358933,0.16405897731995386,165
開場前 1 時間,0.16405897731995386,0.1659586907437563,52
開場前 1 時間,0.1659586907437563,0.16788040181225589,113
開場前 1 時間,0.16788040181225589,0.1698243652461746,176
開場前 1 時間,0.1698243652461746,0.1717908387157586,139
開場前 1 時間,0.1717908387157586,0.17378008287493762,143
開場前 1 時間,0.17378008287493762,0.17579236139586965,170
開場前 1 時間,0.17579236139586965,0.1778279410038923,139
開場前 1 時間,0.1778279410038923,0.1798870915128791,110
開場前 1 時間,0.1798870915128791,0.18197008586099825,210
開場前 1 時間,0.18197008586099825,0.18407720014689583,212
開場前 1 時間,0.18407720014689583,0.18620871366628655,259
開場前 1 時間,0.18620871366628655,0.1883649089489802,171
開場前 1 時間,0.1883649089489802,0.19054607179632443,205
開場前 1 時間,0.19054607179632443,0.19275249131909367,324
開場前 1 時間,0.19275249131909367,0.19498445997580494,746
開場前 1 時間,0.19498445997580494,0.19724227361148533,1768
開場前 1 時間,0.19724227361148533,0.19952623149688828,4651
開場前 1 時間,0.19952623149688828,0.20183663636815596,8687
開場前 1 時間,0.20183663636815596,0.20417379446695316,6802
開場前 1 時間,0.20417379446695316,0.2065380155810527,2285
開場前 1 時間,0.2065380155810527,0.2089296130854041,1230
開場前 1 時間,0.2089296130854041,0.21134890398366432,797
開場前 1 時間,0.21134890398366432,0.21379620895022325,485
開場前 1 時間,0.21379620895022325,0.21627185237270244,539
開場前 1 時間,0.21627185237270244,0.21877616239495518,444
開場前 1 時間,0.21877616239495518,0.2213094709605641,317
開場前 1 時間,0.2213094709605641,0.22387211385683378,224
開場前 1 時間,0.22387211385683378,0.2264644307593062,257
開場前 1 時間,0.2264644307593062,0.22908676527677702,189
開場前 1 時間,0.22908676527677702,0.23173946499684797,206
開場前 1 時間,0.23173946499684797,0.23442288153199276,181
開場前 1 時間,0.23442288153199276,0.23713737056616552,183
開場前 1 時間,0.23713737056616552,0.23988329190194949,148
開場前 1 時間,0.23988329190194949,0.24266100950824143,108
開場前 1 時間,0.24266100950824143,0.24547089156850335,112
開場前 1 時間,0.24547089156850335,0.2483133105295568,183
開場前 1 時間,0.2483133105295568,0.25118864315095824,200
開場前 1 時間,0.25118864315095824,0.25409727055493014,290
開場前 1 時間,0.25409727055493014,0.25703957827688645,335
開場前 1 時間,0.25703957827688645,0.26001595631652774,473
開場前 1 時間,0.26001595631652774,0.26302679918953814,740
開場前 1 時間,0.26302679918953814,0.2660725059798814,2172
開場前 1 時間,0.2660725059798814,0.2691534803926914,4464
開場前 1 時間,0.2691534803926914,0.27227013080779155,2776
開場前 1 時間,0.27227013080779155,0.27542287033381635,1151
開場前 1 時間,0.27542287033381635,0.2786121168629772,1076
開場前 1 時間,0.2786121168629772,0.2818382931264449,950
開場前 1 時間,0.2818382931264449,0.285101826750391,707
開場前 1 時間,0.285101826750391,0.28840315031266117,590
開場前 1 時間,0.28840315031266117,0.2917427014001166,519
開場前 1 時間,0.2917427014001166,0.29512092266663903,489
開場前 1 時間,0.29512092266663903,0.2985382618917957,340
開場前 1 時間,0.2985382618917957,0.30199517204020193,332
開場前 1 時間,0.30199517204020193,0.3054921113215509,369
開場前 1 時間,0.3054921113215509,0.30902954325135923,277
開場前 1 時間,0.30902954325135923,0.31260793671239623,463
開場前 1 時間,0.31260793671239623,0.31622776601683794,568
開場前 1 時間,0.31622776601683794,0.31988951096914037,598
開場前 1 時間,0.31988951096914037,0.3235936569296281,631
開場前 1 時間,0.3235936569296281,0.3273406948788386,863
開場前 1 時間,0.3273406948788386,0.3311311214825908,2031
開場前 1 時間,0.3311311214825908,0.33496543915782795,8717
開場前 1 時間,0.33496543915782795,0.33884415613920205,9134
開場前 1 時間,0.33884415613920205,0.34276778654645046,2973
開場前 1 時間,0.34276778654645046,0.3467368504525324,1853
開場前 1 時間,0.3467368504525324,0.35075187395256796,1356
開場前 1 時間,0.35075187395256796,0.354813389233576,1077
開場前 1 時間,0.354813389233576,0.358921934645005,809
開場前 1 時間,0.358921934645005,0.36307805477010174,624
開場前 1 時間,0.36307805477010174,0.36728230049808425,554
開場前 1 時間,0.36728230049808425,0.3715352290971728,610
開場前 1 時間,0.3715352290971728,0.3758374042884451,795
開場前 1 時間,0.3758374042884451,0.38018939632056126,773
開場前 1 時間,0.38018939632056126,0.3845917820453543,871
開場前 1 時間,0.3845917820453543,0.3890451449942805,684
開場前 1 時間,0.3890451449942805,0.393550075455778,1072
開場前 1 時間,0.393550075455778,0.3981071705534969,3649
開場前 1 時間,0.3981071705534969,0.40271703432545947,18814
開場前 1 時間,0.40271703432545947,0.4073802778041122,16681
開場前 1 時間,0.4073802778041122,0.4120975190973304,4324
