window,lo,hi,count
開場後 2 時間,0.001,0.001584893192461114,0
開場後 2 時間,0.001584893192461114,0.0025118864315095794,0
開場後 2 時間,0.0025118864315095794,0.003981071705534973,0
開場後 2 時間,0.003981071705534973,0.00630957344480193,0
開場後 2 時間,0.00630957344480193,0.01,0
開場後 2 時間,0.01,0.01584893192461114,466
開場後 2 時間,0.01584893192461114,0.025118864315095808,171
開場後 2 時間,0.025118864315095808,0.039810717055349734,113
開場後 2 時間,0.039810717055349734,0.06309573444801933,271
開場後 2 時間,0.06309573444801933,0.1,5568
開場後 2 時間,0.1,0.15848931924611143,19175
開場後 2 時間,0.15848931924611143,0.25118864315095824,14815
開場後 2 時間,0.25118864315095824,0.3981071705534973,12444
開場後 2 時間,0.3981071705534973,0.6309573444801936,19098
開場後 2 時間,0.6309573444801936,1.0,16749
開場後 2 時間,1.0,1.584893192461114,26701
開場後 2 時間,1.584893192461114,2.5118864315095824,44863
開場後 2 時間,2.5118864315095824,3.981071705534973,23860
開場後 2 時間,3.981071705534973,6.309573444801936,31315
開場後 2 時間,6.309573444801936,10.0,28949
開場後 2 時間,10.0,15.848931924611142,30229
開場後 2 時間,15.848931924611142,25.11886431509582,29780
開場後 2 時間,25.11886431509582,39.81071705534978,22986
開場後 2 時間,39.81071705534978,63.09573444801943,22006
開場後 2 時間,63.09573444801943,100.0,15376
開場後 2 時間,100.0,158.48931924611142,11385
開場後 2 時間,158.48931924611142,251.18864315095823,8441
開場後 2 時間,251.18864315095823,398.1071705534977,3990
開場後 2 時間,398.1071705534977,630.9573444801943,2682
開場後 2 時間,630.9573444801943,1000.0,1142
開場後 2 時間,1000.0,1584.893192461114,901
開場後 2 時間,1584.893192461114,2511.886431509582,703
開場後 2 時間,2511.886431509582,3981.0717055349774,133
開場後 2 時間,3981.0717055349774,6309.573444801943,42
開場後 2 時間,6309.573444801943,10000.0,8
昼 11 時から 2 時間,0.001,0.001584893192461114,0
昼 11 時から 2 時間,0.001584893192461114,0.0025118864315095794,0
昼 11 時から 2 時間,0.0025118864315095794,0.003981071705534973,0
昼 11 時から 2 時間,0.003981071705534973,0.00630957344480193,0
昼 11 時から 2 時間,0.00630957344480193,0.01,0
昼 11 時から 2 時間,0.01,0.01584893192461114,216
昼 11 時から 2 時間,0.01584893192461114,0.025118864315095808,55
昼 11 時から 2 時間,0.025118864315095808,0.039810717055349734,59
昼 11 時から 2 時間,0.039810717055349734,0.06309573444801933,113
昼 11 時から 2 時間,0.06309573444801933,0.1,4497
昼 11 時から 2 時間,0.1,0.15848931924611143,7792
昼 11 時から 2 時間,0.15848931924611143,0.25118864315095824,6600
昼 11 時から 2 時間,0.25118864315095824,0.3981071705534973,6199
昼 11 時から 2 時間,0.3981071705534973,0.6309573444801936,9195
昼 11 時から 2 時間,0.6309573444801936,1.0,16586
昼 11 時から 2 時間,1.0,1.584893192461114,10061
昼 11 時から 2 時間,1.584893192461114,2.5118864315095824,14767
昼 11 時から 2 時間,2.5118864315095824,3.981071705534973,9677
昼 11 時から 2 時間,3.981071705534973,6.309573444801936,16266
昼 11 時から 2 時間,6.309573444801936,10.0,15713
昼 11 時から 2 時間,10.0,15.848931924611142,14645
昼 11 時から 2 時間,15.848931924611142,25.11886431509582,9593
昼 11 時から 2 時間,25.11886431509582,39.81071705534978,5672
昼 11 時から 2 時間,39.81071705534978,63.09573444801943,4200
昼 11 時から 2 時間,63.09573444801943,100.0,2556
昼 11 時から 2 時間,100.0,158.48931924611142,1352
昼 11 時から 2 時間,158.48931924611142,251.18864315095823,1320
昼 11 時から 2 時間,251.18864315095823,398.1071705534977,429
昼 11 時から 2 時間,398.1071705534977,630.9573444801943,349
昼 11 時から 2 時間,630.9573444801943,1000.0,104
昼 11 時から 2 時間,1000.0,1584.893192461114,99
昼 11 時から 2 時間,1584.893192461114,2511.886431509582,62
昼 11 時から 2 時間,2511.886431509582,3981.0717055349774,19
昼 11 時から 2 時間,3981.0717055349774,6309.573444801943,7
昼 11 時から 2 時間,6309.573444801943,10000.0,2
閉場前 2 時間,0.001,0.001584893192461114,0
閉場前 2 時間,0.001584893192461114,0.0025118864315095794,0
閉場前 2 時間,0.0025118864315095794,0.003981071705534973,0
閉場前 2 時間,0.003981071705534973,0.00630957344480193,0
閉場前 2 時間,0.00630957344480193,0.01,0
閉場前 2 時間,0.01,0.01584893192461114,210
閉場前 2 時間,0.01584893192461114,0.025118864315095808,70
閉場前 2 時間,0.025118864315095808,0.039810717055349734,50
閉場前 2 時間,0.039810717055349734,0.06309573444801933,154
閉場前 2 時間,0.06309573444801933,0.1,4301
閉場前 2 時間,0.1,0.15848931924611143,12086
閉場前 2 時間,0.15848931924611143,0.25118864315095824,8234
閉場前 2 時間,0.25118864315095824,0.3981071705534973,6864
閉場前 2 時間,0.3981071705534973,0.6309573444801936,9912
閉場前 2 時間,0.6309573444801936,1.0,9776
閉場前 2 時間,1.0,1.584893192461114,12699
閉場前 2 時間,1.584893192461114,2.5118864315095824,19185
閉場前 2 時間,2.5118864315095824,3.981071705534973,8364
