window,lo,hi,count
開場後 2 時間,0.001,0.001584893192461114,72
開場後 2 時間,0.001584893192461114,0.0025118864315095794,30
開場後 2 時間,0.0025118864315095794,0.003981071705534973,22
開場後 2 時間,0.003981071705534973,0.00630957344480193,59
開場後 2 時間,0.00630957344480193,0.01,36
開場後 2 時間,0.01,0.01584893192461114,73
開場後 2 時間,0.01584893192461114,0.025118864315095808,1277
開場後 2 時間,0.025118864315095808,0.039810717055349734,2517
開場後 2 時間,0.039810717055349734,0.06309573444801933,5992
開場後 2 時間,0.06309573444801933,0.1,6176
開場後 2 時間,0.1,0.15848931924611143,4944
開場後 2 時間,0.15848931924611143,0.25118864315095824,4384
開場後 2 時間,0.25118864315095824,0.3981071705534973,3054
開場後 2 時間,0.3981071705534973,0.6309573444801936,3184
開場後 2 時間,0.6309573444801936,1.0,2413
開場後 2 時間,1.0,1.584893192461114,2959
開場後 2 時間,1.584893192461114,2.5118864315095824,1696
開場後 2 時間,2.5118864315095824,3.981071705534973,968
開場後 2 時間,3.981071705534973,6.309573444801936,1029
開場後 2 時間,6.309573444801936,10.0,697
開場後 2 時間,10.0,15.848931924611142,552
開場後 2 時間,15.848931924611142,25.11886431509582,356
開場後 2 時間,25.11886431509582,39.81071705534978,206
開場後 2 時間,39.81071705534978,63.09573444801943,112
開場後 2 時間,63.09573444801943,100.0,53
開場後 2 時間,100.0,158.48931924611142,65
開場後 2 時間,158.48931924611142,251.18864315095823,8
開場後 2 時間,251.18864315095823,398.1071705534977,4
開場後 2 時間,398.1071705534977,630.9573444801943,1
開場後 2 時間,630.9573444801943,1000.0,1
開場後 2 時間,1000.0,1584.893192461114,0
開場後 2 時間,1584.893192461114,2511.886431509582,0
開場後 2 時間,2511.886431509582,3981.0717055349774,0
開場後 2 時間,3981.0717055349774,6309.573444801943,0
開場後 2 時間,6309.573444801943,10000.0,0
昼 11 時から 2 時間,0.001,0.001584893192461114,41
昼 11 時から 2 時間,0.001584893192461114,0.0025118864315095794,10
昼 11 時から 2 時間,0.0025118864315095794,0.003981071705534973,11
昼 11 時から 2 時間,0.003981071705534973,0.00630957344480193,30
昼 11 時から 2 時間,0.00630957344480193,0.01,33
昼 11 時から 2 時間,0.01,0.01584893192461114,35
昼 11 時から 2 時間,0.01584893192461114,0.025118864315095808,977
昼 11 時から 2 時間,0.025118864315095808,0.039810717055349734,1584
昼 11 時から 2 時間,0.039810717055349734,0.06309573444801933,6576
昼 11 時から 2 時間,0.06309573444801933,0.1,2352
昼 11 時から 2 時間,0.1,0.15848931924611143,1961
昼 11 時から 2 時間,0.15848931924611143,0.25118864315095824,3016
昼 11 時から 2 時間,0.25118864315095824,0.3981071705534973,1963
昼 11 時から 2 時間,0.3981071705534973,0.6309573444801936,2076
昼 11 時から 2 時間,0.6309573444801936,1.0,1126
昼 11 時から 2 時間,1.0,1.584893192461114,1230
昼 11 時から 2 時間,1.584893192461114,2.5118864315095824,618
昼 11 時から 2 時間,2.5118864315095824,3.981071705534973,436
昼 11 時から 2 時間,3.981071705534973,6.309573444801936,376
昼 11 時から 2 時間,6.309573444801936,10.0,212
昼 11 時から 2 時間,10.0,15.848931924611142,173
昼 11 時から 2 時間,15.848931924611142,25.11886431509582,140
昼 11 時から 2 時間,25.11886431509582,39.81071705534978,82
昼 11 時から 2 時間,39.81071705534978,63.09573444801943,62
昼 11 時から 2 時間,63.09573444801943,100.0,26
昼 11 時から 2 時間,100.0,158.48931924611142,19
昼 11 時から 2 時間,158.48931924611142,251.18864315095823,10
昼 11 時から 2 時間,251.18864315095823,398.1071705534977,4
昼 11 時から 2 時間,398.1071705534977,630.9573444801943,0
昼 11 時から 2 時間,630.9573444801943,1000.0,0
昼 11 時から 2 時間,1000.0,1584.893192461114,0
昼 11 時から 2 時間,1584.893192461114,2511.886431509582,0
昼 11 時から 2 時間,2511.886431509582,3981.0717055349774,0
昼 11 時から 2 時間,3981.0717055349774,6309.573444801943,0
昼 11 時から 2 時間,6309.573444801943,10000.0,0
閉場前 2 時間,0.001,0.001584893192461114,31
閉場前 2 時間,0.001584893192461114,0.0025118864315095794,28
閉場前 2 時間,0.0025118864315095794,0.003981071705534973,22
閉場前 2 時間,0.003981071705534973,0.00630957344480193,45
閉場前 2 時間,0.00630957344480193,0.01,38
閉場前 2 時間,0.01,0.01584893192461114,45
閉場前 2 時間,0.01584893192461114,0.025118864315095808,1018
閉場前 2 時間,0.025118864315095808,0.039810717055349734,2853
閉場前 2 時間,0.039810717055349734,0.06309573444801933,3332
閉場前 2 時間,0.06309573444801933,0.1,3553
閉場前 2 時間,0.1,0.15848931924611143,2260
閉場前 2 時間,0.15848931924611143,0.25118864315095824,1965
閉場前 2 時間,0.25118864315095824,0.3981071705534973,1617
閉場前 2 時間,0.3981071705534973,0.6309573444801936,2143
閉場前 2 時間,0.6309573444801936,1.0,1081
閉場前 2 時間,1.0,1.584893192461114,1235
閉場前 2 時間,1.584893192461114,2.5118864315095824,951
閉場前 2 時間,2.5118864315095824,3.981071705534973,450
閉場前 2 時間,3.981071705534973,6.309573444801936,339
閉場前 2 時間,6.309573444801936,10.0,321
閉場前 2 時間,10.0,15.848931924611142,209
閉場前 2 時間,15.848931924611142,25.11886431509582,69
閉場前 2 時間,25.11886431509582,39.81071705534978,55
閉場前 2 時間,39.81071705534978,63.09573444801943,29
閉場前 2 時間,63.09573444801943,100.0,13
閉場前 2 時間,100.0,158.48931924611142,8
閉場前 2 時間,158.48931924611142,251.18864315095823,5
閉場前 2 時間,251.18864315095823,398.1071705534977,1
閉場前 2 時間,398.1071705534977,630.9573444801943,0
閉場前 2 時間,630.9573444801943,1000.0,0
閉場前 2 時間,1000.0,1584.893192461114,0
閉場前 2 時間,1584.893192461114,2511.886431509582,0
閉場前 2 時間,2511.886431509582,3981.0717055349774,0
閉場前 2 時間,3981.0717055349774,6309.573444801943,0
閉場前 2 時間,6309.573444801943,10000.0,0
深夜 11 時から 2 時間,0.001,0.001584893192461114,137
深夜 11 時から 2 時間,0.001584893192461114,0.0025118864315095794,56
深夜 11 時から 2 時間,0.0025118864315095794,0.003981071705534973,44
深夜 11 時から 2 時間,0.003981071705534973,0.00630957344480193,123
