window,lo,hi,count
開場後 2 時間,0.001,0.001584893192461114,1388
開場後 2 時間,0.001584893192461114,0.0025118864315095794,503
開場後 2 時間,0.0025118864315095794,0.003981071705534973,529
開場後 2 時間,0.003981071705534973,0.00630957344480193,1413
開場後 2 時間,0.00630957344480193,0.01,2298
開場後 2 時間,0.01,0.01584893192461114,43997
開場後 2 時間,0.01584893192461114,0.025118864315095808,65299
開場後 2 時間,0.025118864315095808,0.039810717055349734,31261
開場後 2 時間,0.039810717055349734,0.06309573444801933,39811
開場後 2 時間,0.06309573444801933,0.1,43967
開場後 2 時間,0.1,0.15848931924611143,60551
開場後 2 時間,0.15848931924611143,0.25118864315095824,92048
開場後 2 時間,0.25118864315095824,0.3981071705534973,68712
開場後 2 時間,0.3981071705534973,0.6309573444801936,100800
開場後 2 時間,0.6309573444801936,1.0,72375
開場後 2 時間,1.0,1.584893192461114,107240
開場後 2 時間,1.584893192461114,2.5118864315095824,91325
開場後 2 時間,2.5118864315095824,3.981071705534973,63939
開場後 2 時間,3.981071705534973,6.309573444801936,68178
開場後 2 時間,6.309573444801936,10.0,44516
開場後 2 時間,10.0,15.848931924611142,44277
開場後 2 時間,15.848931924611142,25.11886431509582,32040
開場後 2 時間,25.11886431509582,39.81071705534978,18914
開場後 2 時間,39.81071705534978,63.09573444801943,14617
開場後 2 時間,63.09573444801943,100.0,6129
開場後 2 時間,100.0,158.48931924611142,4942
開場後 2 時間,158.48931924611142,251.18864315095823,2364
開場後 2 時間,251.18864315095823,398.1071705534977,900
開場後 2 時間,398.1071705534977,630.9573444801943,698
開場後 2 時間,630.9573444801943,1000.0,196
開場後 2 時間,1000.0,1584.893192461114,97
開場後 2 時間,1584.893192461114,2511.886431509582,28
開場後 2 時間,2511.886431509582,3981.0717055349774,3
開場後 2 時間,3981.0717055349774,6309.573444801943,3
開場後 2 時間,6309.573444801943,10000.0,0
昼 11 時から 2 時間,0.001,0.001584893192461114,652
昼 11 時から 2 時間,0.001584893192461114,0.0025118864315095794,264
昼 11 時から 2 時間,0.0025118864315095794,0.003981071705534973,278
昼 11 時から 2 時間,0.003981071705534973,0.00630957344480193,798
昼 11 時から 2 時間,0.00630957344480193,0.01,1429
昼 11 時から 2 時間,0.01,0.01584893192461114,26784
昼 11 時から 2 時間,0.01584893192461114,0.025118864315095808,34534
昼 11 時から 2 時間,0.025118864315095808,0.039810717055349734,18844
昼 11 時から 2 時間,0.039810717055349734,0.06309573444801933,19561
昼 11 時から 2 時間,0.06309573444801933,0.1,21555
昼 11 時から 2 時間,0.1,0.15848931924611143,28169
昼 11 時から 2 時間,0.15848931924611143,0.25118864315095824,37676
昼 11 時から 2 時間,0.25118864315095824,0.3981071705534973,30517
昼 11 時から 2 時間,0.3981071705534973,0.6309573444801936,43618
昼 11 時から 2 時間,0.6309573444801936,1.0,32541
昼 11 時から 2 時間,1.0,1.584893192461114,43026
昼 11 時から 2 時間,1.584893192461114,2.5118864315095824,39399
昼 11 時から 2 時間,2.5118864315095824,3.981071705534973,27550
昼 11 時から 2 時間,3.981071705534973,6.309573444801936,25876
昼 11 時から 2 時間,6.309573444801936,10.0,16117
昼 11 時から 2 時間,10.0,15.848931924611142,13282
昼 11 時から 2 時間,15.848931924611142,25.11886431509582,7389
昼 11 時から 2 時間,25.11886431509582,39.81071705534978,4404
昼 11 時から 2 時間,39.81071705534978,63.09573444801943,2840
昼 11 時から 2 時間,63.09573444801943,100.0,1190
昼 11 時から 2 時間,100.0,158.48931924611142,948
昼 11 時から 2 時間,158.48931924611142,251.18864315095823,400
昼 11 時から 2 時間,251.18864315095823,398.1071705534977,156
昼 11 時から 2 時間,398.1071705534977,630.9573444801943,78
昼 11 時から 2 時間,630.9573444801943,1000.0,26
昼 11 時から 2 時間,1000.0,1584.893192461114,14
昼 11 時から 2 時間,1584.893192461114,2511.886431509582,7
昼 11 時から 2 時間,2511.886431509582,3981.0717055349774,1
昼 11 時から 2 時間,3981.0717055349774,6309.573444801943,0
昼 11 時から 2 時間,6309.573444801943,10000.0,0
閉場前 2 時間,0.001,0.001584893192461114,714
閉場前 2 時間,0.001584893192461114,0.0025118864315095794,303
閉場前 2 時間,0.0025118864315095794,0.003981071705534973,448
閉場前 2 時間,0.003981071705534973,0.00630957344480193,1154
閉場前 2 時間,0.00630957344480193,0.01,1825
閉場前 2 時間,0.01,0.01584893192461114,34876
閉場前 2 時間,0.01584893192461114,0.025118864315095808,45424
閉場前 2 時間,0.025118864315095808,0.039810717055349734,21293
閉場前 2 時間,0.039810717055349734,0.06309573444801933,20748
閉場前 2 時間,0.06309573444801933,0.1,22702
閉場前 2 時間,0.1,0.15848931924611143,32072
閉場前 2 時間,0.15848931924611143,0.25118864315095824,49728
閉場前 2 時間,0.25118864315095824,0.3981071705534973,32374
閉場前 2 時間,0.3981071705534973,0.6309573444801936,47253
閉場前 2 時間,0.6309573444801936,1.0,31298
閉場前 2 時間,1.0,1.584893192461114,47629
閉場前 2 時間,1.584893192461114,2.5118864315095824,39722
閉場前 2 時間,2.5118864315095824,3.981071705534973,28403
閉場前 2 時間,3.981071705534973,6.309573444801936,28919
閉場前 2 時間,6.309573444801936,10.0,17279
閉場前 2 時間,10.0,15.848931924611142,15225
閉場前 2 時間,15.848931924611142,25.11886431509582,10582
閉場前 2 時間,25.11886431509582,39.81071705534978,6030
閉場前 2 時間,39.81071705534978,63.09573444801943,4072
閉場前 2 時間,63.09573444801943,100.0,1826
閉場前 2 時間,100.0,158.48931924611142,1505
閉場前 2 時間,158.48931924611142,251.18864315095823,900
閉場前 2 時間,251.18864315095823,398.1071705534977,274
閉場前 2 時間,398.1071705534977,630.9573444801943,173
閉場前 2 時間,630.9573444801943,1000.0,58
閉場前 2 時間,1000.0,1584.893192461114,27
閉場前 2 時間,1584.893192461114,2511.886431509582,11
閉場前 2 時間,2511.886431509582,3981.0717055349774,1
閉場前 2 時間,3981.0717055349774,6309.573444801943,1
閉場前 2 時間,6309.573444801943,10000.0,0
深夜 11 時から 2 時間,0.001,0.001584893192461114,630
深夜 11 時から 2 時間,0.001584893192461114,0.0025118864315095794,270
深夜 11 時から 2 時間,0.0025118864315095794,0.003981071705534973,319
深夜 11 時から 2 時間,0.003981071705534973,0.00630957344480193,676
深夜 11 時から 2 時間,0.00630957344480193,0.01,3192
深夜 11 時から 2 時間,0.01,0.01584893192461114,28872
深夜 11 時から 2 時間,0.01584893192461114,0.025118864315095808,38432
深夜 11 時から 2 時間,0.025118864315095808,0.039810717055349734,20698
深夜 11 時から 2 時間,0.039810717055349734,0.06309573444801933,24308
深夜 11 時から 2 時間,0.06309573444801933,0.1,24472
深夜 11 時から 2 時間,0.1,0.15848931924611143,34648
深夜 11 時から 2 時間,0.15848931924611143,0.25118864315095824,55110
深夜 11 時から 2 時間,0.25118864315095824,0.3981071705534973,35343
深夜 11 時から 2 時間,0.3981071705534973,0.6309573444801936,55311
深夜 11 時から 2 時間,0.6309573444801936,1.0,42517
深夜 11 時から 2 時間,1.0,1.584893192461114,53877
深夜 11 時から 2 時間,1.584893192461114,2.5118864315095824,45069
深夜 11 時から 2 時間,2.5118864315095824,3.981071705534973,30089
深夜 11 時から 2 時間,3.981071705534973,6.309573444801936,28324
深夜 11 時から 2 時間,6.309573444801936,10.0,17397
深夜 11 時から 2 時間,10.0,15.848931924611142,15907
深夜 11 時から 2 時間,15.848931924611142,25.11886431509582,8754
深夜 11 時から 2 時間,25.11886431509582,39.81071705534978,4761
深夜 11 時から 2 時間,39.81071705534978,63.09573444801943,2837
深夜 11 時から 2 時間,63.09573444801943,100.0,1112
深夜 11 時から 2 時間,100.0,158.48931924611142,909
深夜 11 時から 2 時間,158.48931924611142,251.18864315095823,397
深夜 11 時から 2 時間,251.18864315095823,398.1071705534977,171
深夜 11 時から 2 時間,398.1071705534977,630.9573444801943,110
深夜 11 時から 2 時間,630.9573444801943,1000.0,21
深夜 11 時から 2 時間,1000.0,1584.893192461114,14
深夜 11 時から 2 時間,1584.893192461114,2511.886431509582,3
