window,lo,hi,count
開場後 2 時間,0.001,0.001584893192461114,349
開場後 2 時間,0.001584893192461114,0.0025118864315095794,135
開場後 2 時間,0.0025118864315095794,0.003981071705534973,112
開場後 2 時間,0.003981071705534973,0.00630957344480193,255
開場後 2 時間,0.00630957344480193,0.01,149
開場後 2 時間,0.01,0.01584893192461114,184
開場後 2 時間,0.01584893192461114,0.025118864315095808,237
開場後 2 時間,0.025118864315095808,0.039810717055349734,235
開場後 2 時間,0.039810717055349734,0.06309573444801933,7878
開場後 2 時間,0.06309573444801933,0.1,11239
開場後 2 時間,0.1,0.15848931924611143,12270
開場後 2 時間,0.15848931924611143,0.25118864315095824,14505
開場後 2 時間,0.25118864315095824,0.3981071705534973,15044
開場後 2 時間,0.3981071705534973,0.6309573444801936,32192
開場後 2 時間,0.6309573444801936,1.0,25711
開場後 2 時間,1.0,1.584893192461114,35995
開場後 2 時間,1.584893192461114,2.5118864315095824,29503
開場後 2 時間,2.5118864315095824,3.981071705534973,32010
開場後 2 時間,3.981071705534973,6.309573444801936,32643
開場後 2 時間,6.309573444801936,10.0,21697
開場後 2 時間,10.0,15.848931924611142,19933
開場後 2 時間,15.848931924611142,25.11886431509582,13438
開場後 2 時間,25.11886431509582,39.81071705534978,8972
開場後 2 時間,39.81071705534978,63.09573444801943,7068
開場後 2 時間,63.09573444801943,100.0,2793
開場後 2 時間,100.0,158.48931924611142,1751
開場後 2 時間,158.48931924611142,251.18864315095823,870
開場後 2 時間,251.18864315095823,398.1071705534977,322
開場後 2 時間,398.1071705534977,630.9573444801943,165
開場後 2 時間,630.9573444801943,1000.0,38
開場後 2 時間,1000.0,1584.893192461114,25
開場後 2 時間,1584.893192461114,2511.886431509582,4
開場後 2 時間,2511.886431509582,3981.0717055349774,2
開場後 2 時間,3981.0717055349774,6309.573444801943,2
開場後 2 時間,6309.573444801943,10000.0,0
昼 11 時から 2 時間,0.001,0.001584893192461114,191
昼 11 時から 2 時間,0.001584893192461114,0.0025118864315095794,88
昼 11 時から 2 時間,0.0025118864315095794,0.003981071705534973,68
昼 11 時から 2 時間,0.003981071705534973,0.00630957344480193,129
昼 11 時から 2 時間,0.00630957344480193,0.01,68
昼 11 時から 2 時間,0.01,0.01584893192461114,89
昼 11 時から 2 時間,0.01584893192461114,0.025118864315095808,124
昼 11 時から 2 時間,0.025118864315095808,0.039810717055349734,118
昼 11 時から 2 時間,0.039810717055349734,0.06309573444801933,3559
昼 11 時から 2 時間,0.06309573444801933,0.1,6972
昼 11 時から 2 時間,0.1,0.15848931924611143,7224
昼 11 時から 2 時間,0.15848931924611143,0.25118864315095824,7570
昼 11 時から 2 時間,0.25118864315095824,0.3981071705534973,5803
昼 11 時から 2 時間,0.3981071705534973,0.6309573444801936,15677
昼 11 時から 2 時間,0.6309573444801936,1.0,13430
昼 11 時から 2 時間,1.0,1.584893192461114,15018
昼 11 時から 2 時間,1.584893192461114,2.5118864315095824,13138
昼 11 時から 2 時間,2.5118864315095824,3.981071705534973,13835
昼 11 時から 2 時間,3.981071705534973,6.309573444801936,12833
昼 11 時から 2 時間,6.309573444801936,10.0,7737
昼 11 時から 2 時間,10.0,15.848931924611142,7405
昼 11 時から 2 時間,15.848931924611142,25.11886431509582,4397
昼 11 時から 2 時間,25.11886431509582,39.81071705534978,2653
昼 11 時から 2 時間,39.81071705534978,63.09573444801943,2042
昼 11 時から 2 時間,63.09573444801943,100.0,816
昼 11 時から 2 時間,100.0,158.48931924611142,504
昼 11 時から 2 時間,158.48931924611142,251.18864315095823,233
昼 11 時から 2 時間,251.18864315095823,398.1071705534977,78
昼 11 時から 2 時間,398.1071705534977,630.9573444801943,43
昼 11 時から 2 時間,630.9573444801943,1000.0,9
昼 11 時から 2 時間,1000.0,1584.893192461114,5
昼 11 時から 2 時間,1584.893192461114,2511.886431509582,3
昼 11 時から 2 時間,2511.886431509582,3981.0717055349774,0
昼 11 時から 2 時間,3981.0717055349774,6309.573444801943,0
昼 11 時から 2 時間,6309.573444801943,10000.0,1
閉場前 2 時間,0.001,0.001584893192461114,176
閉場前 2 時間,0.001584893192461114,0.0025118864315095794,69
閉場前 2 時間,0.0025118864315095794,0.003981071705534973,77
閉場前 2 時間,0.003981071705534973,0.00630957344480193,188
閉場前 2 時間,0.00630957344480193,0.01,108
閉場前 2 時間,0.01,0.01584893192461114,151
閉場前 2 時間,0.01584893192461114,0.025118864315095808,163
閉場前 2 時間,0.025118864315095808,0.039810717055349734,155
閉場前 2 時間,0.039810717055349734,0.06309573444801933,4452
閉場前 2 時間,0.06309573444801933,0.1,5484
閉場前 2 時間,0.1,0.15848931924611143,5027
閉場前 2 時間,0.15848931924611143,0.25118864315095824,5093
閉場前 2 時間,0.25118864315095824,0.3981071705534973,5911
閉場前 2 時間,0.3981071705534973,0.6309573444801936,15368
閉場前 2 時間,0.6309573444801936,1.0,12667
閉場前 2 時間,1.0,1.584893192461114,14567
閉場前 2 時間,1.584893192461114,2.5118864315095824,13306
閉場前 2 時間,2.5118864315095824,3.981071705534973,12069
