window,lo,hi,count
開場後 2 時間,0.001,0.001584893192461114,1020
開場後 2 時間,0.001584893192461114,0.0025118864315095794,345
開場後 2 時間,0.0025118864315095794,0.003981071705534973,255
開場後 2 時間,0.003981071705534973,0.00630957344480193,9419
開場後 2 時間,0.00630957344480193,0.01,25003
開場後 2 時間,0.01,0.01584893192461114,36127
開場後 2 時間,0.01584893192461114,0.025118864315095808,37111
開場後 2 時間,0.025118864315095808,0.039810717055349734,30637
開場後 2 時間,0.039810717055349734,0.06309573444801933,57796
開場後 2 時間,0.06309573444801933,0.1,73378
開場後 2 時間,0.1,0.15848931924611143,93418
開場後 2 時間,0.15848931924611143,0.25118864315095824,86817
開場後 2 時間,0.25118864315095824,0.3981071705534973,75002
開場後 2 時間,0.3981071705534973,0.6309573444801936,76186
開場後 2 時間,0.6309573444801936,1.0,79379
開場後 2 時間,1.0,1.584893192461114,95978
開場後 2 時間,1.584893192461114,2.5118864315095824,72982
開場後 2 時間,2.5118864315095824,3.981071705534973,60045
開場後 2 時間,3.981071705534973,6.309573444801936,52880
開場後 2 時間,6.309573444801936,10.0,39285
開場後 2 時間,10.0,15.848931924611142,30262
開場後 2 時間,15.848931924611142,25.11886431509582,20140
開場後 2 時間,25.11886431509582,39.81071705534978,10991
開場後 2 時間,39.81071705534978,63.09573444801943,7127
開場後 2 時間,63.09573444801943,100.0,4009
開場後 2 時間,100.0,158.48931924611142,2380
開場後 2 時間,158.48931924611142,251.18864315095823,820
開場後 2 時間,251.18864315095823,398.1071705534977,320
開場後 2 時間,398.1071705534977,630.9573444801943,203
開場後 2 時間,630.9573444801943,1000.0,40
開場後 2 時間,1000.0,1584.893192461114,18
開場後 2 時間,1584.893192461114,2511.886431509582,3
開場後 2 時間,2511.886431509582,3981.0717055349774,0
開場後 2 時間,3981.0717055349774,6309.573444801943,0
開場後 2 時間,6309.573444801943,10000.0,0
昼 11 時から 2 時間,0.001,0.001584893192461114,406
昼 11 時から 2 時間,0.001584893192461114,0.0025118864315095794,130
昼 11 時から 2 時間,0.0025118864315095794,0.003981071705534973,114
昼 11 時から 2 時間,0.003981071705534973,0.00630957344480193,4586
昼 11 時から 2 時間,0.00630957344480193,0.01,10342
昼 11 時から 2 時間,0.01,0.01584893192461114,18159
昼 11 時から 2 時間,0.01584893192461114,0.025118864315095808,19476
昼 11 時から 2 時間,0.025118864315095808,0.039810717055349734,12033
昼 11 時から 2 時間,0.039810717055349734,0.06309573444801933,22620
昼 11 時から 2 時間,0.06309573444801933,0.1,26909
昼 11 時から 2 時間,0.1,0.15848931924611143,34331
昼 11 時から 2 時間,0.15848931924611143,0.25118864315095824,39935
昼 11 時から 2 時間,0.25118864315095824,0.3981071705534973,38529
昼 11 時から 2 時間,0.3981071705534973,0.6309573444801936,30664
昼 11 時から 2 時間,0.6309573444801936,1.0,31899
昼 11 時から 2 時間,1.0,1.584893192461114,29745
昼 11 時から 2 時間,1.584893192461114,2.5118864315095824,21112
昼 11 時から 2 時間,2.5118864315095824,3.981071705534973,16022
昼 11 時から 2 時間,3.981071705534973,6.309573444801936,12435
昼 11 時から 2 時間,6.309573444801936,10.0,7850
昼 11 時から 2 時間,10.0,15.848931924611142,5292
昼 11 時から 2 時間,15.848931924611142,25.11886431509582,3161
昼 11 時から 2 時間,25.11886431509582,39.81071705534978,1688
昼 11 時から 2 時間,39.81071705534978,63.09573444801943,875
昼 11 時から 2 時間,63.09573444801943,100.0,412
昼 11 時から 2 時間,100.0,158.48931924611142,386
昼 11 時から 2 時間,158.48931924611142,251.18864315095823,100
昼 11 時から 2 時間,251.18864315095823,398.1071705534977,27
昼 11 時から 2 時間,398.1071705534977,630.9573444801943,13
昼 11 時から 2 時間,630.9573444801943,1000.0,4
昼 11 時から 2 時間,1000.0,1584.893192461114,2
昼 11 時から 2 時間,1584.893192461114,2511.886431509582,0
昼 11 時から 2 時間,2511.886431509582,3981.0717055349774,0
昼 11 時から 2 時間,3981.0717055349774,6309.573444801943,0
昼 11 時から 2 時間,6309.573444801943,10000.0,0
閉場前 2 時間,0.001,0.001584893192461114,545
閉場前 2 時間,0.001584893192461114,0.0025118864315095794,184
閉場前 2 時間,0.0025118864315095794,0.003981071705534973,169
閉場前 2 時間,0.003981071705534973,0.00630957344480193,4445
閉場前 2 時間,0.00630957344480193,0.01,15427
閉場前 2 時間,0.01,0.01584893192461114,20389
閉場前 2 時間,0.01584893192461114,0.025118864315095808,21884
閉場前 2 時間,0.025118864315095808,0.039810717055349734,16747
閉場前 2 時間,0.039810717055349734,0.06309573444801933,27889
閉場前 2 時間,0.06309573444801933,0.1,34520
閉場前 2 時間,0.1,0.15848931924611143,44020
閉場前 2 時間,0.15848931924611143,0.25118864315095824,41068
閉場前 2 時間,0.25118864315095824,0.3981071705534973,36200
閉場前 2 時間,0.3981071705534973,0.6309573444801936,35746
閉場前 2 時間,0.6309573444801936,1.0,36944
閉場前 2 時間,1.0,1.584893192461114,43068
閉場前 2 時間,1.584893192461114,2.5118864315095824,30279
閉場前 2 時間,2.5118864315095824,3.981071705534973,22999
閉場前 2 時間,3.981071705534973,6.309573444801936,18189
閉場前 2 時間,6.309573444801936,10.0,12146
閉場前 2 時間,10.0,15.848931924611142,9612
閉場前 2 時間,15.848931924611142,25.11886431509582,5548
閉場前 2 時間,25.11886431509582,39.81071705534978,3231
閉場前 2 時間,39.81071705534978,63.09573444801943,2220
閉場前 2 時間,63.09573444801943,100.0,1224
閉場前 2 時間,100.0,158.48931924611142,976
閉場前 2 時間,158.48931924611142,251.18864315095823,300
閉場前 2 時間,251.18864315095823,398.1071705534977,123
閉場前 2 時間,398.1071705534977,630.9573444801943,50
閉場前 2 時間,630.9573444801943,1000.0,10
閉場前 2 時間,1000.0,1584.893192461114,7
閉場前 2 時間,1584.893192461114,2511.886431509582,3
閉場前 2 時間,2511.886431509582,3981.0717055349774,0
閉場前 2 時間,3981.0717055349774,6309.573444801943,0
閉場前 2 時間,6309.573444801943,10000.0,0
深夜 11 時から 2 時間,0.001,0.001584893192461114,470
深夜 11 時から 2 時間,0.001584893192461114,0.0025118864315095794,164
深夜 11 時から 2 時間,0.0025118864315095794,0.003981071705534973,148
深夜 11 時から 2 時間,0.003981071705534973,0.00630957344480193,5481
深夜 11 時から 2 時間,0.00630957344480193,0.01,11377
深夜 11 時から 2 時間,0.01,0.01584893192461114,16720
深夜 11 時から 2 時間,0.01584893192461114,0.025118864315095808,21696
深夜 11 時から 2 時間,0.025118864315095808,0.039810717055349734,13309
深夜 11 時から 2 時間,0.039810717055349734,0.06309573444801933,28068
深夜 11 時から 2 時間,0.06309573444801933,0.1,36833
深夜 11 時から 2 時間,0.1,0.15848931924611143,39902
深夜 11 時から 2 時間,0.15848931924611143,0.25118864315095824,37828
深夜 11 時から 2 時間,0.25118864315095824,0.3981071705534973,39259
深夜 11 時から 2 時間,0.3981071705534973,0.6309573444801936,37448
深夜 11 時から 2 時間,0.6309573444801936,1.0,35068
深夜 11 時から 2 時間,1.0,1.584893192461114,34712
深夜 11 時から 2 時間,1.584893192461114,2.5118864315095824,23216
深夜 11 時から 2 時間,2.5118864315095824,3.981071705534973,16357
