window,day_type,n,median,mean,q25,q75,q99,max,share_ge_10,total_sz
開場後 2 時間,全曜日,236777,1.0,5.55153241235424,0.248,3.568,76.07831999999938,2000.0,0.10310967703788797,1314475.19
開場後 2 時間,立会日,224371,1.029,5.770755146609856,0.272,3.771,79.51439999999944,2000.0,0.1074202994148085,1294790.1030000001
開場後 2 時間,休場日,12406,0.321,1.5867392390778654,0.1,0.96,20.518,612.083,0.025149121392874417,19685.087
開場後 2 時間,全曜日(約定 1 件),401746,0.802,3.2719061048523197,0.28,2.6557500000000003,35.57344999999978,1000.0,0.06614378238986822,1314475.19
昼 11 時から 2 時間,全曜日,77893,0.579,3.1028873326229567,0.155,2.1109999999999998,41.736080000000044,1055.047,0.05665464162376593,241693.20299999998
昼 11 時から 2 時間,立会日,68442,0.652,3.3189137225680136,0.182,2.2647500000000003,44.77502999999994,1055.047,0.06110283159463487,227153.093
昼 11 時から 2 時間,休場日,9451,0.38,1.5384731774415406,0.095,1.041,19.212000000000003,640.773,0.024441858004443973,14540.109999999999
昼 11 時から 2 時間,全曜日(約定 1 件),121347,0.504,1.9917526020420775,0.193,1.833,22.629239999999964,840.054,0.034768061839188444,241693.20299999998
閉場前 2 時間,全曜日,100542,0.551,4.618695798770663,0.15,2.355,56.86129999999976,3032.786,0.07642577231405781,464372.913
閉場前 2 時間,立会日,90783,0.603,4.958779694436182,0.16,2.628,62.00827999999968,3032.786,0.08195366973992928,450172.89699999994
閉場前 2 時間,休場日,9759,0.398,1.4550687570447791,0.11,0.999,17.94086000000001,267.53499999999997,0.02500256173788298,14200.016
閉場前 2 時間,全曜日(約定 1 件),157279,0.518,2.952542380101603,0.202,2.0,33.85698000000001,1000.0,0.049796857813185484,464372.913
深夜 11 時から 2 時間,全曜日,88673,0.568,3.275782650863284,0.187,2.131,44.04756,1637.205,0.058676259966393376,290473.475
深夜 11 時から 2 時間,立会日,74280,0.67,3.5648449649973077,0.197,2.35125,47.56605000000003,1637.205,0.06455304254173398,264796.684
深夜 11 時から 2 時間,休場日,14393,0.394,1.7839776974918364,0.125,1.1099999999999999,23.42791999999999,500.0,0.028347113180018063,25676.791
深夜 11 時から 2 時間,全曜日(約定 1 件),139579,0.501,2.0810686063089716,0.227,1.845,24.236420000000013,1371.848,0.036094254866419734,290473.475
