window,day_type,n,median,mean,q25,q75,q99,max,share_ge_10,total_sz
開場後 2 時間,全曜日,394363,4.64,36.25479461815637,1.04,21.57,501.0076000000001,17276.32,0.3798657581973968,14297549.57
開場後 2 時間,立会日,373333,5.0,37.84409599472856,1.18,23.21,517.3091999999987,17276.32,0.39427267345774414,14128449.889999999
開場後 2 時間,休場日,21030,1.455,8.040878744650499,0.3,4.3,118.73709999999998,3849.2400000000002,0.12410841654778887,169099.68
開場後 2 時間,全曜日(約定 1 件),666313,4.4,21.45770766891836,1.3,18.8,228.2652000000002,4179.84,0.3606248114624808,14297549.57
昼 11 時から 2 時間,全曜日,158205,2.9,15.42144009354951,0.8,10.12,210.9715999999983,8112.93,0.25542176290256313,2439748.93
昼 11 時から 2 時間,立会日,137659,3.64,16.531577957125943,0.86,10.81,223.11840000000026,8112.93,0.2756812122709013,2275720.49
昼 11 時から 2 時間,休場日,20546,1.45,7.983473182127908,0.28,4.41,81.41,5000.0,0.11968266329212499,164028.44
昼 11 時から 2 時間,全曜日(約定 1 件),235254,2.72,10.370701157047277,0.82,9.13,118.56350000000006,5000.0,0.2239961913506253,2439748.93
閉場前 2 時間,全曜日,164192,2.39,28.982762680276746,0.6,12.53,480.22039999999805,11284.57,0.29251729682323135,4758737.77
閉場前 2 時間,立会日,147612,2.81,31.511412757770373,0.73,14.45,500.46,11284.57,0.31315204725903045,4651462.66
閉場前 2 時間,休場日,16580,0.98,6.47015138721351,0.23,4.0,88.70629999999997,1950.38,0.10880579010856453,107275.10999999999
閉場前 2 時間,全曜日(約定 1 件),249891,2.63,19.043253938717278,0.83,11.22,235.42600000000033,5188.2,0.2774009468128104,4758737.77
深夜 11 時から 2 時間,全曜日,152183,2.47,13.789188542741305,0.77,9.57,188.46319999999832,16154.0,0.23808835415256632,2098480.08
深夜 11 時から 2 時間,立会日,123471,2.86,14.928029253832884,0.8,10.3,200.0,16154.0,0.25793911120829993,1843178.7
深夜 11 時から 2 時間,休場日,28712,2.02,8.891800640847032,0.55,5.62,115.6601999999999,3818.8999999999996,0.15272359988854833,255301.37999999998
深夜 11 時から 2 時間,全曜日(約定 1 件),233691,2.34,8.979721427012594,0.83,7.64,100.0,4657.54,0.2015824315014271,2098480.08
