window,day_type,n,median,mean,q25,q75,q99,max,share_ge_10,total_sz
開場後 2 時間,全曜日,42940,0.162,1.610033022822543,0.068,0.666,26.388140000000217,990.169,0.031625523986958545,69134.818
開場後 2 時間,立会日,38829,0.17,1.703256586571892,0.068,0.732,28.426360000000074,990.169,0.03394370187231193,66135.75
開場後 2 時間,休場日,4111,0.136,0.7295227438579421,0.05,0.4035,9.2702,568.607,0.009729992702505474,2999.068
開場後 2 時間,全曜日(約定 1 件),101320,0.076,0.6823412751677852,0.049,0.238,13.704099999999976,218.979,0.013324121594946704,69134.818
昼 11 時から 2 時間,全曜日,25179,0.12,1.1638110330036937,0.05,0.44,20.70620000000007,380.292,0.020493268199690218,29303.598
昼 11 時から 2 時間,立会日,21828,0.112,1.2190734377863295,0.05,0.39,21.614229999999935,380.292,0.021577789994502473,26609.935
昼 11 時から 2 時間,休場日,3351,0.26,0.8038385556550283,0.044,0.5,14.373,201.927,0.01342882721575649,2693.6629999999996
昼 11 時から 2 時間,全曜日(約定 1 件),61616,0.054,0.47558423136847566,0.042,0.128,8.649849999999912,299.534,0.008439366398338094,29303.597999999998
閉場前 2 時間,全曜日,23716,0.108,0.9735338168325182,0.05,0.5,15.0,395.555,0.01640242874009108,23088.328
閉場前 2 時間,立会日,20719,0.105,1.0211712920507747,0.049999999999999996,0.5,15.0,395.555,0.017809739852309475,21157.648
閉場前 2 時間,休場日,2997,0.141,0.6442042042042041,0.051,0.46699999999999997,7.291479999999997,100.0,0.00667334000667334,1930.6799999999998
閉場前 2 時間,全曜日(約定 1 件),52002,0.069,0.44398923118341604,0.045,0.226,6.698,166.911,0.006115149417330103,23088.328
深夜 11 時から 2 時間,全曜日,102915,0.22399999999999998,2.603577369674003,0.059,0.903,50.0,2255.964,0.05192634698537628,267947.16500000004
深夜 11 時から 2 時間,立会日,93574,0.22999999999999998,2.6371488020176543,0.06,0.99,50.0,2255.964,0.052845875991194134,246768.562
深夜 11 時から 2 時間,休場日,9341,0.18,2.2672736323734073,0.048,0.496,50.0,542.369,0.04271491275024087,21178.603
深夜 11 時から 2 時間,全曜日(約定 1 件),219714,0.124,1.2195270442484323,0.048,0.438,19.191869999999994,600.0,0.02409040844006299,267947.16500000004
