window,day_type,n,median,mean,q25,q75,q99,max,share_ge_10,total_sz
開場後 2 時間,全曜日,1155899,0.32,2.352098348558135,0.084,1.297,32.882999999999996,1607.017,0.049692057870108025,2718788.1289999997
開場後 2 時間,立会日,1071682,0.352,2.4625153534350672,0.093,1.428,34.26537999999989,1607.017,0.05245585910745912,2639033.3789999997
開場後 2 時間,休場日,84217,0.1,0.9470148544830617,0.03,0.432,12.622,500.00000000000006,0.014522008620587293,79754.75
開場後 2 時間,全曜日(約定 1 件),2096819,0.257,1.2966250921038012,0.071,1.0,14.416820000000065,1034.087,0.0213976504409775,2718788.129
昼 11 時から 2 時間,全曜日,565719,0.216,1.6612460426466145,0.065,0.895,24.083639999999896,1370.0,0.03239947747910182,939798.4500000001
昼 11 時から 2 時間,立会日,493843,0.25,1.747880427585285,0.073,0.991,25.0,1370.0,0.03419710312791717,863178.514
昼 11 時から 2 時間,休場日,71876,0.106,1.066001669541989,0.027,0.45499999999999996,16.7765,522.396,0.02004841671768045,76619.936
昼 11 時から 2 時間,全曜日(約定 1 件),979406,0.198,0.9595596208314019,0.055,0.719,11.033949999999955,724.232,0.012861877505345077,939798.45
閉場前 2 時間,全曜日,470452,0.224,1.7053338491493286,0.051,0.955,23.83597999999998,2147.273,0.032054279713977195,802277.72
閉場前 2 時間,立会日,412054,0.257,1.8058506045324156,0.059,1.0,25.0,2147.273,0.03429647570464065,744107.965
閉場前 2 時間,休場日,58398,0.092,0.9960915613548408,0.027,0.463,13.19849999999994,706.817,0.016233432651803145,58169.75499999999
閉場前 2 時間,全曜日(約定 1 件),818575,0.193,0.9800906697614757,0.05,0.739,11.855,576.096,0.013485630516446263,802277.72
深夜 11 時から 2 時間,全曜日,1530615,0.37,3.230937344792779,0.091,1.441,50.0,9038.424,0.07406696001280531,4945321.164
深夜 11 時から 2 時間,立会日,1294899,0.4,3.404945228160652,0.1,1.594,50.0,9038.424,0.07904709170367727,4409060.171
深夜 11 時から 2 時間,休場日,235716,0.24,2.2750300912963057,0.061,1.0,40.0,1292.236,0.04670875120908211,536260.993
深夜 11 時から 2 時間,全曜日(約定 1 件),3160271,0.274,1.5648408519395962,0.07,1.091,17.655,6005.701,0.027998548225769245,4945321.164
