window,day_type,n,median,mean,q25,q75,q99,max,share_ge_10,total_sz
開場後 2 時間,全曜日,1079376,0.43,3.4205011173122246,0.099,1.979,50.0,2436.434,0.0707010346718845,3692006.814
開場後 2 時間,立会日,1043560,0.462,3.515418906435662,0.1,2.0060000000000002,50.0,2436.434,0.07282858676070375,3668550.5539999995
開場後 2 時間,休場日,35816,0.129,0.6549100960464596,0.032,0.344,8.259749999999919,676.442,0.008711190529372347,23456.259999999995
開場後 2 時間,全曜日(約定 1 件),2033003,0.354,1.8160360875020845,0.098,1.453,20.0,740.532,0.03419375180459645,3692006.8140000002
昼 11 時から 2 時間,全曜日,389257,0.274,1.7084849854980129,0.074,1.0,24.04744,1084.712,0.03072520211582579,665039.74
昼 11 時から 2 時間,立会日,354744,0.288,1.7996983430304672,0.08,1.057,25.0,1084.712,0.032640439302708435,638432.189
昼 11 時から 2 時間,休場日,34513,0.143,0.7709428621099296,0.04,0.408,10.131639999999926,1012.597,0.011039318517660011,26607.551
昼 11 時から 2 時間,全曜日(約定 1 件),653354,0.258,1.0178857709603064,0.083,0.82,11.668939999999944,388.479,0.013397025196141756,665039.74
閉場前 2 時間,全曜日,486162,0.302,2.575289989756501,0.077,1.322,40.0,1999.678,0.047934639070926974,1252008.132
閉場前 2 時間,立会日,454626,0.325,2.6973211144985108,0.08,1.412,41.1785,1999.678,0.05046125826503543,1226272.309
閉場前 2 時間,休場日,31536,0.145,0.8160775938609843,0.036,0.461,10.073400000000024,300.0,0.011510654490106544,25735.823
閉場前 2 時間,全曜日(約定 1 件),851669,0.276,1.470064229178237,0.085,1.048,17.55531999999995,744.067,0.024954530457255108,1252008.132
深夜 11 時から 2 時間,全曜日,435477,0.268,1.8021631934637192,0.074,1.01,25.0,2089.221,0.03503514536933064,784800.621
深夜 11 時から 2 時間,立会日,383503,0.292,1.9410467271442466,0.075,1.109,26.19471999999974,2089.221,0.03839083397000806,744397.243
深夜 11 時から 2 時間,休場日,51974,0.162,0.7773767268249511,0.066,0.496,10.0,1025.605,0.010274367953207374,40403.378000000004
深夜 11 時から 2 時間,全曜日(約定 1 件),772460,0.245,1.0159757411386998,0.08,0.825,11.352,1341.303,0.013730160785024467,784800.621
