dt,n_trade,n_row,vol,notional,px_open,px_close,px_min,px_max,px_med,sz_med,sz_p99,n_taker,buy_vol,sell_vol,n_liq,n_maker
2026-05-04,7410,7410,3783.18,3669636.64165,917.48,984.99,915.09,1008.0,981.8,0.02,9.429,331,2253.423,1529.757,20,213
2026-05-05,9060,9060,6375.884,6788708.95147,984.99,1097.0,984.99,1146.6,1062.9,0.05,11.426,435,3725.745,2650.139,211,258
2026-05-06,21649,21833,10353.34,11660327.0039,1097.1,1156.8,1080.0,1199.0,1138.5,0.033,8.666,603,5284.784,5068.556,110,380
2026-05-07,16387,16433,11038.47,12075088.4699,1156.2,1102.0,1019.8,1158.0,1105.8,0.019,9.96,571,4417.551,6620.919,12,365
2026-05-08,9500,9500,5968.206,7075420.0995000005,1068.9,1250.6,1060.8,1260.0,1206.0,0.041,9.8,471,3227.056,2741.15,23,277
2026-05-09,6982,6982,2902.334,3640998.908,1250.6,1260.9,1243.2,1260.9,1253.1,0.048,4.493,199,1711.888,1190.446,0,104
2026-05-10,2564,2564,3025.565,3800771.316,1260.9,1256.1,1235.9,1274.1,1255.3,0.082,15.536,184,804.652,2220.913,0,164
2026-05-11,15528,15528,11984.955,15595740.0699,1268.2,1329.0,1252.0,1362.8,1308.9,0.061,13.224,683,6409.695,5575.26,31,407
2026-05-12,32907,32974,19447.468,23792282.4401,1329.0,1195.2,1147.4,1344.4,1204.1,0.052,10.0,849,7824.215,11623.253,159,524
2026-05-13,37820,37820,12298.17,16200975.6472,1195.3,1338.0,1190.0,1388.0,1333.3,0.023,6.288,744,6537.303,5760.867,10,438
2026-05-14,15875,15878,7321.043,9600447.3954,1338.0,1319.9,1233.0,1348.4,1316.2,0.026,8.4,516,3047.897,4273.146,19,311
2026-05-15,24073,24312,10251.557,12723642.7807,1317.5,1222.7,1190.0,1336.4,1236.8,0.037,9.324,590,4138.851,6112.706,222,348
2026-05-16,8430,8430,1818.79,2183725.1871,1222.6,1211.7,1160.0,1237.0,1211.0,0.0095,4.202,225,841.738,977.052,23,187
2026-05-17,6264,6264,2583.196,3177596.0775,1212.2,1196.4,1184.2,1275.7,1230.55,0.067,6.953,257,1388.546,1194.65,1,182
