dt,n_trade,n_row,vol,notional,px_open,px_close,px_min,px_max,px_med,sz_med,sz_p99,n_taker,buy_vol,sell_vol,n_liq,n_maker
2026-05-04,1699,1699,7399.796,1162637.15319,156.9,154.07,152.5,162.22,157.36,0.85,65.717,132,4246.103,3153.693,0,94
2026-05-05,6697,6697,9438.468,1538706.10065,154.96,171.59,152.9,171.75,164.8,0.321,20.494,223,4047.167,5391.301,63,148
2026-05-06,4499,4509,21413.834,3980873.72161,171.59,196.91,171.59,200.05,185.39,0.81,78.771,352,12276.109,9137.725,136,194
2026-05-07,5183,5196,23124.841,4249016.8988499995,194.59,178.19,174.43,194.76,183.54,0.463,62.026,304,8479.552,14645.289,7,183
2026-05-08,4126,4126,12606.996,2408271.72007,176.78,206.04,176.78,207.4,193.36,0.394,56.0,270,7757.422,4849.574,2,176
2026-05-09,373,373,1014.523,209084.57732,206.66,207.4,203.09,207.4,206.19,0.4,40.156,95,510.873,503.65,0,72
2026-05-10,1131,1131,4452.462,896401.69616,207.4,197.76,195.52,207.4,199.15,0.483,50.0,143,1264.193,3188.269,0,122
2026-05-11,4126,4126,16178.761,3177867.85549,196.0,198.8,191.32,205.51,195.67,0.083,66.199,309,7635.18,8543.581,69,197
2026-05-12,9889,9929,33571.853,6181464.30856,199.0,177.82,174.62,199.37,183.55,0.212,61.098,449,13335.624,20236.229,71,272
2026-05-13,13345,13345,50446.005,9657152.45566,177.56,192.5,175.5,198.62,190.18,0.073,69.873,331,17456.344,32989.661,1,222
2026-05-14,6917,6923,18364.438,3616270.62917,192.5,196.94,191.55,202.09,196.8,0.161,45.747,285,10132.854,8231.584,0,164
2026-05-15,7638,7654,26103.37,4834842.76759,196.08,183.67,178.0,198.63,184.01,0.177,60.77,292,10339.584,15763.786,83,180
2026-05-16,3051,3051,1953.418,357417.40887,183.24,182.15,179.1,185.79,183.24,0.067,10.0,115,895.78,1057.638,0,88
2026-05-17,3903,3903,5248.862,961808.77595,182.15,180.31,179.0,190.53,184.79,0.067,23.854,142,2313.843,2935.019,0,119
2026-05-18,10361,10470,52468.669,9623442.00579,179.7,183.53,170.37,192.21,184.0,0.341,88.755,414,25055.092,27413.577,117,296
2026-05-19,12934,12939,23953.692,4392925.44789,183.58,186.46,176.04,194.58,184.44,0.079,40.0,277,12398.369,11555.323,47,204
2026-05-20,14615,14669,45162.236,8363269.4456899995,186.5,194.06,172.72,199.43,186.61,0.167,56.769,434,20018.641,25143.595,29,289
2026-05-21,7207,7207,18781.499,3715902.76371,195.08,201.99,193.32,207.0,197.54,0.122,40.607,308,9923.278,8858.221,0,216
2026-05-22,5519,5519,17190.896,3325655.87885,200.77,187.38,186.52,201.8,192.4,0.257,40.746,270,7855.801,9335.095,44,196
2026-05-23,4624,4624,7475.371,1401655.67117,187.3,195.2,180.5,197.7,185.715,0.318,20.0,202,3293.535,4181.836,19,138
2026-05-24,3196,3196,12499.464,2474711.2436100002,195.23,200.0,194.56,202.67,198.37,0.531,55.203,184,6228.676,6270.788,0,137
2026-05-25,7045,7045,40519.505,7672059.94704,199.13,197.51,162.0,203.97,199.13,0.99,68.866,461,21316.196,19203.309,665,343
2026-05-26,7181,7205,22686.17,4653692.90719,197.2,214.01,196.89,214.32,207.05,0.497,48.85,388,13371.048,9315.122,3,234
2026-05-27,9806,9808,27697.557,5763258.55595,214.02,203.7,200.0,214.28,205.29,0.493,33.024,368,10691.516,17006.041,2,236
2026-05-28,9844,9845,33844.674,6815872.43064,203.61,208.18,192.0,214.56,201.18,0.474,47.864,383,16170.535,17674.139,160,265
2026-05-29,8637,8675,20218.828,4231776.55863,208.12,213.05,204.27,215.0,209.04,0.08,40.0,254,11460.124,8758.704,2,181
2026-05-30,903,903,1921.441,415507.30125,212.6,216.24,212.6,218.48,216.99,0.556,25.0,97,1165.226,756.215,1,72
2026-05-31,2965,2965,8403.506,1809572.7884,215.88,214.7,209.93,220.71,217.42,0.549,36.0,171,3558.668,4844.838,1,139
2026-06-01,15564,15620,42631.882,10001914.80914,214.44,242.74,213.52,249.99,232.84,0.436,36.981,581,23863.975,18767.907,123,339
2026-06-02,38438,38683,61049.542,14645134.86357,242.51,250.22,228.59,252.21,242.47,0.5,20.0,589,31336.948,29712.594,6,393
2026-06-03,42725,43284,58105.902,14269615.43382,250.21,232.16,231.0,256.74,245.5,0.486,15.506,597,28001.729,30104.173,253,382
2026-06-04,54877,56288,87476.825,20110224.68541,231.99,220.01,218.86,242.81,230.0,0.653,14.769,593,33999.809,53477.016,270,375
2026-06-05,62185,64280,120059.527,25310058.25879,219.9,196.06,194.45,222.25,212.89,0.72,18.083,685,52018.015,68041.512,828,416
2026-06-06,3265,3265,9906.051,1912539.35158,195.99,192.54,192.54,196.14,193.2,0.411,45.906,184,6547.927,3358.1240000000003,0,98
2026-06-07,36888,36888,59675.347,11618200.00386,192.54,191.29,190.42,201.49,195.59,0.3,16.797,487,33320.509,26354.838,0,276
2026-06-08,54456,54964,107515.069,21496702.07309,191.18,205.0,190.3,209.68,201.82,0.5,22.567,640,56767.298,50747.771,56,335
2026-06-09,56568,57048,109560.031,22414608.3802,205.0,202.89,193.93,217.47,202.5,0.69,20.253,618,50403.71,59156.321,54,335
2026-06-10,57920,58091,122564.954,24224751.65775,202.88,190.38,188.0,208.61,198.14,0.731,20.586,459,57099.115,65465.839,91,289
2026-06-11,52932,53225,133690.24,27007272.11369,190.38,215.56,188.71,216.31,200.47,1.102,23.343,518,66333.263,67356.977,28,304
2026-06-12,44377,44481,112222.188,24224461.79739,215.43,218.07,207.42,223.8,216.12,1.427,20.444,507,56352.429000000004,55869.759,0,222
2026-06-13,9191,9191,12878.427,2807539.83769,218.07,219.83,216.11,220.57,217.95,0.974,7.274,127,5980.9619999999995,6897.465,0,63
2026-06-14,16668,16668,29628.578,6630103.24079,219.85,227.03,218.92,228.99,222.7,1.025,12.076,277,15223.75,14404.828,14,141
2026-06-15,31185,31185,78030.41,17643827.3197,227.27,228.45,220.82,230.79,226.23,1.359,21.944,418,40045.76,37984.65,0,205
