col,miss,mean,std,q0.001,q0.01,q0.25,q0.5,q0.75,q0.99,q0.999,min,max
bid,0.0,926.9818725585938,127.79381561279297,558.0499877929688,645.5,846.8599853515625,923.9299926757812,1003.0,1209.4000244140625,1241.300048828125,541.6500244140625,1254.300048828125
ask,0.0,927.1359252929688,127.81172943115234,558.3900146484375,645.7999877929688,846.9500122070312,924.0499877929688,1003.2000122070312,1209.699951171875,1241.5999755859375,543.0700073242188,1254.9000244140625
mid,0.0,927.0588989257812,127.80274963378906,558.219970703125,645.6599731445312,846.9000244140625,923.989990234375,1003.0499877929688,1209.5999755859375,1241.449951171875,542.364990234375,1254.5999755859375
spread_abs,0.0,0.1540648341178894,0.14367957413196564,0.009999999776482582,0.009999999776482582,0.05999999865889549,0.10999999940395355,0.20000000298023224,0.6299999952316284,1.190000057220459,0.009999999776482582,10.699999809265137
tick,0.0,0.03302089497447014,0.03926727548241615,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.009999999776482582,0.10000000149011612
spread_bp,0.0,1.6799776554107666,1.6396963596343994,0.10031548887491226,0.10187605023384094,0.6608584523200989,1.2445480823516846,2.298866033554077,7.5139899253845215,14.157445907592773,0.10000050067901611,99.37274932861328
spread_tick,0.0,10.339744567871094,12.46972942352295,1.0,1.0,2.0,6.0,15.0,55.0,101.0,1.0,895.0
bbo_age_s,0.0,0.5051619410514832,4.821905612945557,0.0,0.0,0.0,0.0,0.16076236963272095,8.684911727905273,46.54005813598633,0.0,3634.201416015625
bbo_turnover,0.0,6.214015483856201,2.963689088821411,0.0,0.4000000059604645,4.0,6.199999809265137,8.399999618530273,12.800000190734863,15.0,0.0,22.200000762939453
ofi_0.1s,0.0,0.0,35.72780990600586,-257.1369934082031,-102.80799865722656,-3.321000099182129,-0.0,3.321000099182129,102.80799865722656,257.1369934082031,-27611.74609375,27611.74609375
ofi_0.25s,0.0,-1.2413014517949177e-18,48.311641693115234,-313.531005859375,-140.95399475097656,-6.46999979019165,-0.0,6.46999979019165,140.95399475097656,313.531005859375,-27611.78125,27611.78125
ofi_0.5s,0.0,4.137671574914777e-18,67.59516906738281,-405.0669860839844,-198.86399841308594,-11.82800006866455,0.0,11.82800006866455,198.86399841308594,405.0669860839844,-27611.78125,27611.78125
ofi_1s,0.0,-8.275343356624707e-19,93.92689514160156,-539.2739868164062,-267.1449890136719,-18.874000549316406,-0.0,18.874000549316406,267.1449890136719,539.2739868164062,-27611.78125,27611.78125
ofi_10s,0.0,-4.965205889897732e-17,299.13519287109375,-1749.2159423828125,-846.0139770507812,-85.86100006103516,-0.0,85.86100006103516,846.0139770507812,1749.2159423828125,-27578.705078125,27578.705078125
aggr_0.1s,0.0,-1.5516268147436471e-19,14.935235023498535,-100.0,-13.23799991607666,0.0,0.0,0.0,13.23799991607666,100.0,-10457.09765625,10457.09765625
aggr_1s,0.0,-1.6550686713249413e-18,38.40780258178711,-310.95599365234375,-55.6609992980957,-0.07000000029802322,-0.0,0.07000000029802322,55.6609992980957,310.95599365234375,-10525.53515625,10525.53515625
aggr_10s,0.0,-1.9860823228718683e-17,133.46533203125,-1125.6739501953125,-292.7120056152344,-6.309000015258789,0.0,6.309000015258789,292.7120056152344,1125.6739501953125,-17395.7890625,17395.7890625
rv_60s_bp,0.0,88.55115509033203,2269.170166015625,0.11424946784973145,1.1199332475662231,6.9855451583862305,11.176505088806152,16.83543586730957,47.19236755371094,66307.296875,0.0,71151.359375
ofi_var_60s,0.0,7141.8681640625,70842.890625,0.061310768127441406,1.154711365699768,481.28570556640625,1743.784423828125,6238.62841796875,55525.296875,333691.59375,0.0,12730874.0
cancel_10s,0.0,18284.14453125,22439.60546875,11.12399959564209,153.92999267578125,4578.56591796875,11111.310546875,23289.181640625,114097.03125,182109.375,0.0,286623.65625
add_10s,0.0,18298.931640625,22495.099609375,10.890999794006348,153.41400146484375,4565.07080078125,11103.291015625,23300.75390625,114399.4453125,182740.078125,0.0,288065.96875
hour_utc,0.0,11.465765842076106,6.6801220581238985,0.0,0.0,6.0,12.0,17.0,23.0,23.0,0.0,23.0
is_us_session,0.0,0.34956437757861375,0.4768323885173713,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
is_weekend,0.0,0.11042913438250307,0.31342390154330596,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
quote_px,0.0,927.0588989257812,127.80279541015625,558.22998046875,645.6300048828125,846.9000244140625,923.989990234375,1003.0999755859375,1209.5999755859375,1241.4000244140625,541.6500244140625,1254.9000244140625
obi1,7.051598049926053e-6,-2.068850444063867e-19,0.7041809558868408,-0.9996359348297119,-0.997597336769104,-0.7129670977592468,0.0,0.7129670977592468,0.997597336769104,0.9996359348297119,-1.0,1.0
obi2,5.430867852967243e-6,-1.551635345043714e-19,0.7000570893287659,-0.9997161030769348,-0.9979737401008606,-0.701311469078064,-0.0,0.701311469078064,0.9979737401008606,0.9997161030769348,-1.0,1.0
obi4,4.151344013262919e-6,-1.0344221847281218e-19,0.6726864576339722,-0.9997496604919434,-0.9978607892990112,-0.643906831741333,-0.0,0.643906831741333,0.9978607892990112,0.9997496604919434,-1.0,1.0
obi10,3.497365161858486e-6,3.103264486232834e-19,0.6002190113067627,-0.9997338652610779,-0.9957405924797058,-0.49257269501686096,0.0,0.49257269501686096,0.9957405924797058,0.9997338652610779,-1.0,1.0
obi_l2,0.20341810292506826,-1.2985706811195672e-19,0.8710360527038574,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,-1.0,1.0
depth_own,3.269894257022162e-6,21.55963134765625,203.24114990234375,0.01100000087171793,0.021000001579523087,0.8610000610351562,3.3620002269744873,15.128000259399414,225.73101806640625,1605.882080078125,0.0,27613.166015625
depth_opp,3.269894257022162e-6,21.55963134765625,203.24114990234375,0.01100000087171793,0.021000001579523087,0.8610000610351562,3.3620002269744873,15.128000259399414,225.73101806640625,1605.882080078125,0.0,27613.166015625
depth_cum10,0.0,333.96258544921875,569.9933471679688,0.7100000381469727,2.7160000801086426,52.50400161743164,134.6790008544922,429.3060302734375,2252.6201171875,5149.59228515625,0.0,28746.048828125
queue_ahead_qty,0.0,16.71535873413086,133.7709197998047,0.007000000216066837,0.019999999552965164,0.7609999775886536,2.928999900817871,13.541000366210938,186.50799560546875,832.5050048828125,0.0010000000474974513,27611.74609375
queue_ahead_est_cnt,0.00012728418818747572,4.976572036743164,3047.63916015625,0.00004868479663855396,0.0001949556899489835,0.015828583389520645,0.07655446231365204,0.29132941365242004,10.823665618896484,129.6433563232422,8.055627063185966e-7,7604871.5
taker_rate_10s,0.0,2.810966730117798,11.198546409606934,0.0,0.0,0.019999999552965164,0.3303999900817871,1.913699984550476,40.234100341796875,133.43760681152344,0.0,1834.15771484375
tau_hat_s,0.0,inf,NaN,0.0011796372709795833,0.009912440553307533,1.5604405403137207,12.008830070495605,217.48226928710938,inf,inf,3.879526502714725e-6,inf
depth_own_cum10,0.0,166.98129272460938,359.4700622558594,0.01600000075995922,0.18700000643730164,14.539000511169434,55.647003173828125,204.49301147460938,1180.0,3448.01611328125,0.0,28686.623046875
fragility,0.0,82216400.0,50977128448.0,0.0052884542383253574,0.06509264558553696,1.837544322013855,9.711718559265137,40.17146682739258,5850.07763671875,83026.2890625,0.0,88365143687168.0
resilience,0.0,81568640.0,50966560768.0,0.00529474625363946,0.06565705686807632,1.8382169008255005,9.719114303588867,40.066505432128906,5763.13720703125,81375.3359375,0.0,89887709593600.0
touch_cancel_rate,0.0,2569.0576171875,25616.56640625,0.060632143169641495,0.9037349224090576,34.249820709228516,130.72683715820312,634.1814575195312,51828.54296875,208026.5,0.0,11556979.0
