coin,regime,name,h,n,fwd_bp,se,t,fwd_placebo_bp,fwd_all_bp,fwd_rv_bp
MU,1,R1 低ボラ/中立,10,3520457,-0.011817324968147675,0.007927461282615502,-1.4906821423476941,0.008627392563074213,0.0055209654495611315,2.875275164678749
MU,2,R2 低ボラ/上,10,995908,0.2783145576499597,0.025475517545370786,10.924785223864191,-0.007935489225963734,0.0055209654495611315,3.0139305669716636
MU,3,R3 低ボラ/下,10,953196,-0.2751398021775261,0.02424946366443378,-11.346222167423369,0.006766821489946466,0.0055209654495611315,3.066818153636113
MU,4,R4 高ボラ/上,10,694166,0.3422552445608368,0.04054001202013347,8.442406094770318,-0.000577638649208762,0.0055209654495611315,3.7891539378086803
MU,5,R5 高ボラ/下,10,690759,-0.29889278910618233,0.039673519160052455,-7.533810850012508,0.03813153671272589,0.0055209654495611315,3.804962285395266
MU,6,R6 高ボラ/両建て,10,1610905,0.023768503253011882,0.013230486872482392,1.7964949802752255,-0.0008118317731831124,0.0055209654495611315,3.797406636618798
MU,1,R1 低ボラ/中立,60,3520449,-0.07500046814095543,0.04210064930942272,-1.7814563283747091,0.04764659097921645,0.03308402178966733,8.186175793189072
MU,2,R2 低ボラ/上,60,995882,0.5182525857269626,0.06348450561255198,8.16344997454773,-0.00657250527253529,0.03308402178966733,8.509825714023568
MU,3,R3 低ボラ/下,60,953196,-0.48625126661016127,0.05749842465619663,-8.45677545980832,0.07025348855913846,0.03308402178966733,8.614570070526462
MU,4,R4 高ボラ/上,60,694156,0.7814162357553249,0.11969097397468136,6.5286145630381505,0.004605157005982862,0.03308402178966733,10.031354516405498
MU,5,R5 高ボラ/下,60,690759,-0.37303980604900955,0.09474021496801796,-3.9375022124969727,0.05996149770187811,0.03308402178966733,10.073986815208073
MU,6,R6 高ボラ/両建て,60,1610899,0.11190397693214836,0.07295865215449837,1.5337999487049017,0.012085520291215806,0.03308402178966733,10.094354478489414
MU,1,R1 低ボラ/中立,300,3520361,-0.07146035775285123,0.21047937887875326,-0.33951239372487885,0.1645816600428271,0.16480255523699266,19.695046161687753
MU,2,R2 低ボラ/上,300,995862,0.6417347776966401,0.20871337123397507,3.0747180877895586,0.08735652824461432,0.16480255523699266,20.318837798132748
MU,3,R3 低ボラ/下,300,953150,-0.4030385283514394,0.2046181222140954,-1.9697108153975402,0.11018115947968542,0.16480255523699266,20.536654708159634
MU,4,R4 高ボラ/上,300,694138,1.112679247418528,0.3510146195008828,3.1698943166546076,0.1978441258837474,0.16480255523699266,22.660102453099295
MU,5,R5 高ボラ/下,300,690736,-0.041676618988365804,0.33424550122684515,-0.12468864602632539,0.18861413544403294,0.16480255523699266,22.718930161703245
MU,6,R6 高ボラ/両建て,300,1610854,0.3224324670810747,0.3210866254374715,1.0041915219662902,0.23885467399106258,0.16480255523699266,23.01663827806422
