dt,day_type,kappa_売り,kappa_買い,t_half_売り,t_half_買い,n_売り,n_買い,asym
2026-05-04,立会日,1.4361963076678699,1.2622125991636552,482.62778972243547,549.1524811424209,5380,9395,-0.06447640610129267
2026-05-05,立会日,1.2736356610655546,1.3263889636490838,544.227209153287,522.5821608648283,11654,11538,0.020289539599771683
2026-05-06,立会日,1.4222738665741317,1.28045685393835,487.3516093959324,541.3280255621312,13324,20601,-0.052471750722132914
2026-05-07,立会日,1.2494868185956107,1.220103835741454,554.7455051193533,568.1050745477917,9568,11725,-0.01189791628120827
2026-05-08,立会日,1.3430450482930354,1.3403211722702926,516.1012145057322,517.1500644027456,10235,11019,-0.0010150966356619743
2026-05-09,閉場日,1.131904606014829,1.294995513561141,612.3724356952255,535.2506459296008,210,218,0.06720132659386387
2026-05-10,閉場日,1.1470753718792557,1.1442044391002475,604.2737427801928,605.7912094706907,1590,1548,-0.0012529821828181184
2026-05-11,立会日,1.3075779165745545,1.2776580892570837,530.1000971137339,542.5138277510439,13147,11705,-0.011573344657887799
2026-05-12,立会日,1.335047156702724,1.2825555403452036,519.1930347929328,540.4422333684922,12588,16562,-0.020053316882932336
2026-05-13,立会日,1.3141871013028557,1.2832152380472135,527.4341681430101,540.1643933209295,13271,11627,-0.011924168538091041
2026-05-14,立会日,1.2985134802055678,1.2856216954726398,533.8005273924557,539.1533040378583,8323,10964,-0.004988819801016988
2026-05-15,立会日,1.2993773404603897,1.2955709249205283,533.4456427525143,535.0129176468993,8517,13796,-0.001466856041271649
2026-05-16,閉場日,1.7848343295601996,1.9603774433848502,388.3538103613147,353.57843097966645,1048,1503,0.04687134519141281
2026-05-17,閉場日,1.6757926765438613,1.8015385604234389,413.6241308674847,384.7528972108296,1018,2001,0.03616160650523613
2026-05-18,立会日,1.323588617034154,1.7302167892129774,523.6877770323551,400.61291013770244,7311,9618,0.13315457866011673
