dt,day_type,kappa_買い,kappa_売り,t_half_買い,t_half_売り,n_買い,n_売り,asym
2026-05-04,立会日,1.3394928690335242,1.3718120410376704,517.4698548862507,505.2785365811724,13539,15189,-0.011920153976078476
2026-05-05,立会日,1.3663108623652902,1.3283881701330942,507.3129400142534,521.7956691612494,16663,17126,0.014073071528524682
2026-05-06,立会日,1.290155933288613,1.3040892040191459,537.258452777185,531.5182276094909,21001,20902,-0.005370838140990965
2026-05-07,立会日,1.5201055664664986,1.6092773276196606,455.9862129649148,430.71953395702405,20723,21717,-0.028494998589554774
2026-05-08,立会日,1.5681395286927986,1.6413673504503987,442.0188177628255,422.2986329335376,18109,18464,-0.02281591051680464
2026-05-09,閉場日,1.7290410461982422,1.267219327302283,400.88532431547196,546.9874435134847,769,798,0.15413270588243766
2026-05-10,閉場日,1.1319046060048197,1.131904606007575,612.3724357006405,612.37243569915,1652,2329,-1.2171306167914064e-12
2026-05-11,立会日,1.393073032245091,1.5462259450253995,497.56700798583546,448.28324268518156,28313,25749,-0.05210525161429144
2026-05-12,立会日,1.3902510071483596,1.4649111825555892,498.57700496910036,473.16676851909756,24112,25016,-0.026149188888975546
2026-05-13,立会日,1.373341604413024,1.487943841598185,504.7157812104318,465.84236805639796,21352,20708,-0.040052710345597584
2026-05-14,立会日,1.3695175559195532,1.3789582393538935,506.12508455711554,502.66002513171213,25558,23586,-0.0034348795978394603
2026-05-15,立会日,1.4790710827893094,1.4173858715905028,468.63682797480993,489.0320938377482,29938,31197,0.021296781609521507
2026-05-16,閉場日,1.1470314384247913,1.183768500942341,604.2965845049883,585.5428489676522,1799,1813,-0.015761568334142315
2026-05-17,閉場日,1.2672767936343323,1.2995537507107526,546.958179449214,533.3739713675755,3452,3390,-0.012574634951079572
2026-05-18,立会日,1.6922989174497851,1.6627960880112571,409.5890961979253,416.85639403035157,32916,33078,0.008793440838636953
2026-05-19,立会日,1.691195437312462,1.7351264890365499,409.8563449659312,399.47933763885055,32941,31791,-0.012821635756479977
2026-05-20,立会日,1.4577877366395682,1.5016637472248344,475.47881158457227,461.5861452611634,28173,29985,-0.014825723896636982
2026-05-21,立会日,1.553020754492593,1.5915178360854252,446.321906186138,435.5258802082989,29620,29084,-0.012242521592255565
2026-05-22,立会日,1.6412245642692964,1.484033063691079,422.33536814539895,467.0699039790619,22037,20505,0.05029713364168466
2026-05-23,閉場日,1.3384066478823788,1.3014685062716718,517.8898235758046,532.5885161413626,3664,3475,0.013992382008134747
2026-05-24,閉場日,1.2957633550964724,1.2949797141178863,534.9334643811862,535.2571729895001,3475,3724,0.00030247730386627074
2026-05-25,閉場日,1.3177768111026107,1.2774745471013966,525.9974387765822,542.591773849979,4586,4955,0.015529233372255879
2026-05-26,立会日,1.5997752656094686,1.5005740715130687,433.27784562031974,461.92135229709515,23427,24786,0.03199677949468413
2026-05-27,立会日,1.4474285143314751,1.3772396566026905,478.8818056966977,503.28726539124494,19899,21061,0.02484853210406373
2026-05-28,立会日,1.4650361652954231,1.5322937822901068,473.1263289196042,452.35919415139466,20846,20309,-0.02243917692440314
2026-05-29,立会日,1.852075958234906,1.8872321387479216,374.25418621628194,367.282416749953,16919,16570,-0.00940178760380361
2026-05-30,閉場日,1.185803075426658,1.2174031187660028,584.5396854577216,569.369105483955,2300,1370,-0.01314911862981472
2026-05-31,閉場日,1.2265162343806737,1.131904606010203,565.1349416585164,612.3724356977282,2005,1047,0.040116516420703845
2026-06-01,立会日,1.6532910904754052,1.7896983245166667,419.25295923442235,387.2983346213611,24178,29341,-0.03961883630756836
2026-06-02,立会日,1.7760604320335622,1.7619129650507241,390.27229482630963,393.40602760136346,22861,22337,0.003998748830191118
2026-06-03,立会日,1.8066970258810007,1.7855495458447426,383.65435505344306,388.1982340803826,27404,25490,0.005886978973745304
2026-06-04,立会日,1.6687824114183647,1.7806919458342678,415.36102958492467,389.2572111305424,26725,25094,-0.03244248915218334
2026-06-05,立会日,1.6397163584281211,1.771909952523597,422.7238308608545,391.1864609856527,26661,29426,-0.03874797004323688
2026-06-06,閉場日,1.2347227316657572,1.2353495428153018,561.3788142267585,561.0939710070207,6600,6811,-0.0002537622708535308
2026-06-07,閉場日,1.2154280233758328,1.301376210575317,570.2906031693589,532.6262925278368,4823,7360,-0.034149730853143705
2026-06-08,立会日,1.6858743733174963,1.6831495611346277,411.14995965596177,411.815560877839,33124,30971,0.0008087838602167125
2026-06-09,立会日,1.5125834791325645,1.8025320132703722,458.25383532382017,384.54084418361737,26331,29620,-0.08746257401959791
2026-06-10,立会日,1.5430839068384694,1.4982683172311049,449.1960411774371,462.6322085465623,36564,35890,0.014735415797186973
2026-06-11,立会日,1.8084597174796428,1.8006204736742566,383.28041012183974,384.949072108207,36442,36367,0.002172089116944747
