metric,side,day_type,hor,hor_ms,x_form,y_kind,n,beta,r,r2,t
kappa_depth,売り,立会日,10ms,10,log1p,二乗,2029528,-8.963942228059763e-14,-0.0008337201137073406,6.950892280001809e-7,-1.1877300371340722
kappa_depth,売り,立会日,20ms,20,log1p,二乗,2029528,-2.9224363166927334e-13,-0.0013656744722670277,1.8650667642018245e-6,-1.9455612427652165
kappa_depth,売り,立会日,50ms,50,log1p,二乗,2029528,3.7237879568054365e-11,0.0010670244715246739,1.1385412228325095e-6,1.5200992219718579
kappa_depth,売り,立会日,100ms,100,log1p,二乗,2029528,1.289267569878077e-6,0.0003735407994346302,1.3953272884226262e-7,0.5321516142510001
kappa_depth,売り,立会日,500ms,500,log1p,二乗,2029524,4.487795361352519e-6,0.000650612212993091,4.232962516957672e-7,0.9268707671425546
kappa_depth,売り,立会日,1s,1000,log1p,二乗,2029520,0.000023186792709803392,0.0023912725548682935,5.718184431666336e-6,3.406644183386516
kappa_depth,売り,立会日,3s,3000,log1p,二乗,2029491,2.9495712823827898e-6,0.00037459164410612447,1.403188998341294e-7,0.5336437984881685
kappa_depth,売り,立会日,5s,5000,log1p,二乗,2029462,9.165176710404879e-6,0.001084365655550813,1.1758488749381443e-6,1.5447786455374182
kappa_depth,売り,立会日,10s,10000,log1p,二乗,2029408,0.000010416634494827518,0.0011249617573687715,1.2655389555422347e-6,1.6025902782337336
kappa_depth,売り,立会日,30s,30000,log1p,二乗,2029197,5.756761965263951e-6,0.0007451158753010873,5.551976676257056e-7,1.0614164859498783
kappa_depth,売り,立会日,50s,50000,log1p,二乗,2028974,5.870366205537743e-6,0.0006426931721946571,4.130545135856312e-7,0.9154651215147961
kappa_depth,売り,立会日,100s,100000,log1p,二乗,2028462,8.066167761193436e-6,0.0011011947945059899,1.2126299754470892e-6,1.568366788347532
kappa_depth,売り,立会日,10ms,10,log1p,符号つき,2029528,-3.0221118806469165e-10,-0.0008238764585229866,6.787724189083784e-7,-1.173706610412349
kappa_depth,売り,立会日,20ms,20,log1p,符号つき,2029528,-9.849515499076255e-10,-0.0011002155162988555,1.2104741823047572e-6,-1.5673837434011624
kappa_depth,売り,立会日,50ms,50,log1p,符号つき,2029528,-1.863483315120106e-9,-0.00018685517364016378,3.491485591609576e-8,-0.2661965633550857
kappa_depth,売り,立会日,100ms,100,log1p,符号つき,2029528,3.4346767385899957e-6,0.0014911749730580433,2.223602800274656e-6,2.12435160264491
kappa_depth,売り,立会日,500ms,500,log1p,符号つき,2029524,-4.781300248265473e-6,-0.0010393828465386195,1.0803167016787234e-6,-1.4807190421041991
kappa_depth,売り,立会日,1s,1000,log1p,符号つき,2029520,1.512064534919408e-6,0.0002477349572097631,6.137260902372316e-8,0.3529260862630952
kappa_depth,売り,立会日,3s,3000,log1p,符号つき,2029491,5.2067453775251784e-6,0.0010083254897429738,1.016720293265408e-6,1.4364625818950996
kappa_depth,売り,立会日,5s,5000,log1p,符号つき,2029462,2.3085465914449936e-6,0.0004041135670809451,1.633077750988855e-7,0.5756966661157012
kappa_depth,売り,立会日,10s,10000,log1p,符号つき,2029408,7.619974297927098e-6,0.0012442202433056704,1.5480840138516217e-6,1.7724829617865683
kappa_depth,売り,立会日,30s,30000,log1p,符号つき,2029197,4.1350667932691224e-6,0.0007322911354871977,5.362503071131293e-7,1.043147652763963
kappa_depth,売り,立会日,50s,50000,log1p,符号つき,2028974,6.518800116983394e-6,0.0009771239424312865,9.5477119887246e-7,1.3918354351384479
kappa_depth,売り,立会日,100s,100000,log1p,符号つき,2028462,0.000013061786826506311,0.002085784830268449,4.350498358177982e-6,2.9706649579052864
kappa_depth,売り,立会日,10ms,10,log1p,絶対値,2029528,-3.85294281287849e-10,-0.001050374884028768,1.1032873969984476e-6,-1.4963799410944656
kappa_depth,売り,立会日,20ms,20,log1p,絶対値,2029528,-1.3118443660623692e-9,-0.0014653722187171997,2.1473157393881683e-6,-2.087592508462972
kappa_depth,売り,立会日,50ms,50,log1p,絶対値,2029528,4.5514030918349676e-8,0.00456451802391788,0.000020834824790671187,6.502745545787159
kappa_depth,売り,立会日,100ms,100,log1p,絶対値,2029528,3.0972868778340015e-6,0.0013447517368134,1.8083572336626556e-6,1.9157543318194084
kappa_depth,売り,立会日,500ms,500,log1p,絶対値,2029524,0.000020304597412562132,0.0044159536225981035,0.000019500646396937315,6.2910859689532135
kappa_depth,売り,立会日,1s,1000,log1p,絶対値,2029520,0.00003655086563030097,0.0059924551464498295,0.00003590951868221305,8.537073953129497
kappa_depth,売り,立会日,3s,3000,log1p,絶対値,2029491,0.00003201764954139279,0.006220817960127751,0.00003869857609304799,8.86235713204109
kappa_depth,売り,立会日,5s,5000,log1p,絶対値,2029462,0.000042642061775161324,0.007499680901114975,0.00005624521361854873,10.684279659245023
kappa_depth,売り,立会日,10s,10000,log1p,絶対値,2029408,0.00006277017803606518,0.010336246989121582,0.00010683800182012497,14.725516926911855
kappa_depth,売り,立会日,30s,30000,log1p,絶対値,2029197,0.00010176533361223495,0.018589057284460864,0.0003455530507249675,26.484654168570106
kappa_depth,売り,立会日,50s,50000,log1p,絶対値,2028974,0.00012757291318672205,0.01985652678969137,0.0003942816561497311,28.28960913186027
kappa_depth,売り,立会日,100s,100000,log1p,絶対値,2028462,0.0001839806190156676,0.032198525383250895,0.0010367450368558523,45.88222281764616
kappa_depth,売り,立会日,10ms,10,生,二乗,2029528,-1.199720144964905e-14,-0.0005821985991612852,3.389552088653628e-7,-0.8294086100356635
kappa_depth,売り,立会日,20ms,20,生,二乗,2029528,-4.6341874768047553e-14,-0.0011299148311805136,1.2767075257216887e-6,-1.6096938920003159
kappa_depth,売り,立会日,50ms,50,生,二乗,2029528,3.8890696013387e-12,0.0005814402963935147,3.380728182701782e-7,0.8283283204948162
kappa_depth,売り,立会日,100ms,100,生,二乗,2029528,4.758399715783443e-7,0.0007193262032044435,5.174301866165203e-7,1.0247626848673164
kappa_depth,売り,立会日,500ms,500,生,二乗,2029524,1.105984494890526e-6,0.0008365814830003829,6.9986857769912e-7,1.1918052146396114
kappa_depth,売り,立会日,1s,1000,生,二乗,2029520,4.24658548522247e-6,0.002285063325182476,5.221514400093994e-6,3.2553360495883026
kappa_depth,売り,立会日,3s,3000,生,二乗,2029491,6.995579701404905e-7,0.00046354691129148786,2.1487573896787853e-7,0.6603696255181041
kappa_depth,売り,立会日,5s,5000,生,二乗,2029462,1.944244565695826e-6,0.0012002084313595836,1.4405002787066323e-6,1.7098075642723198
kappa_depth,売り,立会日,10s,10000,生,二乗,2029408,1.8773264603858918e-6,0.0010578446313842494,1.1190352641484785e-6,1.5069769144152683
kappa_depth,売り,立会日,30s,30000,生,二乗,2029197,1.1828073199168087e-6,0.0007987929826427876,6.380702291193607e-7,1.1378794948200306
kappa_depth,売り,立会日,50s,50000,生,二乗,2028974,1.4366914495837244e-6,0.0008206924252310987,6.735360568317026e-7,1.1690110011233275
kappa_depth,売り,立会日,100s,100000,生,二乗,2028462,1.564137375516236e-6,0.001114195323946803,1.2414312199049214e-6,1.5868826984047488
kappa_depth,売り,立会日,10ms,10,生,符号つき,2029528,-3.7674997781775596e-11,-0.0005358889047465314,2.8717691823043695e-7,-0.7634351246339044
