metric,side,day_type,hor,hor_ms,x_form,y_kind,n,beta,r,r2,t
kappa_depth,売り,立会日,10ms,10,log1p,二乗,3191712,1.9266401524337233e-12,0.003113286917499332,9.692555430672492e-6,5.562025345478679
kappa_depth,売り,立会日,20ms,20,log1p,二乗,3191712,1.904941907120698e-12,0.0029628939216557212,8.778740390984419e-6,5.293339160557718
kappa_depth,売り,立会日,50ms,50,log1p,二乗,3191712,5.495596735044282e-12,0.0023667293833631135,5.601407974074344e-6,4.22825850532542
kappa_depth,売り,立会日,100ms,100,log1p,二乗,3191710,2.5373948886117004e-10,0.012563635346227382,0.00015784493311297402,22.44714836695584
kappa_depth,売り,立会日,500ms,500,log1p,二乗,3191694,2.844081337386111e-9,0.0006921910774484512,4.791284876992477e-7,1.2366209176057408
kappa_depth,売り,立会日,1s,1000,log1p,二乗,3191683,1.500297624811456e-8,0.0017624501135011462,3.106230402580203e-6,3.1486707279582893
kappa_depth,売り,立会日,3s,3000,log1p,二乗,3191631,3.4391159660763475e-8,0.005224914933099802,0.00002729973605812931,9.334506307437563
kappa_depth,売り,立会日,5s,5000,log1p,二乗,3191578,5.843299274531954e-8,0.006499354545712445,0.00004224160951087302,11.611330770281608
kappa_depth,売り,立会日,10s,10000,log1p,二乗,3191430,1.1328388817837637e-7,0.015470159595101056,0.00023932583789789725,27.640079936805886
kappa_depth,売り,立会日,30s,30000,log1p,二乗,3190929,3.3472495764417565e-7,0.03147236823350684,0.0009905099622254505,56.247477602031545
kappa_depth,売り,立会日,50s,50000,log1p,二乗,3190396,5.073915849628332e-7,0.008283461961260435,0.00006861574206364857,14.796157392178907
kappa_depth,売り,立会日,100s,100000,log1p,二乗,3189209,1.1075631591764222e-6,0.041177406293486526,0.0016955787890588637,73.59847991774718
kappa_depth,売り,立会日,10ms,10,log1p,符号つき,3191712,-6.983733380585368e-10,-0.0003712595851593853,1.3783367957271885e-7,-0.663268568579539
kappa_depth,売り,立会日,20ms,20,log1p,符号つき,3191712,-1.272576976800632e-9,-0.0006438785255531713,4.145795556685258e-7,-1.1503122455238097
kappa_depth,売り,立会日,50ms,50,log1p,符号つき,3191712,-5.994794326654058e-9,-0.0011834916312341126,1.4006524412011806e-6,-2.1143515943897975
kappa_depth,売り,立会日,100ms,100,log1p,符号つき,3191710,-2.661481007467443e-7,-0.006182688919088926,0.000038225642270224995,-11.045802467007732
kappa_depth,売り,立会日,500ms,500,log1p,符号つき,3191694,-2.1625203429668715e-6,-0.012096448688835618,0.00014632407088163295,-21.612258394452915
kappa_depth,売り,立会日,1s,1000,log1p,符号つき,3191683,-2.7899937772204426e-6,-0.009529050948731722,0.00009080281198352493,-17.02468584247238
kappa_depth,売り,立会日,3s,3000,log1p,符号つき,3191631,-9.952538063149505e-7,-0.0019053571082952388,3.630385710131194e-6,-3.4039515828676308
kappa_depth,売り,立会日,5s,5000,log1p,符号つき,3191578,2.1811829425769727e-6,0.003153906200795675,9.947124323417409e-6,5.634475934296357
kappa_depth,売り,立会日,10s,10000,log1p,符号つき,3191430,3.150050316305991e-6,0.003176544391495841,0.000010090434271143682,5.674788049747437
kappa_depth,売り,立会日,30s,30000,log1p,符号つき,3190929,3.232945313965159e-6,0.0018387706746804961,3.381077594064967e-6,3.284632134926958
kappa_depth,売り,立会日,50s,50000,log1p,符号つき,3190396,4.628385414964386e-6,0.002020348484730287,4.081807999751967e-6,3.6086879759036425
kappa_depth,売り,立会日,100s,100000,log1p,符号つき,3189209,6.050828729305486e-6,0.0018649787595470255,3.4781457735615622e-6,3.3305503193350074
kappa_depth,売り,立会日,10ms,10,log1p,絶対値,3191712,7.862529433258828e-9,0.004179970045150488,0.000017472149578355376,7.467731174878598
kappa_depth,売り,立会日,20ms,20,log1p,絶対値,3191712,7.95823417314649e-9,0.004026790571627586,0.000016215042307748823,7.194063655981468
kappa_depth,売り,立会日,50ms,50,log1p,絶対値,3191712,2.458861685956572e-8,0.0048555978191014044,0.000023576830180862317,8.674801373195924
kappa_depth,売り,立会日,100ms,100,log1p,絶対値,3191710,1.387385974873187e-6,0.03328136642301832,0.0011076493509832113,59.491289297397984
kappa_depth,売り,立会日,500ms,500,log1p,絶対値,3191694,8.934537742693803e-6,0.057280746005487077,0.0032810838629451235,102.50210935801137
kappa_depth,売り,立会日,1s,1000,log1p,絶対値,3191683,0.000013663860404460426,0.054394821548812415,0.0029587966113271474,97.32193660696959
kappa_depth,売り,立会日,3s,3000,log1p,絶対値,3191631,0.00002325284715722152,0.056319591648464326,0.0031718964034497727,100.7756392588011
kappa_depth,売り,立会日,5s,5000,log1p,絶対値,3191578,0.000030477118389587657,0.0567409077343771,0.003219530610521095,101.5311054286436
kappa_depth,売り,立会日,10s,10000,log1p,絶対値,3191430,0.00004545147071560136,0.060540464997566434,0.003665147902121567,108.35167181957333
kappa_depth,売り,立会日,30s,30000,log1p,絶対値,3190929,0.00007922091169839137,0.06079782369224894,0.0036963753657137865,108.8054408315159
kappa_depth,売り,立会日,50s,50000,log1p,絶対値,3190396,0.00010135305297548307,0.06000067043641037,0.0036000804528187294,107.36467682329004
kappa_depth,売り,立会日,100s,100000,log1p,絶対値,3189209,0.0001432112483980493,0.06048464305010006,0.0036583920448980175,108.21372398014991
kappa_depth,売り,立会日,10ms,10,生,二乗,3191712,4.16510638237197e-14,0.00421497140524485,0.00001776598394703175,7.530264008751497
kappa_depth,売り,立会日,20ms,20,生,二乗,3191712,4.1486043292369346e-14,0.004040976993630008,0.000016329495063047017,7.219408824740156
kappa_depth,売り,立会日,50ms,50,生,二乗,3191712,4.791861880865902e-14,0.0012923734637178006,1.6702291697219452e-6,2.308873328511399
kappa_depth,売り,立会日,100ms,100,生,二乗,3191710,1.9194439427710146e-12,0.005951859854925235,0.00003542463573267064,10.633395445326235
kappa_depth,売り,立会日,500ms,500,生,二乗,3191694,2.3275693676021347e-11,0.00035476194714881027,1.2585603914481526e-7,0.6337931554109589
kappa_depth,売り,立会日,1s,1000,生,二乗,3191683,5.321253661494964e-11,0.0003914753819451567,1.5325297466910633e-7,0.6993816428862092
kappa_depth,売り,立会日,3s,3000,生,二乗,3191631,2.0336568502591872e-10,0.0019349240146860297,3.743930942608703e-6,3.4567735401265134
kappa_depth,売り,立会日,5s,5000,生,二乗,3191578,3.41646551145367e-10,0.002379774473294979,5.663326543746395e-6,4.25147497252831
kappa_depth,売り,立会日,10s,10000,生,二乗,3191430,7.823677779621478e-10,0.0066908754436910125,0.0000447678142029874,11.953227687780934
kappa_depth,売り,立会日,30s,30000,生,二乗,3190929,2.0515563756659846e-9,0.012079240394850506,0.00014590804851658822,21.57892197477064
kappa_depth,売り,立会日,50s,50000,生,二乗,3190396,3.327217207801864e-9,0.0034013632368832037,0.000011569271869220586,6.075439291844769
kappa_depth,売り,立会日,100s,100000,生,二乗,3189209,7.206470397319688e-9,0.016776042808482973,0.0002814356123120533,29.96346275530859
kappa_depth,売り,立会日,10ms,10,生,符号つき,3191712,6.377307927154493e-12,0.00021231340048472608,4.507698002538768e-8,0.37930548954922194
kappa_depth,売り,立会日,20ms,20,生,符号つき,3191712,2.169672538432449e-12,0.00006874863281421234,4.726374513823394e-9,0.12282189084529535
kappa_depth,売り,立会日,50ms,50,生,符号つき,3191712,-1.6283823169155758e-11,-0.0002013247998077801,4.053167501764274e-8,-0.3596739602945356
kappa_depth,売り,立会日,100ms,100,生,符号つき,3191710,4.003621036448329e-10,0.0005824477718304537,3.392454069102602e-7,1.040563619642922
kappa_depth,売り,立会日,500ms,500,生,符号つき,3191694,3.211062939860367e-9,0.0011248559681694607,1.265300949126455e-6,2.009591009828009
kappa_depth,売り,立会日,1s,1000,生,符号つき,3191683,7.485320999377233e-9,0.0016010611772244135,2.5633968932152247e-6,2.860343708741184
kappa_depth,売り,立会日,3s,3000,生,符号つき,3191631,3.1734889215970545e-8,0.0038048133870246486,0.000014476604910081979,6.797398100641332
kappa_depth,売り,立会日,5s,5000,生,符号つき,3191578,4.7568301450814313e-8,0.004307457353577777,0.000018554188852891268,7.69533641812167
kappa_depth,売り,立会日,10s,10000,生,符号つき,3191430,7.142600505654982e-8,0.004510650110607706,0.00002034596442032531,8.058163666922995
kappa_depth,売り,立会日,30s,30000,生,符号つき,3190929,7.256872643622175e-8,0.0025846012612140215,6.680163679469111e-6,4.616931561544679
kappa_depth,売り,立会日,50s,50000,生,符号つき,3190396,9.149331634222637e-8,0.0025008599837800555,6.254300658472379e-6,4.466968557321779
kappa_depth,売り,立会日,100s,100000,生,符号つき,3189209,9.901827203228772e-8,0.0019109565189121371,3.6517548171727933e-6,3.4126594548007345
kappa_depth,売り,立会日,10ms,10,生,絶対値,3191712,1.5006846785996644e-10,0.004996320950531151,0.0000249632230407165,8.926217430408846
kappa_depth,売り,立会日,20ms,20,生,絶対値,3191712,1.5229067017743167e-10,0.004825758911922499,0.00002328794907599942,8.621491224909791
kappa_depth,売り,立会日,50ms,50,生,絶対値,3191712,2.1577344655124883e-10,0.0026684348328543813,7.12054445719059e-6,4.767271208687628
kappa_depth,売り,立会日,100ms,100,生,絶対値,3191710,7.348891904154484e-9,0.011040168696344728,0.00012188532484375005,19.72485204719994
kappa_depth,売り,立会日,500ms,500,生,絶対値,3191694,4.813187987917098e-8,0.019325013880565078,0.00037345616148403294,34.531179431999995
kappa_depth,売り,立会日,1s,1000,生,絶対値,3191683,7.293863166126798e-8,0.01818414285962808,0.0003306630515393629,32.4918461559051
kappa_depth,売り,立会日,3s,3000,生,絶対値,3191631,1.337137690179743e-7,0.02028211906496532,0.00041136435376542966,36.24172612864962
kappa_depth,売り,立会日,5s,5000,生,絶対値,3191578,1.7527403918006318e-7,0.020435564283788083,0.00041761228759683517,36.51572535046849
kappa_depth,売り,立会日,10s,10000,生,絶対値,3191430,2.623747322660528e-7,0.021885937885109164,0.0004789942771108566,39.10765047464111
kappa_depth,売り,立会日,30s,30000,生,絶対値,3190929,4.297908193938261e-7,0.020654760909032212,0.00042661914820928517,36.90381508406143
kappa_depth,売り,立会日,50s,50000,生,絶対値,3190396,5.490211600911706e-7,0.020352210650126205,0.0004142124783471105,36.35998645045034
kappa_depth,売り,立会日,100s,100000,生,絶対値,3189209,8.023201966133501e-7,0.02121739925363687,0.0004501780310882304,37.89930796999031
kappa_depth,売り,閉場日,10ms,10,log1p,二乗,313390,-6.077994699249255e-14,-0.001596582548532622,2.549075834278922e-6,-0.8937851049815366
kappa_depth,売り,閉場日,20ms,20,log1p,二乗,313390,1.3886021872781147e-15,0.000026866719971272945,7.218206420147965e-10,0.015040276843297003
kappa_depth,売り,閉場日,50ms,50,log1p,二乗,313390,3.5585409203211084e-13,0.0011370174274750095,1.2928086303818885e-6,0.6365149132904369
kappa_depth,売り,閉場日,100ms,100,log1p,二乗,313390,9.686504325274485e-11,0.0035173100403892445,0.00001237146992022299,1.9690399135136383
kappa_depth,売り,閉場日,500ms,500,log1p,二乗,313386,1.0330757558575794e-9,0.011841879377095089,0.00014023010718166998,6.629633120138888
