metric,side,day_type,hor,hor_ms,x_form,y_kind,n,beta,r,r2,t
kappa_depth,売り,立会日,10ms,10,log1p,二乗,2611276,1.4044972266024382e-12,0.0008806520880018979,7.755481001021024e-7,1.4230847340066886
kappa_depth,売り,立会日,20ms,20,log1p,二乗,2611276,1.4435939126085642e-12,0.0009036805022115797,8.166384500773729e-7,1.4602973990058008
kappa_depth,売り,立会日,50ms,50,log1p,二乗,2611276,7.021919736387505e-12,0.0024361639915805137,5.9348949938735015e-6,3.936715505040478
kappa_depth,売り,立会日,100ms,100,log1p,二乗,2611276,7.027336077599918e-10,0.0031884865862661753,0.000010166446710799328,5.152440961674681
kappa_depth,売り,立会日,500ms,500,log1p,二乗,2611272,4.818155890978069e-9,0.0005472726007659247,2.995072995490992e-7,0.8843611594459787
kappa_depth,売り,立会日,1s,1000,log1p,二乗,2611264,2.293258953272253e-8,0.0019319349171054937,3.732372523931411e-6,3.1218966860196598
kappa_depth,売り,立会日,3s,3000,log1p,二乗,2611222,7.610204814669372e-8,0.006158913621008994,0.00003793221699105011,9.952543441545362
kappa_depth,売り,立会日,5s,5000,log1p,二乗,2611182,1.2313661126543357e-7,0.00969060006293625,0.00009390772957978006,15.659917451881707
kappa_depth,売り,立会日,10s,10000,log1p,二乗,2611097,2.5810586415880254e-7,0.016726207314501113,0.00027976601112767054,27.031464219792547
kappa_depth,売り,立会日,30s,30000,log1p,二乗,2610702,7.870019486809776e-7,0.024594050861222003,0.0006048673377643748,39.75025659336255
kappa_depth,売り,立会日,50s,50000,log1p,二乗,2610360,1.255660544126573e-6,0.029117298893043337,0.0008478170948268228,47.063616917419225
kappa_depth,売り,立会日,100s,100000,log1p,二乗,2609581,2.3762525034506645e-6,0.038935599328926325,0.001515980895102688,62.9450422458717
kappa_depth,売り,立会日,10ms,10,log1p,符号つき,2611276,1.640901361346253e-9,0.0005742852101513179,3.298035025985434e-7,0.9280127129914709
kappa_depth,売り,立会日,20ms,20,log1p,符号つき,2611276,1.3627728418562517e-9,0.00046965130379444264,2.2057234715581985e-7,0.7589301432220988
kappa_depth,売り,立会日,50ms,50,log1p,符号つき,2611276,-1.0861004451795563e-9,-0.0001727787555032126,2.985249835323892e-8,-0.27920074339433454
kappa_depth,売り,立会日,100ms,100,log1p,符号つき,2611276,-3.6012414473265197e-7,-0.006068704451490715,0.000036829173719543216,-9.806865238525058
kappa_depth,売り,立会日,500ms,500,log1p,符号つき,2611272,-2.604626636487997e-6,-0.01068409007684975,0.00011414978077023931,-17.2658601643457
kappa_depth,売り,立会日,1s,1000,log1p,符号つき,2611264,-2.8833164105887044e-6,-0.007724087182205815,0.000059661522798316164,-12.482033595532252
kappa_depth,売り,立会日,3s,3000,log1p,符号つき,2611222,7.270480461335022e-7,0.001077753812621217,1.1615532806195692e-6,1.7415724735127383
kappa_depth,売り,立会日,5s,5000,log1p,符号つき,2611182,5.611174806770915e-6,0.006336631457104581,0.00004015289822316733,10.23966087524594
kappa_depth,売り,立会日,10s,10000,log1p,符号つき,2611097,6.547247685634399e-6,0.0051109232452978826,0.00002612153641932624,8.258788944148707
kappa_depth,売り,立会日,30s,30000,log1p,符号つき,2610702,5.385253663414049e-6,0.00237169601642755,5.624941994338309e-6,3.832116734594565
kappa_depth,売り,立会日,50s,50000,log1p,符号つき,2610360,6.968363858205027e-6,0.0023778386535602096,5.654116662365031e-6,3.8417902224921874
kappa_depth,売り,立会日,100s,100000,log1p,符号つき,2609581,8.260672364074883e-6,0.001997928478658968,3.9917182058365375e-6,3.2274983477271846
kappa_depth,売り,立会日,10ms,10,log1p,絶対値,2611276,4.8476608468685805e-9,0.0016966815209284304,2.8787281834600117e-6,2.7417457392005975
kappa_depth,売り,立会日,20ms,20,log1p,絶対値,2611276,4.8645292946671e-9,0.0016765542500896918,2.8108341534938087e-6,2.709221064164446
kappa_depth,売り,立会日,50ms,50,log1p,絶対値,2611276,2.611899968524517e-8,0.00415633900628446,0.000017275153935161692,6.716467793067383
kappa_depth,売り,立会日,100ms,100,log1p,絶対値,2611276,2.076667069267345e-6,0.03617025747171555,0.0013082875255701948,58.48737089411813
kappa_depth,売り,立会日,500ms,500,log1p,絶対値,2611272,0.000013207078826634384,0.06129192997017425,0.0037567006794687443,99.2307970327166
kappa_depth,売り,立会日,1s,1000,log1p,絶対値,2611264,0.000020602624606088693,0.06418061346304406,0.004119151144492672,103.92628376973582
kappa_depth,売り,立会日,3s,3000,log1p,絶対値,2611222,0.000036954380777123684,0.06789810384329661,0.004610152505515091,109.97216485548653
kappa_depth,売り,立会日,5s,5000,log1p,絶対値,2611182,0.00004972050934611961,0.07097718422856979,0.005037760681016336,114.98306265035575
kappa_depth,売り,立会日,10s,10000,log1p,絶対値,2611097,0.00007311314234477887,0.07342146689381189,0.005390711800839116,118.96196750192469
kappa_depth,売り,立会日,30s,30000,log1p,絶対値,2610702,0.00012748817396240517,0.07353273269260321,0.0054070627772418375,119.13421432903259
kappa_depth,売り,立会日,50s,50000,log1p,絶対値,2610360,0.00016243461940541578,0.07329891706267624,0.0053727312425610905,118.74556931832336
kappa_depth,売り,立会日,100s,100000,log1p,絶対値,2609581,0.00022780866780859258,0.0737530117940441,0.005439506748692409,119.46739183471651
kappa_depth,売り,立会日,10ms,10,生,二乗,2611276,5.251568722784507e-14,0.0020458316761975824,4.18542724733341e-6,3.3059557005234783
kappa_depth,売り,立会日,20ms,20,生,二乗,2611276,5.237427177731037e-14,0.0020369728000929985,4.149258188318711e-6,3.2916401661209087
kappa_depth,売り,立会日,50ms,50,生,二乗,2611276,1.3452920642435967e-13,0.0028997770035768793,8.408706670473305e-6,4.685896044241045
kappa_depth,売り,立会日,100ms,100,生,二乗,2611276,3.964620051056788e-12,0.0011176165024625443,1.2490666465766104e-6,1.8060064597067687
