metric,unit,side,day_type,hor,hor_ms,bin_i,n_up,n_dn,n,p_up,base,diff,lo,hi
kappa_depth,1/s,売り,立会日,50ms,50,0,122,84,370095,0.5922330097087378,0.5156174915905815,0.07661551811815637,0.006116438095293295,0.1492473732742834
kappa_depth,1/s,売り,立会日,50ms,50,1,169,175,340299,0.49127906976744184,0.5156174915905815,-0.02433842182313961,-0.08242256385324608,0.02509972399634099
kappa_depth,1/s,売り,立会日,50ms,50,2,213,227,449800,0.48409090909090907,0.5156174915905815,-0.031526582499672384,-0.07352387995237777,0.008980589222924386
kappa_depth,1/s,売り,立会日,50ms,50,3,310,284,476197,0.5218855218855218,0.5156174915905815,0.0062680302949403854,-0.029153948250976967,0.04689529482513048
kappa_depth,1/s,売り,立会日,50ms,50,4,162,163,223798,0.49846153846153846,0.5156174915905815,-0.017155953129043,-0.07192314333433608,0.033717686275031196
kappa_depth,1/s,売り,立会日,100ms,100,0,12213,8896,370095,0.5785683831541049,0.49073016343990306,0.0878382197142018,0.08015930593858861,0.09556241030514219
kappa_depth,1/s,売り,立会日,100ms,100,1,16556,19866,340299,0.454560430509033,0.49073016343990306,-0.03616973293087006,-0.04800860955007581,-0.02491163284033027
kappa_depth,1/s,売り,立会日,100ms,100,2,22120,24082,449800,0.4787671529371023,0.49073016343990306,-0.011963010502800742,-0.017829746947265215,-0.005983998117642619
kappa_depth,1/s,売り,立会日,100ms,100,3,25548,26862,476197,0.4874642243846594,0.49073016343990306,-0.0032659390552436385,-0.007161884771780444,0.0008286012519508118
kappa_depth,1/s,売り,立会日,100ms,100,4,13513,13767,223798,0.49534457478005867,0.49073016343990306,0.004614411340155611,-0.0003004995151035555,0.009979763679716386
kappa_depth,1/s,売り,立会日,100ms,100,5,9173,9388,167568,0.4942082861914768,0.49073016343990306,0.00347812275157372,-0.0040617535261122705,0.01102395641518806
kappa_depth,1/s,売り,立会日,100ms,100,6,110,121,1771,0.47619047619047616,0.49073016343990306,-0.014539687249426891,-0.08734868466213686,0.07102254828308399
kappa_depth,1/s,売り,立会日,500ms,500,0,76967,52594,370095,0.5940599408772702,0.49031587145075595,0.10374406942651426,0.09744872550741421,0.10958345370229822
kappa_depth,1/s,売り,立会日,500ms,500,1,87399,112066,340299,0.43816709698443335,0.49031587145075595,-0.0521487744663226,-0.0630118067434937,-0.04064942813448497
kappa_depth,1/s,売り,立会日,500ms,500,2,115899,128727,449798,0.47378038311544973,0.49031587145075595,-0.016535488335306214,-0.019947021824676305,-0.012965272049911207
kappa_depth,1/s,売り,立会日,500ms,500,3,134463,139635,476195,0.49056541820808613,0.49031587145075595,0.00024954675733018794,-0.002770769659330252,0.0033656475395074954
